Date,ПРИВАТБАНК,РАЙФФАЙЗЕН БАНК АВАЛЬ,ОЩАДБАНК,УКРСИББАНК,УКРЕКСІМБАНК,УКРСОЦБАНК,ПРОМІНВЕСТБАНК,ОТП БАНК,СЕНС БАНК,НАДРА,ВТБ БАНК,ФОРУМ,ПУМБ,ФІНАНСИ ТА КРЕДИТ,ОМЕГА БАНК,БРОКБІЗНЕСБАНК,УКРГАЗБАНК,УКРПРОМБАНК,КРЕДИТПРОМБАНК,РОДОВІД БАНК,ПІВДЕННИЙ,ЕРСТЕ БАНК,УНIКРЕДИТ БАНК,УНІВЕРСАЛ БАНК,ВIEЙБI БАНК,ПРАВЕКС-БАНК,ДОНГОРБАНК,КРЕДОБАНК,ДЕЛЬТА БАНК,ФІНАНСОВА ІНІЦІАТИВА,ХРЕЩАТИК,IМЕКСБАНК,СБЕРБАНК,СІТІБАНК,КАЛІОН БАНК УКРАЇНА,ІНДУСТРІАЛБАНК,IНДУСТРІАЛЬНО-ЕКСПОРТНИЙ БАНК,КИЇВ,БАНК МОРСЬКИЙ,ФІДОБАНК,БАНК КРЕДИТ ДНІПРО,КЛІРИНГОВИЙ ДІМ,ПРОКРЕДИТ БАНК,МЕГАБАНК,БМ БАНК,ВІЕС БАНК,ПІРЕУС БАНК МКБ,БТА БАНК,КРЕДИТ ЄВРОПА БАНК,ЄВРОПЕЙСЬКИЙ,ЕКСПРЕС-БАНК,АКТИВ БАНК,ЕКСПОБАНК,КАПІТАЛ,УКРАЇНСЬКИЙ ПРОФЕСІЙНИЙ БАНК,ХОУМ КРЕДИТ БАНК,УКРІНБАНК,АГРОПРОСПЕРІС БАНК,СОЮЗ,БАНК ТАВРИКА,IПОБАНК,АЛЬТБАНК,Діамантбанк,БГ БАНК,БАНК HАЦІОНАЛЬНІ ІНВЕСТИЦІЇ,УКРБІЗНЕСБАНК,СТАНДАРТ,БІГ ЕНЕРГІЯ,ПЛАТИНУМ БАНК,АРКАДА,ЕНЕРГОБАНК,БАЗИС,БАНК ІНВЕСТИЦІЙ ТА ЗАОЩАДЖЕНЬ,БАНК ДЕМАРК,ПЕТРОКОММЕРЦ-УКРАЇНА,МІСТО БАНК,СХІДНОЄВРОПЕЙСЬКИЙ БАНК,ДНІСТЕР,ЗАХІДІНКОМБАНК,ПОЛТАВА - БАНК,БАНК ЗОЛОТІ ВОРОТА,АКЦЕНТ-БАНК,БАНК МЕРКУРІЙ,ЗЛАТОБАНК,ПІВДЕНКОМБАНК,ТРАНСБАНК,ФІНБАНК,ПЕРШИЙ ІНВЕСТИЦІЙНИЙ БАНК,ІНПРОМБАНК,ФОРТУНА БАНК,БАНК РЕГІОНАЛЬНОГО РОЗВИТКУ,ЗЕМЕЛЬНИЙ БАНК,БАНК КАМБІО,ДАНІЕЛЬ,ПАРТНЕР-БАНК,СОЦКОМБАНК,ЛЬВІВ,УКРАЇНСЬКИЙ ФІНАНСОВИЙ СВІТ,УКРГАЗПРОМБАНК,МЕТАБАНК,ГЛОБУС,АВТОКРАЗБАНК,ІДЕЯ БАНК,IНТЕГРАЛ БАНК,АРТЕМ-БАНК,ТРАСТ,АРМА,ТЕРРА БАНК,НОВИЙ,АЙБОКС БАНК,БАНК БОГУСЛАВ,ПОРТО-ФРАНКО,КОМІНВЕСТБАНК,БАНК СТОЛИЦЯ,НАЦІОНАЛЬНИЙ КРЕДИТ,ОДЕСА-БАНК,БАНК ГРАНТ,УКРКОМУНБАНК,СИНТЕЗ,АКСІОМА,ПРОМЕКОНОМБАНК,ВОЛОДИМИРСЬКИЙ,ЄВРОПЕЙСЬКИЙ БАНК РАЦІОН.ФІНАНС.,БАНК КОНТРАКТ,ЄВРОГАЗБАНК,ЕРДЕ БАНК,ТК КРЕДИТ,УКРАЇНСЬКА ФІНАНСОВА ГРУПА,ЛЕГБАНК,РЕАЛ БАНК,ПРЕМIУМ,IНТЕРБАНК,IНВЕСТБАНК,ПОЛІКОМБАНК,ФІНРОСТБАНК,АКТАБАНК,ФІНЕКСБАНК,АКОРДБАНК,УКООПСПІЛКА,КРЕДИТВЕСТ БАНК,ПРОМИСЛОВО-ФІНАНСОВИЙ БАНК,КОНКОРД,КОМЕРЦІЙНИЙ ІНДУСТРІАЛЬНИЙ БАНК,ОКСІ БАНК,СТОЛИЧНИЙ,ТММ-БАНК,ПРАЙМ-БАНК,ДІАЛОГБАНК,ОЛІМПІЙСЬКА УКРАЇНА,ЄВРОБАНК,УНIКОМБАНК,"""ПРИЧОРНОМОР'Я""",МОТОР-БАНК,СХІДНО-ПРОМИСЛОВИЙ БАНК,ВЕЛЕС,РАДАБАНК,ЄВРОПРОМБАНК,МІЖНАРОДНИЙ ІНВЕСТИЦІЙНИЙ БАНК,УКРБУДІНВЕСТБАНК,БАНК ФАМІЛЬНИЙ,УКРАЇНСЬКИЙ БАНК РЕКОНСТР.ТА РОЗВ.,НК БАНК,КРЕДИТ ОПТИМА БАНК,АСВІО БАНК,БАНК АЛЬЯНС,КЛАСИКБАНК,ДІАПАЗОН-МАКСИМУМ БАНК,АВАНТ-БАНК,БАНК 3/4,ВСЕУКРАЇНСЬКИЙ БАНК РОЗВИТКУ,КРЕДІ АГРІКОЛЬ БАНК,ЄКАТЕРИНОСЛАВСЬКИЙ КОМЕРЦІЙНИЙ БАНК,СКАЙ БАНК,ДОЙЧЕ БАНК ДБУ,ПРОФІНБАНК,АПЕКС-БАНК,МІСЬКИЙ КОМЕРЦІЙНИЙ БАНК,РАДИКАЛ БАНК,ГРІН БАНК,ЦЕНТР,МТБ БАНК,БАНК РИНКОВІ ТЕХНОЛОГІЇ,ТАСКОМБАНК,БАНК ПЕРШИЙ,А - БАНК,БАНК ВОСТОК,ДІВІ БАНК,БАНК СІЧ,ЮНЕКС БАНК,ІНТЕРКРЕДИТБАНК,МЕЛІОР БАНК,БАНК СОФІЙСЬКИЙ,ФІНАНСОВИЙ ПАРТНЕР,АЛЬПАРІ БАНК,БАНК ЮНІСОН,ФІДОКОМБАНК,МЕГА БАНК,БАНК МИХАЙЛІВСЬКИЙ,БАНК АВАНГАРД,ЮНІОН СТАНДАРД БАНК,ВЕРНУМ БАНК,КСГ БАНК,БАНК ПОРТАЛ,ДЕРЖЗЕМБАНК,ГЕФЕСТ,ВЕКТОР БАНК,БАНК ФОРВАРД,КРИСТАЛБАНК,СМАРТБАНК,РВС БАНК,ІНГ БАНК УКРАЇНА,ІНВЕСТБАНК,ПФБ,КОМІНБАНК
2009-04-01,2926255.0,1064514.0,908493.0,743832.0,771661.0,755668.0,283268.0,663760.0,396204.0,351997.0,310430.0,222938.0,282106.0,209448.0,92308.0,78106.0,119325.0,145006.0,180161.0,137495.0,94248.0,130952.0,110557.0,192958.0,115048.0,107350.0,84530.0,77896.0,-63980.0,40949.0,61372.0,41385.0,71613.0,140977.0,124485.0,54017.0,61077.0,630.0,2191.0,49794.0,33839.0,33858.0,56752.0,22059.0,35699.0,55486.0,46953.0,107551.0,45863.0,19405.0,27631.0,18953.0,23791.0,1349.0,31839.0,25251.0,24980.0,59841.0,2972.0,31409.0,24943.0,33574.0,21353.0,13671.0,6214.0,28216.0,-783.0,7963.0,26207.0,13941.0,21150.0,16521.0,21512.0,23853.0,16871.0,7981.0,2844.0,6414.0,23033.0,8287.0,5511.0,20203.0,7071.0,17711.0,16769.0,15663.0,4217.0,11472.0,11935.0,16174.0,13964.0,9239.0,4186.0,-814.0,9721.0,11739.0,10351.0,15143.0,13636.0,10917.0,9623.0,3947.0,15437.0,7855.0,4658.0,4399.0,7252.0,-1280.0,7227.0,8813.0,13545.0,2285.0,6094.0,6349.0,14501.0,4170.0,1818.0,4552.0,10458.0,2212.0,5159.0,4325.0,4701.0,3119.0,5182.0,5520.0,4799.0,4475.0,5637.0,4417.0,13451.0,106.0,5456.0,3930.0,3559.0,4739.0,5669.0,6631.0,3608.0,4043.0,4193.0,2783.0,3772.0,5084.0,5886.0,2435.0,3668.0,3376.0,4071.0,1919.0,2580.0,8324.0,4886.0,2400.0,2317.0,5829.0,4168.0,3393.0,3557.0,1752.0,2507.0,2164.0,3966.0,2168.0,1288.0,1648.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-07-01,4232961.0,2134068.0,1910876.0,1556867.0,1644888.0,1503876.0,436788.0,1275695.0,974062.0,761465.0,749332.0,446083.0,549373.0,398425.0,192003.0,184461.0,199566.0,318918.0,346923.0,192082.0,185029.0,252110.0,233508.0,375247.0,189523.0,192499.0,161410.0,167142.0,-99949.0,121134.0,123749.0,86543.0,160268.0,230456.0,185306.0,100554.0,122607.0,3379.0,6746.0,97606.0,64759.0,64979.0,107422.0,46168.0,65451.0,105913.0,104333.0,186762.0,80206.0,47180.0,56582.0,40694.0,42267.0,2992.0,64391.0,44007.0,43530.0,96786.0,8364.0,62946.0,65857.0,66416.0,40678.0,33679.0,22182.0,47117.0,-1376.0,20144.0,46435.0,29051.0,40208.0,30518.0,38005.0,46611.0,26094.0,15249.0,7955.0,15637.0,51115.0,18164.0,10729.0,39152.0,15742.0,39279.0,34321.0,36216.0,8587.0,24439.0,25772.0,33325.0,31837.0,22241.0,12225.0,6421.0,15266.0,23558.0,20427.0,31269.0,22703.0,19973.0,19080.0,7900.0,29005.0,15257.0,8751.0,11200.0,16160.0,1490.0,13187.0,15017.0,25756.0,4471.0,9068.0,12606.0,29127.0,12415.0,4198.0,7811.0,18719.0,5287.0,10660.0,12167.0,9764.0,6332.0,12711.0,11112.0,10457.0,4903.0,9966.0,8182.0,28432.0,1168.0,10318.0,7588.0,7233.0,8731.0,8412.0,11899.0,6927.0,7756.0,10419.0,5567.0,7767.0,9234.0,12558.0,4913.0,7374.0,8033.0,7424.0,5553.0,17963.0,,9243.0,4509.0,4691.0,10039.0,8428.0,7086.0,7148.0,3098.0,3911.0,4367.0,7246.0,4368.0,1941.0,4196.0,14274.0,3245.0,2714.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-10-01,5979343.0,3200607.0,3061756.0,2332602.0,2383205.0,2276479.0,713682.0,1890274.0,1828564.0,1058812.0,1197539.0,630681.0,808116.0,552052.0,369563.0,290155.0,355747.0,527818.0,485967.0,295485.0,264115.0,389833.0,376452.0,558548.0,242787.0,240406.0,233039.0,264605.0,-140018.0,201079.0,179290.0,127728.0,263733.0,308777.0,248619.0,145804.0,194408.0,5361.0,7495.0,150439.0,93920.0,95866.0,158603.0,64718.0,91489.0,159299.0,163262.0,261443.0,117529.0,,81136.0,58082.0,60794.0,4607.0,96329.0,57219.0,54608.0,134674.0,13771.0,91633.0,115364.0,101002.0,58493.0,51878.0,39351.0,65046.0,-316.0,30297.0,62783.0,50320.0,59986.0,41915.0,52918.0,66293.0,30656.0,18856.0,8673.0,28443.0,76145.0,25630.0,16849.0,47412.0,23400.0,61022.0,51674.0,57511.0,12583.0,36720.0,42877.0,51174.0,50303.0,35295.0,21016.0,13624.0,16348.0,35953.0,28088.0,44702.0,31950.0,27805.0,28662.0,11772.0,38724.0,24185.0,12870.0,18081.0,24697.0,5255.0,18567.0,21449.0,37600.0,6245.0,11821.0,20441.0,42199.0,,6446.0,10602.0,28588.0,7035.0,13473.0,19908.0,14073.0,8886.0,18885.0,16742.0,14378.0,3364.0,13720.0,11835.0,45612.0,1844.0,14911.0,11095.0,11715.0,13538.0,11099.0,17125.0,9755.0,12358.0,17609.0,8427.0,11591.0,14642.0,19817.0,7440.0,11049.0,13428.0,11079.0,7238.0,37800.0,,13636.0,6901.0,7135.0,14225.0,13005.0,11558.0,10666.0,4549.0,4762.0,6599.0,10188.0,6428.0,2402.0,11172.0,18094.0,6394.0,3389.0,3657.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-01,7371324.0,4287796.0,4184570.0,3093711.0,3410890.0,3079525.0,968736.0,2490668.0,2419179.0,1484232.0,1696033.0,779860.0,1035563.0,599044.0,1697174.0,397690.0,560174.0,,631469.0,184973.0,321420.0,532686.0,520200.0,727814.0,299593.0,289037.0,306046.0,345113.0,-195007.0,284593.0,221383.0,155775.0,385156.0,420009.0,344974.0,192713.0,,5619.0,9536.0,208394.0,119681.0,200156.0,211240.0,84827.0,113936.0,213319.0,221065.0,334450.0,155893.0,,106361.0,71066.0,80447.0,6640.0,124035.0,87886.0,66521.0,179588.0,27528.0,113056.0,181097.0,135384.0,75167.0,66426.0,48237.0,81497.0,706.0,38970.0,78606.0,68243.0,82583.0,52112.0,67776.0,81631.0,34214.0,25925.0,,30772.0,99721.0,33145.0,21100.0,64020.0,29719.0,84302.0,69237.0,77967.0,12649.0,50340.0,61362.0,69124.0,,52057.0,28901.0,18720.0,16995.0,48462.0,36123.0,57280.0,42071.0,35347.0,43363.0,16192.0,48109.0,35495.0,17025.0,23399.0,35118.0,9413.0,22159.0,28003.0,48306.0,7401.0,13889.0,27218.0,52836.0,,8405.0,12196.0,34595.0,8724.0,17501.0,23788.0,18453.0,11481.0,28186.0,21938.0,18665.0,,18231.0,15711.0,57699.0,1932.0,20103.0,14379.0,17895.0,14295.0,13783.0,22644.0,12754.0,17342.0,23732.0,10141.0,15806.0,20053.0,27769.0,9969.0,14977.0,19669.0,14183.0,9416.0,57987.0,,19185.0,9566.0,9590.0,18955.0,17736.0,17169.0,14332.0,6006.0,6079.0,8855.0,13019.0,9204.0,2713.0,21787.0,22895.0,9436.0,3991.0,8692.0,267188.0,68121.0,17136.0,1615.0,16347.0,1023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-04-01,1633067.0,1006466.0,1082450.0,709160.0,760332.0,721169.0,291674.0,524824.0,494710.0,415704.0,439792.0,68082.0,257215.0,132074.0,389508.0,98918.0,287500.0,,132883.0,-354663.0,52462.0,147418.0,121438.0,172312.0,16760.0,37761.0,79986.0,52403.0,-66754.0,39556.0,46735.0,51769.0,93925.0,123282.0,,44460.0,,563.0,1218.0,53478.0,24675.0,32702.0,46673.0,14101.0,19834.0,50328.0,42271.0,64056.0,35975.0,,28277.0,10288.0,15099.0,1484.0,32931.0,24749.0,5840.0,48577.0,22986.0,20481.0,,37392.0,17973.0,12854.0,5775.0,20874.0,4391.0,,49332.0,21443.0,18225.0,10117.0,15323.0,12169.0,50.0,4365.0,,,21872.0,6343.0,5984.0,17570.0,6227.0,25995.0,14670.0,,5775.0,11444.0,17376.0,19155.0,,17132.0,9936.0,3618.0,,14604.0,7337.0,14410.0,8139.0,7283.0,9535.0,4057.0,8792.0,15066.0,4202.0,5862.0,,-410.0,3402.0,5287.0,10249.0,1078.0,2155.0,1090.0,7296.0,,2851.0,966.0,4686.0,8652.0,4014.0,1869.0,4073.0,3207.0,10497.0,4918.0,5586.0,,4499.0,4639.0,9270.0,-321.0,5089.0,2214.0,5496.0,1361.0,3100.0,5445.0,2775.0,4534.0,6169.0,2952.0,4297.0,4914.0,7640.0,2716.0,3524.0,5069.0,3061.0,3697.0,22790.0,,5631.0,2412.0,2315.0,4119.0,5018.0,7144.0,2810.0,1527.0,388.0,2306.0,2845.0,3004.0,407.0,12157.0,5246.0,2905.0,1255.0,6196.0,85263.0,17798.0,3899.0,2861.0,2982.0,2647.0,-4869.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-01,2606397.0,2087766.0,2068713.0,1366692.0,1523085.0,1449326.0,621168.0,1035723.0,987629.0,747697.0,843612.0,166216.0,496717.0,250032.0,762408.0,224383.0,548471.0,,253388.0,-504570.0,130067.0,301661.0,214415.0,337031.0,25612.0,79603.0,142398.0,94004.0,-141008.0,128479.0,100634.0,127096.0,245671.0,210760.0,,91518.0,,2180.0,2656.0,108239.0,60410.0,73599.0,93099.0,38361.0,43876.0,101631.0,77272.0,119224.0,73454.0,,52085.0,26869.0,25635.0,2880.0,69187.0,36889.0,-3370.0,90491.0,44209.0,41206.0,,74287.0,38284.0,28230.0,12765.0,47113.0,6964.0,,98969.0,50463.0,32409.0,19711.0,32854.0,26786.0,-535.0,15191.0,,,46012.0,12360.0,9641.0,25388.0,13193.0,46833.0,27665.0,,17294.0,23048.0,33840.0,44695.0,,35170.0,20960.0,10242.0,,32870.0,12241.0,27559.0,16050.0,14655.0,18982.0,8695.0,17042.0,29553.0,7749.0,11477.0,,-2779.0,5403.0,10184.0,20766.0,3126.0,3419.0,2319.0,12215.0,,6114.0,1215.0,8221.0,23229.0,8692.0,3143.0,9051.0,7378.0,16936.0,8383.0,11001.0,,8923.0,9418.0,25471.0,282.0,9211.0,4649.0,10071.0,7086.0,6395.0,11427.0,5412.0,8355.0,12227.0,10342.0,8536.0,10002.0,14865.0,5673.0,6564.0,22678.0,,7998.0,42374.0,,11059.0,5096.0,4743.0,7766.0,10906.0,14390.0,5101.0,2991.0,1067.0,4638.0,5445.0,7057.0,1184.0,23238.0,10884.0,5845.0,4025.0,11976.0,129528.0,40688.0,8323.0,5327.0,4442.0,7578.0,-8034.0,3163.0,5857.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-10-01,3929349.0,3137285.0,3109189.0,2109947.0,2372837.0,2194214.0,931843.0,1500504.0,1414145.0,1045710.0,1217162.0,298912.0,734491.0,362137.0,1114043.0,325475.0,845564.0,,420383.0,-652511.0,220463.0,452295.0,311034.0,483756.0,44460.0,144408.0,197724.0,135389.0,2272291.0,244220.0,151842.0,226736.0,413699.0,269610.0,,144739.0,,4243.0,3831.0,159014.0,114176.0,117829.0,144592.0,65146.0,65721.0,146547.0,103644.0,170769.0,111153.0,,72469.0,43882.0,28850.0,4229.0,108575.0,45903.0,6759.0,119271.0,65783.0,61794.0,,115510.0,65570.0,40116.0,23974.0,77144.0,9909.0,,156784.0,76285.0,42806.0,27030.0,54202.0,41890.0,-2338.0,31727.0,,,70219.0,20851.0,17966.0,31114.0,19549.0,73146.0,39917.0,,32130.0,34564.0,53582.0,67941.0,,,33463.0,16139.0,,52633.0,14225.0,40801.0,25598.0,22137.0,28775.0,14728.0,23504.0,46088.0,9890.0,16905.0,,-4409.0,7217.0,16260.0,31251.0,8244.0,5692.0,6501.0,13983.0,,6260.0,1077.0,12813.0,33293.0,9550.0,4281.0,14167.0,11492.0,23434.0,21331.0,17355.0,,13111.0,14842.0,39215.0,835.0,13413.0,8571.0,14229.0,9218.0,9787.0,17652.0,7975.0,10625.0,16476.0,14030.0,12413.0,15900.0,21659.0,8363.0,9520.0,43363.0,,13467.0,60753.0,,16495.0,7959.0,7148.0,10474.0,17099.0,20831.0,7552.0,4398.0,1880.0,6994.0,7610.0,11471.0,1711.0,37381.0,17009.0,8890.0,8414.0,19804.0,163954.0,64364.0,13093.0,5918.0,4851.0,14343.0,-11053.0,6077.0,8535.0,7260.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-01-01,5802636.0,4203680.0,4166693.0,2858214.0,3304442.0,2945344.0,1487939.0,2005390.0,1816605.0,1377018.0,1703042.0,461463.0,992049.0,435994.0,1430094.0,420109.0,1126192.0,,562015.0,-786866.0,310837.0,589531.0,414213.0,597178.0,60972.0,234234.0,270262.0,181821.0,2939168.0,394069.0,200340.0,330700.0,614988.0,322484.0,,196030.0,,6583.0,5778.0,179651.0,170951.0,166260.0,204582.0,92135.0,81635.0,192407.0,129975.0,234810.0,143642.0,,87154.0,62977.0,23417.0,5403.0,147681.0,56090.0,37508.0,149208.0,83480.0,84023.0,,162902.0,96950.0,48144.0,35056.0,101883.0,12167.0,,227776.0,103967.0,57512.0,30412.0,72381.0,56711.0,-1556.0,52049.0,,,96786.0,31725.0,27447.0,48799.0,22959.0,102960.0,53176.0,,46840.0,46217.0,77571.0,90326.0,,,44528.0,19079.0,,74490.0,17256.0,53244.0,36556.0,29734.0,38734.0,22498.0,31793.0,63717.0,12244.0,22035.0,,3243.0,8521.0,20708.0,41939.0,14292.0,9201.0,9596.0,17303.0,,7389.0,1894.0,,45073.0,14519.0,6881.0,19696.0,15412.0,26549.0,59161.0,25259.0,,16947.0,20145.0,54142.0,1298.0,17892.0,12475.0,18783.0,10762.0,12624.0,22532.0,11613.0,14152.0,19725.0,15927.0,16086.0,21947.0,27974.0,10936.0,11971.0,49985.0,,19903.0,77406.0,,21606.0,10224.0,9921.0,13290.0,23908.0,27512.0,10263.0,5604.0,2826.0,9326.0,10058.0,16420.0,2429.0,52275.0,21735.0,11945.0,16357.0,27519.0,204375.0,81351.0,17779.0,9007.0,6300.0,24460.0,-15293.0,8644.0,11142.0,11829.0,216112.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-04-01,1227562.0,1045923.0,1013663.0,801693.0,851898.0,719831.0,353809.0,533183.0,371568.0,92730.0,536600.0,158932.0,240002.0,89320.0,259050.0,74839.0,226655.0,,119987.0,-108718.0,108858.0,126438.0,102061.0,146367.0,24818.0,105481.0,75771.0,42553.0,1706280.0,153173.0,34760.0,106267.0,212606.0,56657.0,,44903.0,,1746.0,955.0,36198.0,54779.0,39708.0,61258.0,29250.0,9150.0,41636.0,31621.0,65683.0,30511.0,,28528.0,18070.0,-1441.0,2035.0,42799.0,9845.0,40083.0,31017.0,30028.0,13492.0,,49067.0,32242.0,6362.0,14665.0,23021.0,1944.0,,81661.0,22432.0,9794.0,4215.0,17005.0,13755.0,2474.0,25081.0,,,21190.0,9046.0,8574.0,11119.0,4935.0,31746.0,20668.0,,11982.0,10094.0,23756.0,22581.0,,,11040.0,4148.0,,18698.0,3605.0,10939.0,11128.0,7438.0,14241.0,9628.0,5828.0,19578.0,2752.0,4378.0,,5007.0,502.0,3767.0,8478.0,4873.0,3478.0,960.0,6256.0,,858.0,930.0,,6050.0,5518.0,2770.0,4766.0,3158.0,5349.0,1909.0,9455.0,,3751.0,5546.0,13343.0,8673.0,4508.0,4270.0,3207.0,-293.0,2820.0,4774.0,3477.0,3974.0,4007.0,2834.0,4835.0,5506.0,5369.0,2176.0,2638.0,-4850.0,,8539.0,14718.0,,4715.0,2159.0,2785.0,2794.0,6247.0,6345.0,2895.0,1029.0,1160.0,2295.0,2486.0,6411.0,766.0,12946.0,4819.0,2840.0,18370.0,7822.0,43513.0,23919.0,4330.0,3544.0,2083.0,14719.0,-3547.0,2035.0,2379.0,5313.0,53448.0,437.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-07-01,3028892.0,2136183.0,2055395.0,1201023.0,1606351.0,1437647.0,748833.0,955924.0,784252.0,346642.0,1117605.0,290192.0,493853.0,205441.0,417324.0,137894.0,411579.0,,212150.0,-121984.0,237853.0,248310.0,192480.0,296515.0,70207.0,217351.0,187539.0,67722.0,1825329.0,330986.0,74778.0,219451.0,414803.0,117902.0,,96514.0,,4102.0,2945.0,66356.0,122340.0,89916.0,126891.0,59151.0,17305.0,81164.0,75551.0,128091.0,64079.0,,59931.0,37045.0,-6883.0,3921.0,90126.0,,68005.0,63685.0,58846.0,29763.0,,105152.0,62481.0,,30513.0,48283.0,3631.0,,190508.0,34607.0,13981.0,5735.0,33240.0,30060.0,7205.0,50483.0,,,40802.0,,18877.0,24639.0,8393.0,68247.0,42664.0,,20102.0,19556.0,44973.0,47319.0,,,25431.0,9921.0,,40715.0,7687.0,23413.0,23264.0,16625.0,30670.0,21806.0,16865.0,35697.0,5718.0,8158.0,,14106.0,2174.0,7810.0,19087.0,10855.0,5482.0,2418.0,11295.0,,2069.0,1009.0,,20881.0,12153.0,5502.0,10181.0,6965.0,12846.0,7683.0,19554.0,,7568.0,11468.0,26337.0,11050.0,10585.0,8741.0,9209.0,4685.0,5895.0,9087.0,7107.0,7345.0,8082.0,1188.0,10274.0,12566.0,10051.0,4296.0,6169.0,,,14306.0,32370.0,,9647.0,4977.0,5717.0,5602.0,15213.0,12551.0,5863.0,1957.0,2480.0,3875.0,4448.0,13664.0,1418.0,25346.0,9688.0,5684.0,36576.0,25805.0,83007.0,46119.0,8915.0,7219.0,5910.0,29329.0,-6115.0,3298.0,4822.0,10818.0,107848.0,5601.0,23588.0,15751.0,20008.0,19605.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
