Date,ПРИВАТБАНК,РАЙФФАЙЗЕН БАНК АВАЛЬ,ОЩАДБАНК,УКРСИББАНК,УКРЕКСІМБАНК,УКРСОЦБАНК,ПРОМІНВЕСТБАНК,ОТП БАНК,СЕНС БАНК,НАДРА,ВТБ БАНК,ФОРУМ,ПУМБ,ФІНАНСИ ТА КРЕДИТ,ОМЕГА БАНК,БРОКБІЗНЕСБАНК,УКРГАЗБАНК,УКРПРОМБАНК,КРЕДИТПРОМБАНК,РОДОВІД БАНК,ПІВДЕННИЙ,ЕРСТЕ БАНК,УНIКРЕДИТ БАНК,УНІВЕРСАЛ БАНК,ВIEЙБI БАНК,ПРАВЕКС-БАНК,ДОНГОРБАНК,КРЕДОБАНК,ДЕЛЬТА БАНК,ФІНАНСОВА ІНІЦІАТИВА,ХРЕЩАТИК,IМЕКСБАНК,СБЕРБАНК,СІТІБАНК,КАЛІОН БАНК УКРАЇНА,ІНДУСТРІАЛБАНК,IНДУСТРІАЛЬНО-ЕКСПОРТНИЙ БАНК,КИЇВ,БАНК МОРСЬКИЙ,ФІДОБАНК,БАНК КРЕДИТ ДНІПРО,КЛІРИНГОВИЙ ДІМ,ПРОКРЕДИТ БАНК,МЕГАБАНК,БМ БАНК,ВІЕС БАНК,ПІРЕУС БАНК МКБ,БТА БАНК,КРЕДИТ ЄВРОПА БАНК,ЄВРОПЕЙСЬКИЙ,ЕКСПРЕС-БАНК,АКТИВ БАНК,ЕКСПОБАНК,КАПІТАЛ,УКРАЇНСЬКИЙ ПРОФЕСІЙНИЙ БАНК,ХОУМ КРЕДИТ БАНК,УКРІНБАНК,АГРОПРОСПЕРІС БАНК,СОЮЗ,БАНК ТАВРИКА,IПОБАНК,АЛЬТБАНК,Діамантбанк,БГ БАНК,БАНК HАЦІОНАЛЬНІ ІНВЕСТИЦІЇ,УКРБІЗНЕСБАНК,СТАНДАРТ,БІГ ЕНЕРГІЯ,ПЛАТИНУМ БАНК,АРКАДА,ЕНЕРГОБАНК,БАЗИС,БАНК ІНВЕСТИЦІЙ ТА ЗАОЩАДЖЕНЬ,БАНК ДЕМАРК,ПЕТРОКОММЕРЦ-УКРАЇНА,МІСТО БАНК,СХІДНОЄВРОПЕЙСЬКИЙ БАНК,ДНІСТЕР,ЗАХІДІНКОМБАНК,ПОЛТАВА - БАНК,БАНК ЗОЛОТІ ВОРОТА,АКЦЕНТ-БАНК,БАНК МЕРКУРІЙ,ЗЛАТОБАНК,ПІВДЕНКОМБАНК,ТРАНСБАНК,ФІНБАНК,ПЕРШИЙ ІНВЕСТИЦІЙНИЙ БАНК,ІНПРОМБАНК,ФОРТУНА БАНК,БАНК РЕГІОНАЛЬНОГО РОЗВИТКУ,ЗЕМЕЛЬНИЙ БАНК,БАНК КАМБІО,ДАНІЕЛЬ,ПАРТНЕР-БАНК,СОЦКОМБАНК,ЛЬВІВ,УКРАЇНСЬКИЙ ФІНАНСОВИЙ СВІТ,УКРГАЗПРОМБАНК,МЕТАБАНК,ГЛОБУС,АВТОКРАЗБАНК,ІДЕЯ БАНК,IНТЕГРАЛ БАНК,АРТЕМ-БАНК,ТРАСТ,АРМА,ТЕРРА БАНК,НОВИЙ,АЙБОКС БАНК,БАНК БОГУСЛАВ,ПОРТО-ФРАНКО,КОМІНВЕСТБАНК,БАНК СТОЛИЦЯ,НАЦІОНАЛЬНИЙ КРЕДИТ,ОДЕСА-БАНК,БАНК ГРАНТ,УКРКОМУНБАНК,СИНТЕЗ,АКСІОМА,ПРОМЕКОНОМБАНК,ВОЛОДИМИРСЬКИЙ,ЄВРОПЕЙСЬКИЙ БАНК РАЦІОН.ФІНАНС.,БАНК КОНТРАКТ,ЄВРОГАЗБАНК,ЕРДЕ БАНК,ТК КРЕДИТ,УКРАЇНСЬКА ФІНАНСОВА ГРУПА,ЛЕГБАНК,РЕАЛ БАНК,ПРЕМIУМ,IНТЕРБАНК,IНВЕСТБАНК,ПОЛІКОМБАНК,ФІНРОСТБАНК,АКТАБАНК,ФІНЕКСБАНК,АКОРДБАНК,УКООПСПІЛКА,КРЕДИТВЕСТ БАНК,ПРОМИСЛОВО-ФІНАНСОВИЙ БАНК,КОНКОРД,КОМЕРЦІЙНИЙ ІНДУСТРІАЛЬНИЙ БАНК,ОКСІ БАНК,СТОЛИЧНИЙ,ТММ-БАНК,ПРАЙМ-БАНК,ДІАЛОГБАНК,ОЛІМПІЙСЬКА УКРАЇНА,ЄВРОБАНК,УНIКОМБАНК,"""ПРИЧОРНОМОР'Я""",МОТОР-БАНК,СХІДНО-ПРОМИСЛОВИЙ БАНК,ВЕЛЕС,РАДАБАНК,ЄВРОПРОМБАНК,МІЖНАРОДНИЙ ІНВЕСТИЦІЙНИЙ БАНК,УКРБУДІНВЕСТБАНК,БАНК ФАМІЛЬНИЙ,УКРАЇНСЬКИЙ БАНК РЕКОНСТР.ТА РОЗВ.,НК БАНК,КРЕДИТ ОПТИМА БАНК,АСВІО БАНК,БАНК АЛЬЯНС,КЛАСИКБАНК,ДІАПАЗОН-МАКСИМУМ БАНК,АВАНТ-БАНК,БАНК 3/4,ВСЕУКРАЇНСЬКИЙ БАНК РОЗВИТКУ,КРЕДІ АГРІКОЛЬ БАНК,ЄКАТЕРИНОСЛАВСЬКИЙ КОМЕРЦІЙНИЙ БАНК,СКАЙ БАНК,ДОЙЧЕ БАНК ДБУ,ПРОФІНБАНК,АПЕКС-БАНК,МІСЬКИЙ КОМЕРЦІЙНИЙ БАНК,РАДИКАЛ БАНК,ГРІН БАНК,ЦЕНТР,МТБ БАНК,БАНК РИНКОВІ ТЕХНОЛОГІЇ,ТАСКОМБАНК,БАНК ПЕРШИЙ,А - БАНК,БАНК ВОСТОК,ДІВІ БАНК,БАНК СІЧ,ЮНЕКС БАНК,ІНТЕРКРЕДИТБАНК,МЕЛІОР БАНК,БАНК СОФІЙСЬКИЙ,ФІНАНСОВИЙ ПАРТНЕР,АЛЬПАРІ БАНК,БАНК ЮНІСОН,ФІДОКОМБАНК,МЕГА БАНК,БАНК МИХАЙЛІВСЬКИЙ,БАНК АВАНГАРД,ЮНІОН СТАНДАРД БАНК,ВЕРНУМ БАНК,КСГ БАНК,БАНК ПОРТАЛ,ДЕРЖЗЕМБАНК,ГЕФЕСТ,ВЕКТОР БАНК,БАНК ФОРВАРД,КРИСТАЛБАНК,СМАРТБАНК,РВС БАНК,ІНГ БАНК УКРАЇНА,ІНВЕСТБАНК,ПФБ,КОМІНБАНК
2018-02-01,713657.12451,304031.59252,598473.42583,226179.58045,138072.79416,152216.62154,74172.69819,114949.68813,212543.58894,,54640.02726,,234094.97429,,,,185344.19372,,,,73047.91897,,,39043.60435,,45848.5333,,74065.65204,,4203.22879,,,149712.54716,19966.29769,,35558.11682,,8204.45558,,5659.16172,31953.63334,7195.48096,32480.04426,28174.10325,8284.52642,12458.93528,18405.31386,7706.87099,3623.68913,,,,,3351.64695,,,,3958.06028,,,,3667.41653,,,,,,,,71186.88045,,,30411.78526,,,5489.46347,,,,9308.46882,,,,,,,,7275.46202,,,,,,,,,8182.90703,,,5204.93423,22987.57685,,30665.97948,,,1787.16417,,,,20143.38496,,,12922.17445,,,,7760.45867,,,,,,,,,,,,,,,,,3416.76416,,,,11530.94776,,6464.57427,,8055.22515,6822.69061,2886.78119,,,,,,,,,4947.3872,,,9187.06638,2283.74217,10890.14687,9958.8277,1569.70595,1028.76224,,,5853.42361,8016.21837,,,,13314.10748,,108440.02521,,5840.86541,6504.40231,,,,,,1799.13721,26575.8414,,56215.60501,,44780.53675,54951.50587,11401.9941,7143.95875,,,,,,2446.92986,5005.5554,,,,2480.96014,,4143.38431,,2042.13387,,,,28198.95011,8958.02454,,6552.13828,18205.0697,,,
2018-03-01,1649723.49802,672178.29456,1180230.30408,446034.86194,284786.85351,310046.85871,148530.80242,241076.302,458977.66468,,99116.50839,,463213.07184,,,,356523.6909,,,,173084.75679,,,93941.62042,,97711.36859,,149764.51,,5025.41706,,,273404.23185,37297.25714,,77570.57217,,27191.48329,,11348.72252,77335.12892,17231.63997,71181.28622,56795.30889,33333.98777,26163.0941,38521.37742,17203.93264,7534.41615,,,,,7151.44705,,,,8977.32493,,,,8098.90731,,,,,,,,151737.43807,,,60341.27915,,,10800.94837,,,,19629.53924,,,,,,,,15658.10074,,,,,,,,,17266.35286,,,10961.10223,39649.49581,,62485.77291,,,3751.86838,,,,34533.0238,,,24790.60457,,,,15515.33025,,,,,,,,,,,,,,,,,7166.88553,,,,23792.54467,,12590.17166,,18795.37418,13920.2104,5595.0522,,,,,,,,,10856.73194,,,18509.20979,4832.48025,24459.49151,19915.63671,2995.83889,2027.55837,,,12058.81718,17348.60095,,,,35085.31252,,221772.52777,,11696.25932,13729.7963,,,,,,3802.30485,55000.38063,,117546.82331,,98181.76917,107791.09039,22841.84238,13759.99331,,,,,,4923.02814,11628.07795,,,,5409.2893,,7987.97622,,4723.57918,,,,55513.83248,21800.18613,,11955.68499,37020.22258,,,
2018-04-01,2813553.43859,1053576.26795,2114603.46758,755530.37921,460746.2611,512117.43811,239677.61404,364258.19835,751444.39152,,176737.20222,,713052.0348,,,,528601.08376,,,,259812.71993,,,149250.42651,,149370.67435,,239483.36013,,5809.19728,,,398778.35373,53511.63893,,124351.8431,,37302.50842,,17660.92461,127942.09706,26023.37414,114033.10471,91165.25097,48843.2372,40803.02968,60715.97417,24552.07058,12193.38352,,,,,3421662.9469199996,,,,15251.06941,,,,12710.26961,,,,,,,,248858.28185,,,93922.71249,,,16431.26666,,,,30120.33818,,,,,,,,22387.6945,,,,,,,,,27640.77652,,,16434.78453,57028.48182,,96552.46149,,,5577.33293,,,,55883.7292,,,37596.91026,,,,23939.85771,,,,,,,,,,,,,,,,,11135.0083,,,,36210.33506,,19170.42863,,31938.26235,20921.46815,12543.38166,,,,,,,,,15678.16908,,,28253.56122,6592.84167,42319.14153,31003.79,4590.76739,3046.46356,,,19489.17416,27528.8167,,,,58363.06321,,339921.10814,,18093.71744,23418.28898,,,,,,9957.74327,81227.65798,,185720.06462,,162958.79436,167946.4232,31558.91049,20285.61205,,,,,,7596.71149,18391.27665,,,,46665.55328,,12656.9183,,7116.04337,,,,78431.45237,35390.38114,,22662.90147,67722.66082,,,
2018-05-01,3806901.36194,1411869.6721,2801548.43976,984758.06798,1230600.81513,718921.18022,325415.69602,487617.69491,1023516.32883,,227386.1272,,961862.95688,,,,696634.07987,,,,385083.03823,,,205462.20754,,197372.56096,,326173.30978,,10430.99326,,,512243.91371,73753.69889,,162398.81013,,47133.99943,,23534.85422,168580.35053,34697.77425,149098.81749,133901.65804,57287.73238,54789.06499,81352.24668,33261.53748,17077.02098,,,,,4624751.52809,,,,20546.39854,,,,17163.65255,,,,,,,,325487.30063,,,123773.54892,,,22449.75935,,,,39967.72118,,,,,,,,30222.24599,,,,,,,,,36418.55397,,,22330.92991,77555.81563,,129931.04534,,,7379.43012,,,,73376.67106,,,49778.17999,,,,32081.67902,,,,,,,,,,,,,,,,,15546.39235,,,,50730.04192,,25982.58397,,40119.83954,27333.07857,15707.26021,,,,,,,,,21885.52181,,,37847.15706,9396.15746,53661.88353,41523.32576,6032.25228,4167.00162,,,26315.17327,37669.41019,,,,89020.30571,,449914.10214,,36726.6692,31145.30401,,,,,,13746.72742,107000.57905,,248569.84173,,220230.62958,222747.84186,35852.0088,26708.57854,,,,,,10554.76361,24621.18947,,,,49148.56947,,17513.97075,,9769.69987,,,,98734.25215,47117.98053,,32138.80932,89976.71417,,,
2018-06-01,4841777.92571,1761274.90527,3537244.71519,1253855.08098,1418631.3299,903263.94476,405783.19528,628616.55113,1393996.94668,,803716.80552,,1222236.30219,,,,887220.4063,,,,485930.16485,,,272545.95383,,250823.87011,,409601.46558,,11128.81411,,,618687.48412,93942.94704,,217359.70647,,58443.57556,,29521.17914,212944.92308,42348.77044,183667.49296,173815.77605,66012.11535,68314.07706,102054.44836,44901.58471,21497.938,,,,,5864203.76021,,,,26480.30407,,,,21965.33826,,,,,,,,391241.05366,,,159461.5792,,,36992.57809,,,,50488.1556,,,,,,,,37456.06747,,,,,,,,,48112.61908,,,29448.62055,97772.21305,,166791.28051,,,9550.65894,,,,98182.37357,,,77200.39454,,,,39854.94232,,,,,,,,,,,,,,,,,19381.97018,,,,64258.34835,,33130.7062,,49538.42907,35214.71849,18967.59549,,,,,,,,,27962.39352,,,46879.07561,10343.40709,65075.8008,50706.58337,7543.30541,5357.97713,,,33326.54619,48366.21574,,,,94900.65408,,568057.56473,,41713.6951,41343.97296,,,,,,17130.27739,134587.73916,,322732.68616,,283008.76623,286978.05755,40651.07437,33527.37781,,,,,,14161.9129,31198.541,,,,51152.20858,,22095.85931,,12669.37372,,,,120587.27762,58357.7814,,42261.56412,135368.42605,,,
2018-07-01,5791125.8059,2101280.46077,4469659.26241,1489302.23119,1688838.68564,1524463.08394,479365.15129,764221.06399,1673227.39683,,891594.67907,,1693058.05408,,,,1091680.70394,,,,573887.86265,,,343411.96732,,299719.4512,,498596.9563,,11804.63178,,,1024510.6786,112957.5182,,269979.2232,,68674.76529,,35536.97098,257230.93856,51161.20535,224298.31835,220968.10984,73718.17569,80539.83163,123339.06484,54764.70875,25440.06688,,,,,7379969.1149,,,,31547.44365,,,,26883.44888,,,,,,,,471483.47535,,,206331.07302,,,42134.09431,,,,60765.13993,,,,,,,,45669.13483,,,,,,,,,58156.69288,,,35180.73017,124895.18241,,214999.44918,,,11460.98294,,,,118964.63267,,,88659.39878,,,,47855.63906,,,,,,,,,,,,,,,,,23236.16209,,,,77855.91146,,43798.88286,,59366.50409,43612.99403,21863.42744,,,,,,,,,34389.53866,,,56469.55718,14238.94914,78567.33793,63790.22179,9134.69261,6587.97132,,,40418.23084,62055.80855,,,,130030.46988,,685945.14636,,50050.10914,52856.78023,,,,,,21469.18307,161158.44005,,419066.5078,,344005.86336,353273.23674,47363.94505,41218.87306,,,,,,17134.42141,,,,,54493.30487,,26344.28664,,15276.00306,,,,144576.48009,70413.00309,,50431.45182,164035.14947,,,
2018-08-01,6840880.85692,2504675.32159,5146148.73488,1732389.80994,1875991.45623,1688724.61404,575998.07341,895490.48785,1981261.68668,,940985.2495,,1958777.21535,,,,1275288.43559,,,,666192.2506,,,422649.25439,,353878.03547,,583812.58369,,16596.08253,,,1138874.20369,141364.17635,,314575.02626,,79157.84786,,41670.90193,299447.77064,59138.01177,262174.9647,260515.50956,80146.7244,92084.12279,145315.65743,65923.84296,52094.05939,,,,,8691871.57288,,,,37008.07115,,,,31288.9967,,,,,,,,551044.36126,,,246169.04255,,,76516.02564,,,,70562.23533,,,,,,,,53124.64453,,,,,,,,,68202.55993,,,41491.02775,145425.45481,,254200.6267,,,13207.60386,,,,145295.16149,,,101429.60859,,,,56155.95555,,,,,,,,,,,,,,,,,38268.65299,,,,91439.07282,,51091.15099,,68994.49292,52261.27212,24559.00028,,,,,,,,,40313.21219,,,65853.2188,17448.29479,102258.3269,77889.99225,10813.33221,7811.11133,,,47038.81741,72754.2763,,,,135596.29774,,804568.16398,,54815.38247,63979.42086,,,,,,24998.84555,189248.44298,,499397.87899,,411539.36756,415274.61904,52724.88769,47806.54192,,,,,,20925.31434,,,,,58090.36047,,31207.62399,,17766.78629,,,,268930.07774,99731.89004,,59812.68073,193832.60325,,,
2018-09-01,7866059.58824,2895078.57497,5840802.49585,1967016.68457,2101103.66764,1903132.90264,654604.63348,1051601.18812,2301321.38613,,999147.73184,,2034747.2362,,,,1467665.25181,,,,796650.1855,,,493185.98366,,404770.00079,,680672.99588,,17320.62683,,,1271243.28812,162106.72911,,358298.7452,,89687.13548,,47793.69606,344152.0771,67147.83937,305123.97139,299083.86842,86460.08456,108971.43171,167764.81373,75616.72956,55751.47954,,,,,9829796.04835,,,,42119.2824,,,,35857.11075,,,,,,,,632242.23351,,,282409.4202,,,89190.10984,,,,81204.67207,,,,,,,,60642.73578,,,,,,,,,77916.86995,,,49022.02059,166991.96683,,288430.68582,,,14942.05321,,,,167898.12693,,,111424.9067,,,,64088.4916,,,,,,,,,,,,,,,,,42945.27638,,,,106895.79127,,58503.10962,,78132.63622,61648.57707,27543.58786,,,,,,,,,50327.69002,,,75658.83233,20315.71566,115128.65654,90129.4786,12439.92236,9023.06818,,,54049.94869,83418.58221,,,,166349.77974,,927384.58783,,58793.19893,69072.22488,,,,,,32315.0833,261343.02988,,595832.74077,,474615.03259,490641.33676,,55617.70545,,,,,,25057.59223,,,,,60545.37755,,35024.19965,,20489.39696,,,,290550.51405,110897.1156,,72096.03425,228025.28256,,,
2018-10-01,8879873.24583,3286814.83552,6547658.15641,2217786.0232,2302273.87313,2106654.50624,737066.42736,1214656.23793,2630333.26478,,1114595.69616,,2320618.11225,,,,1671581.89402,,,,910938.43202,,,584068.06693,,454682.51122,,776982.69868,,17965.12837,,,1385928.74338,179578.94582,,408798.86689,,101551.74965,,54087.98618,398810.89138,75354.2098,345460.06013,335410.80979,106253.57988,119166.66071,192054.88721,88132.7324,59589.3441,,,,,11189302.33084,,,,47688.71608,,,,40612.41379,,,,,,,,715994.24358,,,317990.28606,,,64662.30862,,,,91226.7232,,,,,,,,68335.82968,,,,,,,,,88855.81851,,,55564.51887,189119.19354,,335710.15588,,,16806.50571,,,,189890.06944,,,121290.72164,,,,72185.86463,,,,,,,,,,,,,,,,,46497.84339,,,,128970.70938,,64827.01639,,88550.09149,71313.51063,31310.02551,,,,,,,,,56921.10701,,,86162.68486,23018.53686,132781.38193,103948.41731,14403.48397,10233.74407,,,61584.04959,98476.31562,,,,226108.45289,,1055359.2589,,64405.514,76751.61726,,,,,,36120.0964,291916.28895,,681943.29542,,537551.26602,550416.83816,,64520.73292,,,,,,29203.42477,,,,,63758.443,,39617.12818,,23096.239,,,,313836.09353,122754.34766,,82376.97536,259599.04792,,,
2018-11-01,10002466.84386,3758235.25619,7454031.80771,2481699.62162,2486439.32084,2412557.46189,812586.1821,1357765.86384,2973888.89455,,1174480.91475,,2612810.28733,,,,1883800.78485,,,,1048904.26767,,,673918.16619,,500858.80966,,884130.15546,,22990.46568,,,1499287.14626,199312.47034,,450564.73954,,113604.28106,,60141.20954,450433.15711,84775.4538,387621.28127,372650.78788,111065.22625,,216486.15685,97099.95219,63629.57138,,,,,12464036.08601,,,,53864.41308,,,,45553.96637,,,,,,,,814448.65453,,,358294.30195,,,70892.82127,,,,102084.53811,,,,,,,,76619.05032,,,,,,,,,99794.92199,,,61714.03284,214287.53937,,377173.71677,,,18712.15641,,,,215164.08538,,,134143.18252,,,,80363.29585,,,,,,,,,,,,,,,,,50287.72015,,,,150512.52552,,71013.00588,,100115.22333,81048.70245,34754.76231,,,,,,,,,63880.65141,,,96703.44397,26623.91034,147472.05821,117384.66576,16150.10687,11478.67124,,,68192.33306,110770.24532,,,,245955.99825,,1188654.32399,,70525.50519,84875.77711,,,,,,23439.92542,369958.43645,,765831.23502,,602569.255,609853.96244,,74298.60874,,,,,,33466.34498,,,,,66480.05417,,44717.93221,,26022.19881,,,,338779.70793,135298.81811,,93247.61176,289631.92132,,,
