Date,ПРИВАТБАНК,РАЙФФАЙЗЕН БАНК АВАЛЬ,ОЩАДБАНК,УКРСИББАНК,УКРЕКСІМБАНК,УКРСОЦБАНК,ПРОМІНВЕСТБАНК,ОТП БАНК,СЕНС БАНК,НАДРА,ВТБ БАНК,ФОРУМ,ПУМБ,ФІНАНСИ ТА КРЕДИТ,ОМЕГА БАНК,БРОКБІЗНЕСБАНК,УКРГАЗБАНК,УКРПРОМБАНК,КРЕДИТПРОМБАНК,РОДОВІД БАНК,ПІВДЕННИЙ,ЕРСТЕ БАНК,УНIКРЕДИТ БАНК,УНІВЕРСАЛ БАНК,ВIEЙБI БАНК,ПРАВЕКС-БАНК,ДОНГОРБАНК,КРЕДОБАНК,ДЕЛЬТА БАНК,ФІНАНСОВА ІНІЦІАТИВА,ХРЕЩАТИК,IМЕКСБАНК,СБЕРБАНК,СІТІБАНК,КАЛІОН БАНК УКРАЇНА,ІНДУСТРІАЛБАНК,IНДУСТРІАЛЬНО-ЕКСПОРТНИЙ БАНК,КИЇВ,БАНК МОРСЬКИЙ,ФІДОБАНК,БАНК КРЕДИТ ДНІПРО,КЛІРИНГОВИЙ ДІМ,ПРОКРЕДИТ БАНК,МЕГАБАНК,БМ БАНК,ВІЕС БАНК,ПІРЕУС БАНК МКБ,БТА БАНК,КРЕДИТ ЄВРОПА БАНК,ЄВРОПЕЙСЬКИЙ,ЕКСПРЕС-БАНК,АКТИВ БАНК,ЕКСПОБАНК,КАПІТАЛ,УКРАЇНСЬКИЙ ПРОФЕСІЙНИЙ БАНК,ХОУМ КРЕДИТ БАНК,УКРІНБАНК,АГРОПРОСПЕРІС БАНК,СОЮЗ,БАНК ТАВРИКА,IПОБАНК,АЛЬТБАНК,Діамантбанк,БГ БАНК,БАНК HАЦІОНАЛЬНІ ІНВЕСТИЦІЇ,УКРБІЗНЕСБАНК,СТАНДАРТ,БІГ ЕНЕРГІЯ,ПЛАТИНУМ БАНК,АРКАДА,ЕНЕРГОБАНК,БАЗИС,БАНК ІНВЕСТИЦІЙ ТА ЗАОЩАДЖЕНЬ,БАНК ДЕМАРК,ПЕТРОКОММЕРЦ-УКРАЇНА,МІСТО БАНК,СХІДНОЄВРОПЕЙСЬКИЙ БАНК,ДНІСТЕР,ЗАХІДІНКОМБАНК,ПОЛТАВА - БАНК,БАНК ЗОЛОТІ ВОРОТА,АКЦЕНТ-БАНК,БАНК МЕРКУРІЙ,ЗЛАТОБАНК,ПІВДЕНКОМБАНК,ТРАНСБАНК,ФІНБАНК,ПЕРШИЙ ІНВЕСТИЦІЙНИЙ БАНК,ІНПРОМБАНК,ФОРТУНА БАНК,БАНК РЕГІОНАЛЬНОГО РОЗВИТКУ,ЗЕМЕЛЬНИЙ БАНК,БАНК КАМБІО,ДАНІЕЛЬ,ПАРТНЕР-БАНК,СОЦКОМБАНК,ЛЬВІВ,УКРАЇНСЬКИЙ ФІНАНСОВИЙ СВІТ,УКРГАЗПРОМБАНК,МЕТАБАНК,ГЛОБУС,АВТОКРАЗБАНК,ІДЕЯ БАНК,IНТЕГРАЛ БАНК,АРТЕМ-БАНК,ТРАСТ,АРМА,ТЕРРА БАНК,НОВИЙ,АЙБОКС БАНК,БАНК БОГУСЛАВ,ПОРТО-ФРАНКО,КОМІНВЕСТБАНК,БАНК СТОЛИЦЯ,НАЦІОНАЛЬНИЙ КРЕДИТ,ОДЕСА-БАНК,БАНК ГРАНТ,УКРКОМУНБАНК,СИНТЕЗ,АКСІОМА,ПРОМЕКОНОМБАНК,ВОЛОДИМИРСЬКИЙ,ЄВРОПЕЙСЬКИЙ БАНК РАЦІОН.ФІНАНС.,БАНК КОНТРАКТ,ЄВРОГАЗБАНК,ЕРДЕ БАНК,ТК КРЕДИТ,УКРАЇНСЬКА ФІНАНСОВА ГРУПА,ЛЕГБАНК,РЕАЛ БАНК,ПРЕМIУМ,IНТЕРБАНК,IНВЕСТБАНК,ПОЛІКОМБАНК,ФІНРОСТБАНК,АКТАБАНК,ФІНЕКСБАНК,АКОРДБАНК,УКООПСПІЛКА,КРЕДИТВЕСТ БАНК,ПРОМИСЛОВО-ФІНАНСОВИЙ БАНК,КОНКОРД,КОМЕРЦІЙНИЙ ІНДУСТРІАЛЬНИЙ БАНК,ОКСІ БАНК,СТОЛИЧНИЙ,ТММ-БАНК,ПРАЙМ-БАНК,ДІАЛОГБАНК,ОЛІМПІЙСЬКА УКРАЇНА,ЄВРОБАНК,УНIКОМБАНК,"""ПРИЧОРНОМОР'Я""",МОТОР-БАНК,СХІДНО-ПРОМИСЛОВИЙ БАНК,ВЕЛЕС,РАДАБАНК,ЄВРОПРОМБАНК,МІЖНАРОДНИЙ ІНВЕСТИЦІЙНИЙ БАНК,УКРБУДІНВЕСТБАНК,БАНК ФАМІЛЬНИЙ,УКРАЇНСЬКИЙ БАНК РЕКОНСТР.ТА РОЗВ.,НК БАНК,КРЕДИТ ОПТИМА БАНК,АСВІО БАНК,БАНК АЛЬЯНС,КЛАСИКБАНК,ДІАПАЗОН-МАКСИМУМ БАНК,АВАНТ-БАНК,БАНК 3/4,ВСЕУКРАЇНСЬКИЙ БАНК РОЗВИТКУ,КРЕДІ АГРІКОЛЬ БАНК,ЄКАТЕРИНОСЛАВСЬКИЙ КОМЕРЦІЙНИЙ БАНК,СКАЙ БАНК,ДОЙЧЕ БАНК ДБУ,ПРОФІНБАНК,АПЕКС-БАНК,МІСЬКИЙ КОМЕРЦІЙНИЙ БАНК,РАДИКАЛ БАНК,ГРІН БАНК,ЦЕНТР,МТБ БАНК,БАНК РИНКОВІ ТЕХНОЛОГІЇ,ТАСКОМБАНК,БАНК ПЕРШИЙ,А - БАНК,БАНК ВОСТОК,ДІВІ БАНК,БАНК СІЧ,ЮНЕКС БАНК,ІНТЕРКРЕДИТБАНК,МЕЛІОР БАНК,БАНК СОФІЙСЬКИЙ,ФІНАНСОВИЙ ПАРТНЕР,АЛЬПАРІ БАНК,БАНК ЮНІСОН,ФІДОКОМБАНК,МЕГА БАНК,БАНК МИХАЙЛІВСЬКИЙ,БАНК АВАНГАРД,ЮНІОН СТАНДАРД БАНК,ВЕРНУМ БАНК,КСГ БАНК,БАНК ПОРТАЛ,ДЕРЖЗЕМБАНК,ГЕФЕСТ,ВЕКТОР БАНК,БАНК ФОРВАРД,КРИСТАЛБАНК,СМАРТБАНК,РВС БАНК,ІНГ БАНК УКРАЇНА,ІНВЕСТБАНК,ПФБ,КОМІНБАНК
2018-02-01,21025501.59996,7598169.54851,12318865.98974,5022797.97034,6969597.29675,2507256.25298,487632.79815,2304604.94216,1808718.97616,,1571298.38098,,2626638.26223,,,,4572943.10342,,,,2400720.04247,,,390929.26962,,461025.44284,,951719.61326,,210218.05885,,,1964029.98764,1374822.2525,,515893.92835,,77422.68536,,67611.96034,390513.52067,125766.66347,555515.78015,502867.84622,88934.75304,219321.39075,208827.47346,49315.72354,28950.98583,,,,,11712.30895,,,,36001.35813,,,,44582.15926,,,,,,,,127399.72992,,,350690.18358,,,55364.4508,,,,155023.60254,,,,,,,,93724.99814,,,,,,,,,141062.32586,,,40526.93258,154403.10857,,144914.85584,,,26931.46313,,,,101140.30638,,,250877.85732,,,,66178.06545,,,,,,,,,,,,,,,,,49017.72299,,,,223913.57417,,66790.78811,,82886.20154,73880.63267,42148.36054,,,,,,,,,72653.76861,,,124299.87479,24423.8561,381295.49208,166735.66805,13108.42416,2003.08012,,,68615.24086,83035.50779,,,,76623.55252,,2214559.22144,,17784.93681,21765.03156,,,,,,9468.18801,339154.56166,,664560.45273,,171044.38583,1025519.29261,21594.41729,85514.50539,,,,,,1556.70689,193880.60587,,,,28789.58725,,15738.95124,,10846.047,,,,102836.9605,155611.27485,,22970.23148,155316.41722,,,
2018-03-01,20478856.33094,8022246.10769,14770008.79027,4954928.81321,8117759.71053,2258581.75971,518002.43116,3091266.03999,2643563.84335,,1265000.3433,,2344426.16511,,,,6485365.58937,,,,2387268.17153,,,454408.14583,,1098440.10431,,1158850.69936,,147122.36805,,,1888441.6776,1015289.21461,,394125.04256,,171712.43769,,76433.80629,374339.43454,155650.41091,821381.89216,482145.40666,60566.82865,199633.97004,246721.89694,36892.77722,18473.23094,,,,,14534.50845,,,,20085.65075,,,,38130.25491,,,,,,,,156284.43267,,,410397.16131,,,44944.98651,,,,139353.42992,,,,,,,,71808.46931,,,,,,,,,134943.78404,,,52625.18463,118162.0095,,169655.00698,,,16365.11823,,,,81515.3037,,,174542.52421,,,,76537.75767,,,,,,,,,,,,,,,,,70638.68397,,,,207102.02155,,64439.3395,,60642.79952,79168.42124,40281.04952,,,,,,,,,118871.40735,,,106365.38179,35939.09447,358745.09909,145165.39845,17814.0322,1889.6328,,,89794.62653,189273.26203,,,,46115.23773,,2915470.07833,,16671.61342,90735.04498,,,,,,747.00539,412250.27708,,1101254.82227,,213731.51301,1108429.07227,27991.53821,76912.71723,,,,,,1819.78323,118650.43305,,,,17893.61547,,18295.94069,,8106.40955,,,,90140.13164,130041.02674,,26238.19886,466523.25826,,,
2018-04-01,19501083.89156,8398917.76726,10413076.53879,4217408.05186,5562436.58834,2079707.96972,512246.79624,2484534.93028,2059280.15297,,1118600.78916,,2516941.17177,,,,4366050.75697,,,,1915730.06708,,,381605.13007,,826747.9783,,972444.52341,,103175.35737,,,1834325.29095,2061284.13433,,374726.82253,,57858.59334,,68234.47473,765378.6275,147684.27929,880706.04368,437701.24982,22640.18213,119193.62567,199528.02357,103230.99187,31947.81502,,,,,12553197.68694,,,,18548.7462,,,,47846.99944,,,,,,,,120588.8324,,,221405.35525,,,53581.89972,,,,127504.04832,,,,,,,,86974.50829,,,,,,,,,118888.05153,,,47998.10294,139481.7658,,177376.9252,,,13923.11342,,,,71884.49748,,,188397.14634,,,,91216.50974,,,,,,,,,,,,,,,,,67236.0657,,,,159983.42967,,40897.03473,,80995.11221,71471.30025,37744.61744,,,,,,,,,173063.32399,,,92499.32526,26385.13803,421908.11206,174998.37115,14169.39363,1397.3484,,,71265.49286,122248.5721,,,,46218.10006,,1454220.35722,,13537.13498,67327.00989,,,,,,26129.31614,297161.16704,,861449.60355,,189430.55268,1176817.37191,2622.34732,83884.36989,,,,,,3238.12048,109573.46636,,,,78171.29311,,28916.77444,,7145.65639,,,,97430.94376,80339.54249,,17651.68097,421773.08373,,,
2018-05-01,23625823.15702,9175863.33182,13177976.83783,4584801.9325,7360036.79149,2498925.76567,521446.51842,2428775.41586,2115673.36918,,1176605.25058,,3925636.13097,,,,6012137.19799,,,,2133898.36604,,,358807.92062,,868190.67588,,1132229.70096,,39142.32085,,,1881804.49834,1781860.11277,,371377.85885,,78225.07432,,60665.77279,521240.74841,163852.67075,727480.53182,357880.06721,19760.77237,167833.25893,213161.32224,38463.07229,8503.58978,,,,,14157751.81696,,,,24087.23666,,,,59193.24361,,,,,,,,128432.64091,,,371702.07333,,,66660.97871,,,,117799.74342,,,,,,,,108296.30694,,,,,,,,,136651.65379,,,54083.02865,177110.96119,,192816.22108,,,15111.654,,,,68748.1843,,,178858.58747,,,,69774.68549,,,,,,,,,,,,,,,,,51289.5431,,,,206873.34611,,53524.7277,,51866.67035,83978.99524,39991.95161,,,,,,,,,129861.20034,,,99439.64997,27949.01148,425722.55423,148926.86743,19237.00324,691.21468,,,65943.28349,202902.82341,,,,48656.88348,,2149587.21101,,19330.47689,102044.28818,,,,,,32527.24803,258710.06072,,841140.36072,,175666.84334,1140813.16956,9987.79606,79224.90146,,,,,,4444.88523,62843.73477,,,,39977.70058,,19963.93301,,23417.50716,,,,137240.40073,120755.44799,,24173.19233,112030.75644,,,
2018-06-01,20065179.51459,9123819.37386,12321387.02747,4306592.20084,5152002.10723,2260461.97187,822160.48368,2154063.39906,2005949.4095,,776115.02669,,3767966.36995,,,,4993263.42777,,,,1784393.83196,,,377061.13622,,975999.20297,,1207370.23639,,65622.82324,,,1911947.64846,2779781.94427,,341092.43517,,73018.52223,,75235.58492,853983.7878,178279.06055,481997.58718,470921.19422,10748.23781,164289.87911,223382.09476,47019.18834,39769.63492,,,,,14547134.96834,,,,26220.71592,,,,53402.23027,,,,,,,,138988.91978,,,353723.24148,,,63065.25738,,,,230446.35316,,,,,,,,133022.98887,,,,,,,,,119189.56933,,,55652.26101,180581.22034,,177319.66371,,,11092.94171,,,,60290.78083,,,139880.30814,,,,59826.88745,,,,,,,,,,,,,,,,,57380.58789,,,,241717.02824,,65680.08205,,59109.26873,118813.64004,57397.0498,,,,,,,,,72105.28605,,,131084.74488,38458.99001,405868.90089,186192.01214,9441.80406,292.40668,,,48787.94731,313346.74126,,,,50870.39996,,1796756.43088,,20721.54616,109225.10512,,,,,,22319.38515,409270.11205,,778745.9808,,169270.17764,1121292.26381,259.6417,99040.38964,,,,,,9604.78163,56343.64295,,,,144268.31168,,28134.12193,,9051.31635,,,,81505.11235,159916.11365,,38818.48969,304277.71078,,,
2018-07-01,22586222.8473,8843852.89146,13182740.83325,4131611.80996,5703290.5738,2536439.72428,548848.74198,2289849.07777,2207145.73219,,575118.67692,,3705171.61079,,,,6641432.76196,,,,1592149.82234,,,386214.29241,,875588.65365,,1261957.42862,,23982.49219,,,1652885.281,506200.32706,,451629.65683,,91515.54861,,70413.16742,619197.74271,59227.58669,741495.8312,352545.21135,2457.00884,144837.32819,211607.87898,38079.33853,46785.302,,,,,13537349.19148,,,,27712.31965,,,,54669.38026,,,,,,,,130570.23133,,,307849.08385,,,56513.60352,,,,114043.08001,,,,,,,,177417.29462,,,,,,,,,144545.55585,,,78585.92515,139866.37555,,206030.46744,,,8827.38868,,,,60067.39213,,,131107.08682,,,,74103.39953,,,,,,,,,,,,,,,,,48611.92162,,,,257866.05493,,51555.89042,,87039.07836,74352.03259,50706.90499,,,,,,,,,179862.05886,,,128699.3518,31586.27061,383777.2853,172234.02218,12002.50995,403.68718,,,57679.56066,180651.03838,,,,49441.10192,,1753974.23329,,22292.82081,129071.21359,,,,,,20043.52143,495947.0511,,736623.76479,,191844.97621,1019482.05566,5249.10109,107874.95553,,,,,,2594.75656,,,,,35545.69849,,13331.96703,,5605.72675,,,,86549.51959,152324.91941,,33376.36535,194515.46012,,,
2018-08-01,21127848.43315,7583350.82256,11953266.43432,3677066.38571,5865268.92823,2366969.16048,566809.71616,2618301.91255,2016840.69482,,668776.54982,,2517834.6854,,,,6186244.43742,,,,2179176.03231,,,538427.00813,,894876.71112,,1220530.85022,,193848.89337,,,1381461.72474,364554.933,,447797.63301,,72656.00176,,61497.49275,446482.50033,97286.39927,792983.47086,392548.63728,5470.28919,148292.72935,210874.12848,40630.73132,34579.68968,,,,,13578341.66469,,,,20362.60392,,,,66417.87289,,,,,,,,168178.80149,,,358032.84037,,,52422.22431,,,,171607.32628,,,,,,,,124898.64609,,,,,,,,,143044.5262,,,53779.84079,196885.15228,,194127.09665,,,13826.01176,,,,70696.58494,,,143548.85162,,,,82529.36654,,,,,,,,,,,,,,,,,56989.24975,,,,264675.74717,,48308.04324,,72299.26642,98556.31921,56621.80883,,,,,,,,,173283.25137,,,135893.36754,33581.39815,404380.35535,186345.05388,11724.71184,1847.99874,,,45196.77536,181908.70859,,,,64868.92604,,2848839.47497,,25223.31643,70179.1461,,,,,,16091.6294,469043.24019,,1026173.06819,,172364.2311,1105171.64804,271.9409,91079.63544,,,,,,2642.18881,,,,,145564.36058,,15201.96441,,7199.86005,,,,102493.16185,117624.14407,,34472.98827,156492.03933,,,
2018-09-01,21713470.53917,8934925.54844,13139100.91978,5105886.79521,5687719.10604,2303972.20513,509783.22765,2306012.08244,3185788.11737,,732790.01619,,3326488.20617,,,,6325842.92367,,,,2175330.48521,,,334389.75412,,834434.1599,,1123270.19636,,37678.63931,,,1729660.3708,907377.7696,,337562.19837,,78629.0466,,78037.12003,453196.57371,131394.81467,540198.05519,368696.4139,3345.18481,107765.93874,206677.41932,33685.2916,60040.69882,,,,,13855020.81054,,,,37832.49265,,,,88894.55796,,,,,,,,101443.41676,,,349414.0501,,,25686.26938,,,,154462.62798,,,,,,,,125447.15243,,,,,,,,,139982.37771,,,58597.9311,197142.25241,,196207.42224,,,12628.12025,,,,62859.47283,,,153350.73333,,,,76035.16337,,,,,,,,,,,,,,,,,60985.88216,,,,295018.41015,,26736.31679,,87979.89402,97652.52211,59176.32576,,,,,,,,,173014.70637,,,134534.61175,29421.03154,362802.77861,198539.0792,10028.92638,1803.16156,,,52564.25206,91023.73942,,,,62501.85125,,2250936.39355,,19369.83409,119481.48602,,,,,,40960.6693,471610.7205,,970707.45793,,173997.32483,1115147.39453,,83758.90316,,,,,,2683.19841,,,,,33185.08493,,19450.23699,,8577.95587,,,,90962.19434,162086.30257,,30011.17191,288530.23907,,,
2018-10-01,22626963.2741,9036179.72353,12252544.5912,4716894.49286,3942493.65478,1735936.13554,513528.1109,2876069.79174,2929718.37947,,208957.2195,,2958418.99831,,,,8119613.3027,,,,1888584.23776,,,454253.89399,,760793.76029,,999833.25603,,87449.23515,,,1521730.47902,1653523.04479,,324371.76754,,46169.60675,,70659.52207,494293.58524,89816.23054,682374.31906,387636.43967,454.41492,238423.10113,213779.89015,30193.41198,56386.71514,,,,,13719439.18462,,,,27613.83443,,,,60387.64521,,,,,,,,131163.12379,,,357422.10262,,,54330.505,,,,123880.82199,,,,,,,,130570.59587,,,,,,,,,143417.58242,,,50764.69835,194351.37891,,179691.5216,,,18194.89576,,,,73944.64944,,,115775.56006,,,,87133.23496,,,,,,,,,,,,,,,,,68077.6146,,,,345020.48006,,45922.42595,,128771.62802,145114.98571,73492.36525,,,,,,,,,190266.17179,,,138089.42753,31572.4606,386670.38247,197270.63338,8138.25557,3260.41923,,,58581.02931,229862.02398,,,,66565.80329,,1802683.87949,,26901.7375,86967.40732,,,,,,6201.86553,407577.80513,,858147.54999,,180055.47461,1070664.05753,,99989.82555,,,,,,3325.01012,,,,,59725.0423,,24583.80934,,17876.82506,,,,85498.94694,295626.99122,,75004.30374,195424.50876,,,
2018-11-01,22119484.85572,8275069.21965,11712656.12111,4870399.44539,4690345.12807,1431311.92359,475859.75116,2374180.60697,3069628.90491,,218822.57285,,4241662.03852,,,,5719857.26399,,,,2164788.63069,,,415933.7597,,1032149.49406,,1081769.30987,,88993.44919,,,1118749.23316,1544258.85285,,405635.90763,,128092.46263,,82340.41185,482361.04237,85881.60397,642417.42057,437967.36475,307.64723,,210756.84952,24121.39242,49220.31912,,,,,15413017.39867,,,,31363.10357,,,,51901.9602,,,,,,,,132919.0257,,,328948.87361,,,40144.37892,,,,177967.57014,,,,,,,,125499.08692,,,,,,,,,142699.91567,,,41617.75678,195230.71627,,174506.4314,,,11663.07584,,,,75197.02483,,,120934.84532,,,,122706.35992,,,,,,,,,,,,,,,,,74482.70567,,,,344404.12519,,60537.02921,,143415.24272,143432.40022,67553.07471,,,,,,,,,142377.25505,,,168010.03061,26252.03283,373183.83373,217460.42268,7602.68139,3486.85962,,,60489.29719,170553.11132,,,,63669.42258,,2040005.41712,,25855.46657,119844.88191,,,,,,2716.98926,338298.0595,,1243776.16991,,181242.32181,1151513.46269,,114999.50724,,,,,,2685.76285,,,,,27184.24751,,12203.42298,,25948.09135,,,,80312.06889,163095.68919,,51428.23282,208735.3028,,,
