Date,ПРИВАТБАНК,РАЙФФАЙЗЕН БАНК АВАЛЬ,ОЩАДБАНК,УКРСИББАНК,УКРЕКСІМБАНК,УКРСОЦБАНК,ПРОМІНВЕСТБАНК,ОТП БАНК,СЕНС БАНК,НАДРА,ВТБ БАНК,ФОРУМ,ПУМБ,ФІНАНСИ ТА КРЕДИТ,ОМЕГА БАНК,БРОКБІЗНЕСБАНК,УКРГАЗБАНК,УКРПРОМБАНК,КРЕДИТПРОМБАНК,РОДОВІД БАНК,ПІВДЕННИЙ,ЕРСТЕ БАНК,УНIКРЕДИТ БАНК,УНІВЕРСАЛ БАНК,ВIEЙБI БАНК,ПРАВЕКС-БАНК,ДОНГОРБАНК,КРЕДОБАНК,ДЕЛЬТА БАНК,ФІНАНСОВА ІНІЦІАТИВА,ХРЕЩАТИК,IМЕКСБАНК,СБЕРБАНК,СІТІБАНК,КАЛІОН БАНК УКРАЇНА,ІНДУСТРІАЛБАНК,IНДУСТРІАЛЬНО-ЕКСПОРТНИЙ БАНК,КИЇВ,БАНК МОРСЬКИЙ,ФІДОБАНК,БАНК КРЕДИТ ДНІПРО,КЛІРИНГОВИЙ ДІМ,ПРОКРЕДИТ БАНК,МЕГАБАНК,БМ БАНК,ВІЕС БАНК,ПІРЕУС БАНК МКБ,БТА БАНК,КРЕДИТ ЄВРОПА БАНК,ЄВРОПЕЙСЬКИЙ,ЕКСПРЕС-БАНК,АКТИВ БАНК,ЕКСПОБАНК,КАПІТАЛ,УКРАЇНСЬКИЙ ПРОФЕСІЙНИЙ БАНК,ХОУМ КРЕДИТ БАНК,УКРІНБАНК,АГРОПРОСПЕРІС БАНК,СОЮЗ,БАНК ТАВРИКА,IПОБАНК,АЛЬТБАНК,Діамантбанк,БГ БАНК,БАНК HАЦІОНАЛЬНІ ІНВЕСТИЦІЇ,УКРБІЗНЕСБАНК,СТАНДАРТ,БІГ ЕНЕРГІЯ,ПЛАТИНУМ БАНК,АРКАДА,ЕНЕРГОБАНК,БАЗИС,БАНК ІНВЕСТИЦІЙ ТА ЗАОЩАДЖЕНЬ,БАНК ДЕМАРК,ПЕТРОКОММЕРЦ-УКРАЇНА,МІСТО БАНК,СХІДНОЄВРОПЕЙСЬКИЙ БАНК,ДНІСТЕР,ЗАХІДІНКОМБАНК,ПОЛТАВА - БАНК,БАНК ЗОЛОТІ ВОРОТА,АКЦЕНТ-БАНК,БАНК МЕРКУРІЙ,ЗЛАТОБАНК,ПІВДЕНКОМБАНК,ТРАНСБАНК,ФІНБАНК,ПЕРШИЙ ІНВЕСТИЦІЙНИЙ БАНК,ІНПРОМБАНК,ФОРТУНА БАНК,БАНК РЕГІОНАЛЬНОГО РОЗВИТКУ,ЗЕМЕЛЬНИЙ БАНК,БАНК КАМБІО,ДАНІЕЛЬ,ПАРТНЕР-БАНК,СОЦКОМБАНК,ЛЬВІВ,УКРАЇНСЬКИЙ ФІНАНСОВИЙ СВІТ,УКРГАЗПРОМБАНК,МЕТАБАНК,ГЛОБУС,АВТОКРАЗБАНК,ІДЕЯ БАНК,IНТЕГРАЛ БАНК,АРТЕМ-БАНК,ТРАСТ,АРМА,ТЕРРА БАНК,НОВИЙ,АЙБОКС БАНК,БАНК БОГУСЛАВ,ПОРТО-ФРАНКО,КОМІНВЕСТБАНК,БАНК СТОЛИЦЯ,НАЦІОНАЛЬНИЙ КРЕДИТ,ОДЕСА-БАНК,БАНК ГРАНТ,УКРКОМУНБАНК,СИНТЕЗ,АКСІОМА,ПРОМЕКОНОМБАНК,ВОЛОДИМИРСЬКИЙ,ЄВРОПЕЙСЬКИЙ БАНК РАЦІОН.ФІНАНС.,БАНК КОНТРАКТ,ЄВРОГАЗБАНК,ЕРДЕ БАНК,ТК КРЕДИТ,УКРАЇНСЬКА ФІНАНСОВА ГРУПА,ЛЕГБАНК,РЕАЛ БАНК,ПРЕМIУМ,IНТЕРБАНК,IНВЕСТБАНК,ПОЛІКОМБАНК,ФІНРОСТБАНК,АКТАБАНК,ФІНЕКСБАНК,АКОРДБАНК,УКООПСПІЛКА,КРЕДИТВЕСТ БАНК,ПРОМИСЛОВО-ФІНАНСОВИЙ БАНК,КОНКОРД,КОМЕРЦІЙНИЙ ІНДУСТРІАЛЬНИЙ БАНК,ОКСІ БАНК,СТОЛИЧНИЙ,ТММ-БАНК,ПРАЙМ-БАНК,ДІАЛОГБАНК,ОЛІМПІЙСЬКА УКРАЇНА,ЄВРОБАНК,УНIКОМБАНК,"""ПРИЧОРНОМОР'Я""",МОТОР-БАНК,СХІДНО-ПРОМИСЛОВИЙ БАНК,ВЕЛЕС,РАДАБАНК,ЄВРОПРОМБАНК,МІЖНАРОДНИЙ ІНВЕСТИЦІЙНИЙ БАНК,УКРБУДІНВЕСТБАНК,БАНК ФАМІЛЬНИЙ,УКРАЇНСЬКИЙ БАНК РЕКОНСТР.ТА РОЗВ.,НК БАНК,КРЕДИТ ОПТИМА БАНК,АСВІО БАНК,БАНК АЛЬЯНС,КЛАСИКБАНК,ДІАПАЗОН-МАКСИМУМ БАНК,АВАНТ-БАНК,БАНК 3/4,ВСЕУКРАЇНСЬКИЙ БАНК РОЗВИТКУ,КРЕДІ АГРІКОЛЬ БАНК,ЄКАТЕРИНОСЛАВСЬКИЙ КОМЕРЦІЙНИЙ БАНК,СКАЙ БАНК,ДОЙЧЕ БАНК ДБУ,ПРОФІНБАНК,АПЕКС-БАНК,МІСЬКИЙ КОМЕРЦІЙНИЙ БАНК,РАДИКАЛ БАНК,ГРІН БАНК,ЦЕНТР,МТБ БАНК,БАНК РИНКОВІ ТЕХНОЛОГІЇ,ТАСКОМБАНК,БАНК ПЕРШИЙ,А - БАНК,БАНК ВОСТОК,ДІВІ БАНК,БАНК СІЧ,ЮНЕКС БАНК,ІНТЕРКРЕДИТБАНК,МЕЛІОР БАНК,БАНК СОФІЙСЬКИЙ,ФІНАНСОВИЙ ПАРТНЕР,АЛЬПАРІ БАНК,БАНК ЮНІСОН,ФІДОКОМБАНК,МЕГА БАНК,БАНК МИХАЙЛІВСЬКИЙ,БАНК АВАНГАРД,ЮНІОН СТАНДАРД БАНК,ВЕРНУМ БАНК,КСГ БАНК,БАНК ПОРТАЛ,ДЕРЖЗЕМБАНК,ГЕФЕСТ,ВЕКТОР БАНК,БАНК ФОРВАРД,КРИСТАЛБАНК,СМАРТБАНК,РВС БАНК,ІНГ БАНК УКРАЇНА,ІНВЕСТБАНК,ПФБ,КОМІНБАНК
2018-01-31,24398619.75267,11316321.29051,31411277.30146,5496522.30108,8050192.7788,4354272.51923,6059580.90373,3712445.03979,3883944.27387,,1091205.67078,,4910778.17279,,,,5538895.03769,,,,2313837.04929,,,936898.708630001,,2131406.36301,,1536373.4649,,-4309026.59029,,,5244976.12342,1915722.24509,,1292929.68794,,275588.07234,,469686.8186,906852.19705,343890.32979,2045439.60311,1039543.13644,229859.75161,1031188.67931,553855.04168,573472.0046,490793.04961,,,,,201566.87173,,,,291645.41956,,,,221544.13417,,,,,,,,871016.25922,,,543349.76743,,,286771.1374,,,,638974.00001,,,,,,,,255854.88656,,,,,,,,,217746.90433,,,243417.45361,282745.34498,,451976.29209,,,237654.43363,,,,229347.94746,,,299623.31571,,,,557927.05491,,,,,,,,,,,,,,,,,259277.09417,,,,182340.74917,,357842.24845,,213685.04691,215985.58269,210601.81035,,,,,,,,,282267.80592,,,253920.55107,312256.9747,285289.03573,212192.4472,167504.45774,185098.95821,,,409458.01693,291043.5593,,,,561450.58387,,3260268.51438,,218775.46192,365516.83013,,,,,,215103.72985,477909.4871,,961716.01989,,720675.19328,610035.14885,247471.12536,203142.4765,,,,,,200184.38819,217180.20521,,,,310788.16985,,186408.53812,,208915.18991,,,,-191691.80831,265805.11132,,227443.30556,3782140.62529,,,
2018-02-28,24200693.63178,11621616.84251,31320448.64345,5727583.50121,7957063.77931,4390952.88635,5959430.49188,4091385.48089,3994176.76651,,1136573.13265,,5056422.89906,,,,5470844.203,,,,2325346.57355,,,955411.7772,,2118499.91027,,1558498.02467,,-5103233.2482,,,5252205.80037,2012223.15215,,1293354.27078,,271776.99885,,473628.73584,871903.180870001,384119.92833,2109176.77327,1039136.61543,226197.6606,1038998.05317,569903.85051,395739.24772,502437.41999,,,,,202092.60647,,,,306664.34053,,,,221309.21147,,,,,,,,871097.60561,,,543886.57093,,,265883.08008,,,,637257.71757,,,,,,,,257180.43887,,,,,,,,,200136.56735,,,244450.52663,287504.0299,,494142.84424,,,237599.96652,,,,229375.51543,,,300051.83868,,,,562244.00016,,,,,,,,,,,,,,,,,259276.04545,,,,183441.76526,,359836.83343,,213724.28817,216030.59679,209508.03133,,,,,,,,,284235.45447,,,255362.21614,316014.37091,289963.42321,216632.1199,169144.98272,190984.71951,,,415127.7858,292481.67542,,,,568316.29167,,3427020.88728,,221029.48501,369279.52237,,,,,,219236.01093,475257.51823,,1022655.31489,,747670.09907,620492.31591,231245.48356,203630.29267,,,,,,199994.13238,215813.30032,,,,311332.27057,,196557.7208,,208989.74798,,,,-222251.88605,268431.91072,,227554.12182,3822641.50981,,,
2018-03-31,26749017.772,12174807.0785,30761520.01369,5877360.84486,8509724.57684,3967509.89266,5852846.03658,3828359.43191,3899417.92332,,1054594.15968999,,5177163.4025,,,,5486395.6044,,,,2311555.39237,,,950392.931250001,,2125847.25144,,1604870.25898,,-7396135.15006,,,4057675.27789,2150013.84015,,1252879.98774,,276725.40106,,478268.20654,804162.75855,377172.63887,2158609.53268,958538.59563,214193.60192,1042456.9096,573414.84037,406848.62168,492080.62837,,,,,27997787.758879993,,,,293410.88438,,,,220017.89024,,,,,,,,880319.402,,,545310.78182,,,285758.35871,,,,640319.18079,,,,,,,,265507.37425,,,,,,,,,198840.85685,,,248942.96405,302724.47423,,493496.97768,,,237817.56766,,,,229308.83293,,,299733.03439,,,,568541.24667,,,,,,,,,,,,,,,,,254762.54483,,,,218881.07413,,358166.01584,,213195.7753,218920.30451,207708.35127,,,,,,,,,282026.19886,,,255952.14582,285366.55986,292130.67578,217136.10375,170288.06971,191727.34716,,,411454.3112,292628.10424,,,,567934.82231,,3601250.55567,,213113.41235,369749.29412,,,,,,216043.97208,472104.05774,,1047399.05049,,691676.85933,627489.60173,225677.24717,203624.64591,,,,,,199912.16496,219260.55062,,,,315995.35053,,207224.81681,,206340.31974,,,,-242111.3836,270634.5793,,212756.1775,3857728.60729,,,
2018-04-30,26677589.53719,12578402.4545,30514672.21762,4933824.35533,8784126.59197,3945612.25915,5827950.49227,4044386.11294,4006668.06071,,1100573.87692999,,5384607.04482,,,,5424191.7581,,,,2335293.00746,,,969318.879130001,,2121648.5854,,1636667.61969,,-7636242.04917,,,4064613.69706,2265195.69785,,1264455.19115,,276323.18105,,482871.39362,827967.57231,372467.33161,2204567.39188,957839.91775,192577.87475,1067038.43767,576574.60163,411715.90756,331586.80968,,,,,28142491.18189,,,,295875.5121,,,,220131.75524,,,,,,,,880955.36289,,,537903.90623,,,147952.21694,,,,649496.9879,,,,,,,,266371.4299,,,,,,,,,185672.46705,,,251715.15875,308269.90071,,531694.2083,,,237891.23875,,,,229315.75565,,,299875.36744,,,,503806.06528,,,,,,,,,,,,,,,,,254787.39026,,,,220792.86167,,363024.9518,,212931.08747,220522.39883,206892.23776,,,,,,,,,284773.27413,,,257636.42069,250635.84752,296938.63599,216680.40211,171727.98357,192357.12736,,,353656.11019,294272.83801,,,,558127.90269,,3699793.72469,,214604.9476,337971.83071,,,,,,216491.34261,475783.8391,,1085872.31256,,722712.81033,634478.70912,219680.33759,204357.91485,,,,,,199459.82139,220568.38853,,,,322569.52083,,206837.54938,,212957.29476,,,,-250397.87713,276167.08243,,214834.03187,3724574.15013,,,
2018-05-31,28763299.22369,8784907.186,30558985.94513,5081320.35612,9041151.77586,3894133.71503,5743666.80222,4220970.72394,4032175.11429,,1782817.80780999,,5526480.44052,,,,5522636.81337,,,,2360953.72043,,,950817.919810001,,2117768.10939,,1678166.59227,,-7516310.23251,,,4073777.87894,2380126.36974,,1259720.09291,,270460.9749,,488763.24115,804488.4547,370578.24388,2254679.53647,955484.14781,163908.30774,733102.28214,583155.13474,405257.6027,336172.70661,,,,,28053606.45065,,,,296716.38362,,,,222250.25694,,,,,,,,881082.06736,,,538290.58894,,,154856.09106,,,,656347.35869,,,,,,,,266677.87112,,,,,,,,,184345.2228,,,253212.06098,314445.98025,,569678.09044,,,237909.09144,,,,229374.58999,,,300094.33863,,,,507105.56163,,,,,,,,,,,,,,,,,254774.06416,,,,245055.25507,,364266.10865,,214157.42663,222125.61479,207074.47298,,,,,,,,,288623.6911,,,259146.52578,255106.55089,301852.47238,216741.40874,173789.90394,192949.3147,,,362864.10273,335877.83608,,,,520724.1533,,3829095.39859,,211016.85441,341525.0907,,,,,,216530.40544,480133.08756,,1104271.70878,,755606.74373,640359.68508,212046.3789,204978.32658,,,,,,198526.8762,221984.88887,,,,333503.00335,,192831.0214,,208988.80758,,,,-260434.36119,280563.33069,,214881.42285,3770049.07433,,,
2018-06-30,28037562.67848,9285446.61209,13935204.33285,5294386.39093,8562464.86147,3862798.09775,5742606.19532999,4233581.06147,4087132.09988,,1615020.70454999,,5691336.77275,,,,5490766.96043,,,,2381373.89896,,,929746.04681,,2114222.05209,,1724123.93763,,-9247663.14758,,,5142228.78505,2490366.36776,,1258293.98748,,267979.50546,,493581.52237,838280.66522,467772.20189,2303475.10818,956109.26672,156011.07652,737013.42811,589369.79151,408431.81612,338746.05366,,,,,28322513.20186,,,,299226.24078,,,,223124.09314,,,,,,,,882181.23793,,,539093.30896,,,241295.3454,,,,663711.26199,,,,,,,,271849.79206,,,,,,,,,187026.13583,,,254805.53249,314746.83356,,572246.17581,,,238021.44633,,,,229422.10827,,,299934.18372,,,,511543.87309,,,,,,,,,,,,,,,,,251225.32393,,,,245106.18087,,374593.06545,,213144.73485,223373.55935,206924.61059,,,,,,,,,293148.71324,,,260513.64217,207648.00921,305881.69819,216833.69896,177794.93999,193638.89099,,,367311.63384,335884.83131,,,,515322.32422,,3531516.06825,,205788.51854,340092.72439,,,,,,216719.05207,439659.31878,,1130297.24702,,780113.99641,647984.96297,97345.72914,204925.8295,,,,,,199010.85349,,,,,340091.3199,,183608.40128,,204613.38958,,,,-273475.45318,281690.99545,,215588.34518,3789853.70251,,,
2018-07-31,28568229.8556,9753509.22102,14005787.26006,5523622.2705,8220499.2165,3841775.26580999,5798153.98955999,4452834.86148,4272474.66439,,1549359.63148999,,5885422.10246,,,,5593345.11754,,,,2403180.34419,,,769614.498680001,,2105780.57443,,1779364.66597,,-9272986.06293,,,5213254.3613,2613880.59096,,1237052.98913,,265781.81567,,500610.03818,375757.15209,474811.44394,2363890.85462,958630.51272,146430.0401,784779.21334,594226.62944,408191.21291,316114.96104,,,,,28194669.48245,,,,304134.20343,,,,224938.93081,,,,,,,,899295.76516,,,539348.27128,,,216355.35355,,,,671571.20376,,,,,,,,274975.01229,,,,,,,,,188302.28463,,,258128.90132,333423.83081,,619790.70286,,,238912.09368,,,,229492.50899,,,299917.21278,,,,517168.86731,,,,,,,,,,,,,,,,,263342.8633,,,,246815.34421,,378666.01324,,213717.31309,223796.56705,206930.4968,,,,,,,,,298373.6901,,,262264.55164,212558.19353,310909.92605,216919.15453,179472.63334,194360.5097,,,427235.59943,336218.36303,,,,547375.3396,,3652076.12683,,211161.37711,341940.86787,,,,,,216922.09118,442117.30106,,1164907.5345,,814954.55376,658357.16892,101882.23902,206533.77509,,,,,,232073.68912,,,,,332938.43334,,124907.62631,,215189.53037,,,,231384.75151,282284.33612,,215634.65561,3835451.28124,,,
2018-08-31,31998568.12007,10184652.79463,13882290.88397,5798831.99766,7944381.61202,3583058.85723,6087001.60007,4644432.25739,4302987.9785,,1429359.33519,,6107410.31361,,,,5649763.25294,,,,2444474.31872,,,772739.061880001,,2106170.6245,,1815992.50131,,-9348722.00571,,,5234215.2131,1766973.63937,,1232741.17384,,263850.16449,,506723.92128,317204.09167,464998.89472,2422152.19278,968689.13687,140616.71451,799007.60794,599594.44853,399720.27361,315199.30823,,,,,28361122.88629,,,,309353.61115,,,,230115.47664,,,,,,,,883083.18323,,,540694.50867,,,163742.81857,,,,683158.95056,,,,,,,,278892.88185,,,,,,,,,192343.7247,,,262596.02903,337755.84651,,656592.78807,,,238890.64419,,,,229496.97765,,,299824.47415,,,,524371.62095,,,,,,,,,,,,,,,,,261557.14762,,,,246985.51048,,383275.27131,,215530.76163,225185.03892,206958.73149,,,,,,,,,300196.21472,,,263741.25801,218760.71714,315984.31956,217914.07899,181003.50091,195212.28904,,,432032.26665,293071.73695,,,,562529.16828,,3806010.68502,,208045.0201,350480.7577,,,,,,217114.31811,448816.27619,,1190310.17119,,849936.93577,666685.61291,,206756.89619,,,,,,231093.87803,,,,,339341.39229,,122901.34028,,211676.54332,,,,232591.46147,284105.04729,,215692.46706,3887845.58311,,,
2018-09-30,26020521.16839,10549036.43331,13585359.05708,5963878.15812,8380367.7292,3409291.51690999,6041075.72927,4780962.25664,4573639.40005,,1265210.20925999,,6094306.64749,,,,5559759.48085,,,,2452249.09673,,,822316.559590001,,2098858.52429,,1854964.69871,,-9267449.84662,,,5322192.39565,1882958.82081,,1196909.83024,,271065.66466,,513987.97054,316402.10994,457596.45029,2808196.43116,976403.32113,18682.3517899998,799356.3105,600332.5106,405078.13963,317408.85717,,,,,28625595.5932,,,,312296.67694,,,,230317.75167,,,,,,,,883870.71722,,,541586.46013,,,162710.01434,,,,687146.10325,,,,,,,,281946.40715,,,,,,,,,291550.41005,,,262867.76995,351868.65114,,659403.37656,,,238956.80296,,,,229504.84635,,,300566.66163,,,,530413.7612,,,,,,,,,,,,,,,,,261860.46147,,,,248247.5377,,388102.60104,,216526.23828,225808.2441,206394.845,,,,,,,,,303505.24892,,,264814.19325,211638.3021,320920.64388,218815.12841,182352.25432,196011.40015,,,438822.05569,356783.60156,,,,532218.2449,,3926824.49197,,207138.68481,352876.59147,,,,,,217632.18599,452203.29235,,1198575.11873,,886495.78508,680490.06631,,215234.67074,,,,,,227000.21967,,,,,346661.58992,,116406.68852,,211460.81145,,,,232958.37213,286206.43839,,215829.92011,3887597.6769,,,
2018-10-31,28600502.28881,11010448.99545,13410291.52128,6218792.37688,8401428.24443,3670962.7923,5427783.12671,5039821.72365,4735785.51306,,1197979.61481999,,6270863.5515,,,,5656602.72116,,,,2480637.1095,,,824707.329020001,,2090729.00837,,1880323.90115,,-9258333.61241,,,5344787.79695,1993476.56815,,1204666.62648,,271724.97199,,524370.29783,314428.15186,509049.845,2864506.67793,983990.12338,18469.3532099999,,603801.39062,404719.06722,321044.01319,,,,,29022466.2318,,,,314386.80339,,,,231749.71236,,,,,,,,886809.4479,,,542165.41769,,,138454.26036,,,,697908.59516,,,,,,,,287939.50753,,,,,,,,,293591.09847,,,267113.18798,434148.86233,,701598.86562,,,239027.14714,,,,229514.71664,,,299563.87375,,,,536209.54027,,,,,,,,,,,,,,,,,261953.77792,,,,248259.02616,,394925.63083,,217893.91024,225594.24021,205891.59651,,,,,,,,,307317.30951,,,266146.56103,215938.22006,326448.89584,218948.77728,184099.1709,196815.86816,,,445669.82029,371996.20687,,,,539529.68763,,4119183.87344,,207162.37469,358424.1366,,,,,,249110.40293,660200.71036,,1999578.39877,,898166.95587,687114.13135,,214335.53114,,,,,,226190.39591,,,,,353252.76526,,76369.45142,,214278.35119,,,,235964.84721,290616.35899,,215048.43713,3946385.89091,,,
