Date,ПРИВАТБАНК,РАЙФФАЙЗЕН БАНК АВАЛЬ,ОЩАДБАНК,УКРСИББАНК,УКРЕКСІМБАНК,УКРСОЦБАНК,ПРОМІНВЕСТБАНК,ОТП БАНК,СЕНС БАНК,НАДРА,ВТБ БАНК,ФОРУМ,ПУМБ,ФІНАНСИ ТА КРЕДИТ,ОМЕГА БАНК,БРОКБІЗНЕСБАНК,УКРГАЗБАНК,УКРПРОМБАНК,КРЕДИТПРОМБАНК,РОДОВІД БАНК,ПІВДЕННИЙ,ЕРСТЕ БАНК,УНIКРЕДИТ БАНК,УНІВЕРСАЛ БАНК,ВIEЙБI БАНК,ПРАВЕКС-БАНК,ДОНГОРБАНК,КРЕДОБАНК,ДЕЛЬТА БАНК,ФІНАНСОВА ІНІЦІАТИВА,ХРЕЩАТИК,IМЕКСБАНК,СБЕРБАНК,СІТІБАНК,КАЛІОН БАНК УКРАЇНА,ІНДУСТРІАЛБАНК,IНДУСТРІАЛЬНО-ЕКСПОРТНИЙ БАНК,КИЇВ,БАНК МОРСЬКИЙ,ФІДОБАНК,БАНК КРЕДИТ ДНІПРО,КЛІРИНГОВИЙ ДІМ,ПРОКРЕДИТ БАНК,МЕГАБАНК,БМ БАНК,ВІЕС БАНК,ПІРЕУС БАНК МКБ,БТА БАНК,КРЕДИТ ЄВРОПА БАНК,ЄВРОПЕЙСЬКИЙ,ЕКСПРЕС-БАНК,АКТИВ БАНК,ЕКСПОБАНК,КАПІТАЛ,УКРАЇНСЬКИЙ ПРОФЕСІЙНИЙ БАНК,ХОУМ КРЕДИТ БАНК,УКРІНБАНК,АГРОПРОСПЕРІС БАНК,СОЮЗ,БАНК ТАВРИКА,IПОБАНК,АЛЬТБАНК,Діамантбанк,БГ БАНК,БАНК HАЦІОНАЛЬНІ ІНВЕСТИЦІЇ,УКРБІЗНЕСБАНК,СТАНДАРТ,БІГ ЕНЕРГІЯ,ПЛАТИНУМ БАНК,АРКАДА,ЕНЕРГОБАНК,БАЗИС,БАНК ІНВЕСТИЦІЙ ТА ЗАОЩАДЖЕНЬ,БАНК ДЕМАРК,ПЕТРОКОММЕРЦ-УКРАЇНА,МІСТО БАНК,СХІДНОЄВРОПЕЙСЬКИЙ БАНК,ДНІСТЕР,ЗАХІДІНКОМБАНК,ПОЛТАВА - БАНК,БАНК ЗОЛОТІ ВОРОТА,АКЦЕНТ-БАНК,БАНК МЕРКУРІЙ,ЗЛАТОБАНК,ПІВДЕНКОМБАНК,ТРАНСБАНК,ФІНБАНК,ПЕРШИЙ ІНВЕСТИЦІЙНИЙ БАНК,ІНПРОМБАНК,ФОРТУНА БАНК,БАНК РЕГІОНАЛЬНОГО РОЗВИТКУ,ЗЕМЕЛЬНИЙ БАНК,БАНК КАМБІО,ДАНІЕЛЬ,ПАРТНЕР-БАНК,СОЦКОМБАНК,ЛЬВІВ,УКРАЇНСЬКИЙ ФІНАНСОВИЙ СВІТ,УКРГАЗПРОМБАНК,МЕТАБАНК,ГЛОБУС,АВТОКРАЗБАНК,ІДЕЯ БАНК,IНТЕГРАЛ БАНК,АРТЕМ-БАНК,ТРАСТ,АРМА,ТЕРРА БАНК,НОВИЙ,АЙБОКС БАНК,БАНК БОГУСЛАВ,ПОРТО-ФРАНКО,КОМІНВЕСТБАНК,БАНК СТОЛИЦЯ,НАЦІОНАЛЬНИЙ КРЕДИТ,ОДЕСА-БАНК,БАНК ГРАНТ,УКРКОМУНБАНК,СИНТЕЗ,АКСІОМА,ПРОМЕКОНОМБАНК,ВОЛОДИМИРСЬКИЙ,ЄВРОПЕЙСЬКИЙ БАНК РАЦІОН.ФІНАНС.,БАНК КОНТРАКТ,ЄВРОГАЗБАНК,ЕРДЕ БАНК,ТК КРЕДИТ,УКРАЇНСЬКА ФІНАНСОВА ГРУПА,ЛЕГБАНК,РЕАЛ БАНК,ПРЕМIУМ,IНТЕРБАНК,IНВЕСТБАНК,ПОЛІКОМБАНК,ФІНРОСТБАНК,АКТАБАНК,ФІНЕКСБАНК,АКОРДБАНК,УКООПСПІЛКА,КРЕДИТВЕСТ БАНК,ПРОМИСЛОВО-ФІНАНСОВИЙ БАНК,КОНКОРД,КОМЕРЦІЙНИЙ ІНДУСТРІАЛЬНИЙ БАНК,ОКСІ БАНК,СТОЛИЧНИЙ,ТММ-БАНК,ПРАЙМ-БАНК,ДІАЛОГБАНК,ОЛІМПІЙСЬКА УКРАЇНА,ЄВРОБАНК,УНIКОМБАНК,"""ПРИЧОРНОМОР'Я""",МОТОР-БАНК,СХІДНО-ПРОМИСЛОВИЙ БАНК,ВЕЛЕС,РАДАБАНК,ЄВРОПРОМБАНК,МІЖНАРОДНИЙ ІНВЕСТИЦІЙНИЙ БАНК,УКРБУДІНВЕСТБАНК,БАНК ФАМІЛЬНИЙ,УКРАЇНСЬКИЙ БАНК РЕКОНСТР.ТА РОЗВ.,НК БАНК,КРЕДИТ ОПТИМА БАНК,АСВІО БАНК,БАНК АЛЬЯНС,КЛАСИКБАНК,ДІАПАЗОН-МАКСИМУМ БАНК,АВАНТ-БАНК,БАНК 3/4,ВСЕУКРАЇНСЬКИЙ БАНК РОЗВИТКУ,КРЕДІ АГРІКОЛЬ БАНК,ЄКАТЕРИНОСЛАВСЬКИЙ КОМЕРЦІЙНИЙ БАНК,СКАЙ БАНК,ДОЙЧЕ БАНК ДБУ,ПРОФІНБАНК,АПЕКС-БАНК,МІСЬКИЙ КОМЕРЦІЙНИЙ БАНК,РАДИКАЛ БАНК,ГРІН БАНК,ЦЕНТР,МТБ БАНК,БАНК РИНКОВІ ТЕХНОЛОГІЇ,ТАСКОМБАНК,БАНК ПЕРШИЙ,А - БАНК,БАНК ВОСТОК,ДІВІ БАНК,БАНК СІЧ,ЮНЕКС БАНК,ІНТЕРКРЕДИТБАНК,МЕЛІОР БАНК,БАНК СОФІЙСЬКИЙ,ФІНАНСОВИЙ ПАРТНЕР,АЛЬПАРІ БАНК,БАНК ЮНІСОН,ФІДОКОМБАНК,МЕГА БАНК,БАНК МИХАЙЛІВСЬКИЙ,БАНК АВАНГАРД,ЮНІОН СТАНДАРД БАНК,ВЕРНУМ БАНК,КСГ БАНК,БАНК ПОРТАЛ,ДЕРЖЗЕМБАНК,ГЕФЕСТ,ВЕКТОР БАНК,БАНК ФОРВАРД,КРИСТАЛБАНК,СМАРТБАНК,РВС БАНК,ІНГ БАНК УКРАЇНА,ІНВЕСТБАНК,ПФБ,КОМІНБАНК
2018-01-31,1014298.53225,217609.66348,250562.60038,110096.64049,73849.02004999999,37979.63778,18277.44726,88108.97682000001,151973.92239999998,0.0,3899.78427,0.0,96949.16164,0.0,0.0,0.0,50862.57033999999,0.0,0.0,0.0,40896.57035,0.0,0.0,15398.799959999998,0.0,8270.63298,0.0,29576.216719999997,0.0,642.15,0.0,0.0,21342.8294,8542.94942,0.0,14344.20241,0.0,1389.83577,0.0,589.7109800000001,9749.75783,3585.3042499999997,16754.57134,18694.58153,1183.73198,6283.67935,7268.48537,161.99193000000002,-1229.8632699999998,0.0,0.0,0.0,0.0,503.01056,0.0,0.0,0.0,793.67228,0.0,0.0,0.0,2347.50248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64442.325509999995,0.0,0.0,21708.77129,0.0,0.0,845.75005,0.0,0.0,0.0,6649.08738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3610.98298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4003.00552,0.0,0.0,2578.79703,13535.28747,0.0,8554.47474,0.0,0.0,288.11698,0.0,0.0,0.0,18871.97292,0.0,0.0,6755.5785399999995,0.0,0.0,0.0,2499.21285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1655.56707,0.0,0.0,0.0,7383.158869999999,0.0,1756.2441599999995,0.0,2881.42796,3638.351470000001,424.93042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2366.82808,0.0,0.0,2860.3859399999997,198.45924,6650.18188,4979.97706,944.4036300000002,4.88791,0.0,0.0,1486.36952,5146.7282700000005,0.0,0.0,0.0,2269.0592699999997,0.0,54805.16938,0.0,676.3559200000001,1214.0396899999998,0.0,0.0,0.0,0.0,0.0,60.56605,11458.8078,0.0,19179.37018,0.0,34991.326010000004,16043.709189999998,583.2174500000001,2834.94807,0.0,0.0,0.0,0.0,0.0,27.394990000000004,4530.54975,0.0,0.0,0.0,1127.50573,0.0,747.01063,0.0,92.92108,0.0,0.0,0.0,2819.3097199999997,2262.20464,0.0,4143.62657,-1386.5104500000016,0.0,0.0,0.0
2018-02-28,2129759.0560999997,414628.69675000006,445522.99943,226023.03287,135257.80489,83085.17122999999,33954.218179999996,170697.68816000002,275200.6991,0.0,19919.22659,0.0,180139.97731,0.0,0.0,0.0,99179.53488,0.0,0.0,0.0,86768.56875,0.0,0.0,36639.19875,0.0,15591.19513,0.0,61747.58159,0.0,1261.87,0.0,0.0,41730.74116,23140.17042,0.0,27552.19367,0.0,3035.09818,0.0,1404.17155,17921.29647,7196.442599999999,34078.53674,38989.08367,2039.54062,13226.02624,14417.89449,374.20722,-2858.98167,0.0,0.0,0.0,0.0,978.1871700000002,0.0,0.0,0.0,1872.10903,0.0,0.0,0.0,3790.19245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141811.6136,0.0,0.0,41973.00303,0.0,0.0,1595.41787,0.0,0.0,0.0,13873.5186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7363.44823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8807.17332,0.0,0.0,5336.25534,25103.349550000003,0.0,18524.50823,0.0,0.0,574.93525,0.0,0.0,0.0,30053.58285,0.0,0.0,14025.95271,0.0,0.0,0.0,4838.582600000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3404.57647,0.0,0.0,0.0,14475.49925,0.0,2851.7238,0.0,5328.118829999999,6667.6267,912.0646399999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4433.260560000001,0.0,0.0,5706.88833,418.44037,13549.13004,10992.25742,1786.0654499999996,55.26817,0.0,0.0,2482.31815,11714.03517,0.0,0.0,0.0,5194.10442,0.0,113421.08812,0.0,3169.49075,2611.9263,0.0,0.0,0.0,0.0,0.0,110.81606,22560.37486,0.0,43646.15927999999,0.0,59904.86321999999,33598.48042,1113.2031700000002,5386.11442,0.0,0.0,0.0,0.0,0.0,106.04417,8753.40363,0.0,0.0,0.0,1864.02468,0.0,2491.45473,0.0,159.01343,0.0,0.0,0.0,5338.082400000001,4806.59437,0.0,6845.94624,-2742.1425500000005,0.0,0.0,0.0
2018-03-31,3438957.2833800004,629909.04171,712225.9687000001,400705.1595199999,214177.96835,134672.53205,51124.53758,259119.60664,416470.61106,0.0,24792.55584,0.0,261894.18879,0.0,0.0,0.0,149452.59008,0.0,0.0,0.0,134673.18979,0.0,0.0,66004.07736,0.0,24538.72921,0.0,94480.91579,0.0,1892.33,0.0,0.0,65729.45709000001,32898.95956,0.0,40934.6839,0.0,4342.28427,0.0,2194.78641,29873.16424,11095.88844,51960.83502,60830.44724,2438.10986,20416.55185,22190.83582,682.70445,-3982.19822,0.0,0.0,0.0,0.0,1553303.4824100002,0.0,0.0,0.0,2944.04947,0.0,0.0,0.0,5138.93632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249854.4897,0.0,0.0,65725.03860999999,0.0,0.0,2236.52201,0.0,0.0,0.0,20717.96694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11334.335759999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13170.6698,0.0,0.0,8437.27059,37680.925149999995,0.0,28095.626859999997,0.0,0.0,854.6070199999999,0.0,0.0,0.0,47464.394539999994,0.0,0.0,22050.63993,0.0,0.0,0.0,7266.08102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5010.8889500000005,0.0,0.0,0.0,22704.00234,0.0,4380.78892,0.0,7985.65663,10955.76056,1310.68771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6689.194519999999,0.0,0.0,9032.50977,609.34504,20512.33989,17273.70131,2852.14342,59.768339999999995,0.0,0.0,3924.70656,18793.35031,0.0,0.0,0.0,6508.928749999999,0.0,175908.04059,0.0,4207.83864,4282.11413,0.0,0.0,0.0,0.0,0.0,1681.7723699999997,34318.72383,0.0,71039.20441,0.0,86257.82046,54001.4449,1659.0041200000005,8229.62122,0.0,0.0,0.0,0.0,0.0,346.36359,13354.34933,0.0,0.0,0.0,3529.4795900000004,0.0,3642.81965,0.0,267.00926,0.0,0.0,0.0,8654.32102,7074.86832,0.0,9414.13679,-4475.937890000001,0.0,0.0,0.0
2018-04-30,4651938.17956,834959.5595699999,963010.42785,517738.92898,285380.43715,184142.62129,67723.36628,344097.17968999996,554768.01704,0.0,28380.134620000004,0.0,353837.70491,0.0,0.0,0.0,205189.12631,0.0,0.0,0.0,179378.48937999998,0.0,0.0,96174.44969,0.0,31293.449830000005,0.0,126961.03154,0.0,2528.69,0.0,0.0,87007.5359,48321.48533,0.0,54818.87442,0.0,5682.276749999999,0.0,3087.51343,41478.471280000005,14912.64788,67745.10082,81315.3274,2540.99681,26902.35733,29762.449630000003,1052.36657,-5383.75928,0.0,0.0,0.0,0.0,2081676.0900000003,0.0,0.0,0.0,4997.55104,0.0,0.0,0.0,6419.28763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323982.46894,0.0,0.0,86847.40187,0.0,0.0,2944.4436100000003,0.0,0.0,0.0,28078.49425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14857.50044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17202.9871,0.0,0.0,12743.37504,50847.75751,0.0,37675.10666,0.0,0.0,1168.99428,0.0,0.0,0.0,61025.144660000005,0.0,0.0,29066.195880000003,0.0,0.0,0.0,9911.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6652.86675,0.0,0.0,0.0,31494.875269999997,0.0,6548.17654,0.0,10996.69356,14516.07957,1773.88243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10013.17099,0.0,0.0,12407.18449,851.80132,27228.44554,23046.924929999997,3851.9634800000017,64.52365999999999,0.0,0.0,5313.212750000001,23940.84403,0.0,0.0,0.0,8187.103910000001,0.0,237966.7143,0.0,4887.308040000001,5575.76481,0.0,0.0,0.0,0.0,0.0,2419.4141600000003,46813.258,0.0,98261.0404,0.0,114913.56352,72473.31436,1836.3587700000005,11231.93448,0.0,0.0,0.0,0.0,0.0,506.75289,16222.47039,0.0,0.0,0.0,4324.22829,0.0,4552.8222399999995,0.0,390.54787,0.0,0.0,0.0,10924.09617,9701.87818,0.0,12658.50204,-5875.518520000001,0.0,0.0,0.0
2018-05-31,5947626.20427,1083915.35974,1224147.71645,658462.61842,357948.63495999994,229825.92532,86330.23387,438261.6809499999,712882.1093700001,0.0,33276.25993,0.0,452162.8406,0.0,0.0,0.0,268777.75801,0.0,0.0,0.0,224645.46605,0.0,0.0,130098.98397,0.0,39690.4213,0.0,165552.04815,0.0,3153.3,0.0,0.0,107624.85966,63720.0295,0.0,67272.53884,0.0,7778.373199999999,0.0,4090.056019999999,52713.17629,19141.20556,88704.66024000001,98839.68021,4078.08142,33809.22558,38000.31173,1304.52051,-6622.373959999999,0.0,0.0,0.0,0.0,2617439.9070300004,0.0,0.0,0.0,6242.92747,0.0,0.0,0.0,7757.222449999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,387179.2644,0.0,0.0,111940.27366,0.0,0.0,3709.47661,0.0,0.0,0.0,36148.13268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18644.74049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21799.79949,0.0,0.0,16954.90526,64204.62195,0.0,49155.60543,0.0,0.0,1509.0713,0.0,0.0,0.0,79258.14921,0.0,0.0,36080.24876,0.0,0.0,0.0,12477.44091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8390.92391,0.0,0.0,0.0,40828.210289999995,0.0,9284.06951,0.0,14802.440720000002,18040.20394,2184.53207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13770.92976,0.0,0.0,15802.19998,1138.52687,34762.572369999994,29176.03657,4863.731120000001,65.50166999999999,0.0,0.0,6788.82468,29061.53445,0.0,0.0,0.0,9883.94715,0.0,305306.70590999996,0.0,6062.35684,6933.66439,0.0,0.0,0.0,0.0,0.0,3430.24139,59185.83909,0.0,121465.08754,0.0,142050.08912999998,92948.4961,1922.28423,14292.01792,0.0,0.0,0.0,0.0,0.0,599.5377,18431.17547,0.0,0.0,0.0,5185.55124,0.0,5905.931500000001,0.0,482.8042899999999,0.0,0.0,0.0,14158.298409999998,11971.95151,0.0,17812.130220000003,-7247.256699999998,0.0,0.0,0.0
2018-06-30,7327342.830880001,1305676.61456,1493232.23812,767737.5698,432739.2233099999,274090.83024000004,102867.57377,529397.67205,870700.95002,0.0,36970.18569,0.0,535940.3521499999,0.0,0.0,0.0,322498.73049,0.0,0.0,0.0,268141.88609,0.0,0.0,165237.77925999998,0.0,47133.23387,0.0,198945.42946,0.0,3792.0,0.0,0.0,129621.50569,79805.18594,0.0,80777.80236,0.0,9444.32645,0.0,4701.208439999999,64782.529859999995,23111.64398,107434.6919,115037.33793999998,4646.39221,39893.38969,45656.46652,1844.2669,-8085.860229999999,0.0,0.0,0.0,0.0,3164802.18306,0.0,0.0,0.0,7627.400680000001,0.0,0.0,0.0,9134.47849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,477171.97679,0.0,0.0,139665.59904,0.0,0.0,4411.982279999999,0.0,0.0,0.0,43972.18468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22158.3393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26806.54566,0.0,0.0,20153.00262,78211.7496,0.0,59423.36813,0.0,0.0,1796.18763,0.0,0.0,0.0,96122.63123,0.0,0.0,43135.658500000005,0.0,0.0,0.0,14978.66728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10006.83997,0.0,0.0,0.0,49531.14651,0.0,12150.707440000002,0.0,18472.59302,20684.47548,2687.2742099999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16828.58248,0.0,0.0,19338.38756,1363.48934,42047.26143,36373.00906,5747.857459999999,69.03945,0.0,0.0,8310.40674,33864.047569999995,0.0,0.0,0.0,12375.10334,0.0,368356.8097700001,0.0,6807.4426300000005,8491.86816,0.0,0.0,0.0,0.0,0.0,4200.226320000002,70906.43818,0.0,147048.09128,0.0,166079.25702000002,113258.76023,1967.1145799999997,17258.61901,0.0,0.0,0.0,0.0,0.0,791.9423,0.0,0.0,0.0,0.0,5812.011310000001,0.0,10004.93402,0.0,554.31932,0.0,0.0,0.0,17081.19743,14880.16198,0.0,22846.64198,-6949.829599999997,0.0,0.0,0.0
2018-07-31,8894664.50545,1568677.46598,1840465.52151,904077.1549,518474.09136,325334.82094,119911.79781,626018.82955,1090448.50074,0.0,39979.89118,0.0,644184.99584,0.0,0.0,0.0,382893.40017,0.0,0.0,0.0,315917.72163,0.0,0.0,198107.05367,0.0,54106.91644000001,0.0,236751.27891,0.0,4403.89997,0.0,0.0,155041.69678,95064.01535,0.0,93866.73092,0.0,10815.97576,0.0,5514.98454,77716.41931999999,27750.00937,126945.49376,133493.29301,4731.74834,46629.1848,54834.86257,1986.1091100000003,-9666.33693,0.0,0.0,0.0,0.0,3770857.6719999993,0.0,0.0,0.0,9792.625220000002,0.0,0.0,0.0,10854.70535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,562180.26442,0.0,0.0,165306.98359,0.0,0.0,5013.57851,0.0,0.0,0.0,51758.65766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26241.72195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31600.221520000003,0.0,0.0,24062.292800000003,96883.55613,0.0,72264.90857999999,0.0,0.0,2165.8740399999997,0.0,0.0,0.0,123684.9048,0.0,0.0,51253.93454,0.0,0.0,0.0,17680.97209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11839.30496,0.0,0.0,0.0,60106.11292,0.0,14201.114629999998,0.0,23354.25383,23342.818799999997,3187.79841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20909.74328,0.0,0.0,23247.12958,1603.60702,49533.07262,43452.3611,6798.385539999999,73.86093000000001,0.0,0.0,9752.03662,44033.06465,0.0,0.0,0.0,16503.0077,0.0,439107.33568,0.0,7507.40634,10416.29498,0.0,0.0,0.0,0.0,0.0,5506.14076,84141.28944,0.0,172775.51983,0.0,193766.21728,134942.54284,1966.78406,20696.19792,0.0,0.0,0.0,0.0,0.0,874.3144599999999,0.0,0.0,0.0,0.0,6754.133,0.0,10973.71208,0.0,796.40231,0.0,0.0,0.0,19570.72227,17578.24994,0.0,27389.25284,-4599.742550000003,0.0,0.0,0.0
2018-08-31,10274087.35906,1829825.7219,2154694.44742,1039516.32963,592585.9495699999,365730.56514,137173.99126,738567.8021800001,1258668.2647000002,0.0,44157.86842,0.0,743053.7812600001,0.0,0.0,0.0,466061.00929,0.0,0.0,0.0,379226.33384999994,0.0,0.0,248572.82396,0.0,62264.19635,0.0,275344.76526,0.0,4988.89997,0.0,0.0,176795.05615000002,110772.43811,0.0,105860.47997,0.0,11823.08281,0.0,6370.78222,89991.75786,31805.2626,148084.31511000005,152336.84861000002,4737.669,52304.903280000006,63785.49274,2222.11354,-10822.498490000002,0.0,0.0,0.0,0.0,4375930.1749,0.0,0.0,0.0,11613.68913,0.0,0.0,0.0,12592.37043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,619934.92294,0.0,0.0,191277.03016,0.0,0.0,5656.4371,0.0,0.0,0.0,59967.21299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30640.67875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36481.55873,0.0,0.0,28220.735559999997,114971.60019,0.0,84213.91047999999,0.0,0.0,2343.1775399999997,0.0,0.0,0.0,143901.71287,0.0,0.0,58638.912639999995,0.0,0.0,0.0,20418.294329999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13725.24478,0.0,0.0,0.0,71485.33121,0.0,16577.87575,0.0,29940.345620000004,26163.400390000003,4042.291200000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24461.12969,0.0,0.0,27513.529669999996,1906.33276,58199.51647,51169.28537,7730.030980000001,75.86568,0.0,0.0,11257.05957,56310.907869999995,0.0,0.0,0.0,20754.57165,0.0,511043.5557,0.0,8190.56874,12313.08034,0.0,0.0,0.0,0.0,0.0,10439.85326,98515.99742,0.0,200959.34446,0.0,222077.10779,158587.91177,0.0,24188.31454,0.0,0.0,0.0,0.0,0.0,940.61611,0.0,0.0,0.0,0.0,7529.748100000001,0.0,12573.33829,0.0,943.24344,0.0,0.0,0.0,21133.45364,20233.7397,0.0,30108.804129999997,-2162.036559999993,0.0,0.0,0.0
2018-09-30,11722326.97705,2051568.21241,2517507.7598099997,1159819.85762,675966.8315,409740.86785,154635.99687,839740.48262,1482622.2288799998,0.0,47846.3832,0.0,833833.17133,0.0,0.0,0.0,528925.95271,0.0,0.0,0.0,427521.11315,0.0,0.0,297743.67152000003,0.0,69705.22982000001,0.0,312583.704,0.0,5554.57997,0.0,0.0,200008.94104,125698.27883,0.0,116287.91328,0.0,14562.61608,0.0,7161.62257,103155.35211,35624.18744,167853.2974,171368.7484,4699.00558,56218.880229999995,71927.21071,2444.81668,-12495.622140000003,0.0,0.0,0.0,0.0,4968360.737559999,0.0,0.0,0.0,13876.92809,0.0,0.0,0.0,14317.43389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,701916.17918,0.0,0.0,218344.11509,0.0,0.0,6083.426649999999,0.0,0.0,0.0,68056.87306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34223.273969999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41241.7248,0.0,0.0,31457.58794,129261.76538,0.0,94603.78426,0.0,0.0,2738.71767,0.0,0.0,0.0,166675.63525,0.0,0.0,65449.18979,0.0,0.0,0.0,23199.03224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15648.25799,0.0,0.0,0.0,83856.06766,0.0,19045.24423,0.0,34944.6884,29164.73356,4816.666929999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27579.15395,0.0,0.0,30928.515379999997,2414.7469,65585.71575,59048.80362,8715.73061,79.70999,0.0,0.0,12955.62251,67404.04639999999,0.0,0.0,0.0,25198.409809999997,0.0,577030.97539,0.0,8851.28823,13827.72958,0.0,0.0,0.0,0.0,0.0,11453.48738,113966.97948,0.0,229608.08957,0.0,245143.35047999996,182838.45466,0.0,27174.52742,0.0,0.0,0.0,0.0,0.0,1013.00145,0.0,0.0,0.0,0.0,8262.943019999999,0.0,13264.57099,0.0,1131.43554,0.0,0.0,0.0,22940.76146,23809.5386,0.0,32820.07269,-1831.0700899999936,0.0,0.0,0.0
2018-10-31,13368667.243,2321933.09596,2839802.18001,1287627.94792,765142.96432,435771.99208000005,172716.27721,945501.77077,1707682.41177,0.0,52325.90405,0.0,944346.31422,0.0,0.0,0.0,607802.01711,0.0,0.0,0.0,478870.54895,0.0,0.0,337098.91228,0.0,76906.95624,0.0,356708.45054,0.0,6141.64997,0.0,0.0,223577.39031,141654.23792999997,0.0,125938.23390000002,0.0,16970.203970000002,0.0,8531.107230000001,117722.55391,40756.04217,187699.25627,190269.57676,4683.291730000001,0.0,81385.35841,2196.73647,-13636.70954,0.0,0.0,0.0,0.0,5542295.6602,0.0,0.0,0.0,15714.76333,0.0,0.0,0.0,16370.24226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,788631.39847,0.0,0.0,247052.58383,0.0,0.0,6623.10767,0.0,0.0,0.0,76683.98350999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39119.91713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46153.61292,0.0,0.0,34913.6422,145201.02961,0.0,106995.57082,0.0,0.0,3199.9109900000003,0.0,0.0,0.0,194997.06288,0.0,0.0,73189.38178000001,0.0,0.0,0.0,26205.15437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17795.02248,0.0,0.0,0.0,97809.76643,0.0,20986.34547,0.0,41469.84884,32283.64157,5546.84267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31218.214250000005,0.0,0.0,35115.095420000005,2828.55106,73664.98825,67826.72043,9958.22116,77.40056999999999,0.0,0.0,14635.67532,77910.99544,0.0,0.0,0.0,29373.533020000003,0.0,648601.9298399999,0.0,9781.00466,15408.132749999995,0.0,0.0,0.0,0.0,0.0,608.28621,140883.35463000002,0.0,261903.10982999997,0.0,269388.93023,204344.28089,0.0,31107.431989999997,0.0,0.0,0.0,0.0,0.0,1130.42785,0.0,0.0,0.0,0.0,9233.26214,0.0,14103.62798,0.0,1334.07216,0.0,0.0,0.0,25008.52386,27745.465559999997,0.0,36328.35847,-2252.3205200000084,0.0,0.0,0.0
