Date,ПРИВАТБАНК,РАЙФФАЙЗЕН БАНК АВАЛЬ,ОЩАДБАНК,УКРСИББАНК,УКРЕКСІМБАНК,УКРСОЦБАНК,ПРОМІНВЕСТБАНК,ОТП БАНК,СЕНС БАНК,НАДРА,ВТБ БАНК,ФОРУМ,ПУМБ,ФІНАНСИ ТА КРЕДИТ,ОМЕГА БАНК,БРОКБІЗНЕСБАНК,УКРГАЗБАНК,УКРПРОМБАНК,КРЕДИТПРОМБАНК,РОДОВІД БАНК,ПІВДЕННИЙ,ЕРСТЕ БАНК,УНIКРЕДИТ БАНК,УНІВЕРСАЛ БАНК,ВIEЙБI БАНК,ПРАВЕКС-БАНК,ДОНГОРБАНК,КРЕДОБАНК,ДЕЛЬТА БАНК,ФІНАНСОВА ІНІЦІАТИВА,ХРЕЩАТИК,IМЕКСБАНК,СБЕРБАНК,СІТІБАНК,КАЛІОН БАНК УКРАЇНА,ІНДУСТРІАЛБАНК,IНДУСТРІАЛЬНО-ЕКСПОРТНИЙ БАНК,КИЇВ,БАНК МОРСЬКИЙ,ФІДОБАНК,БАНК КРЕДИТ ДНІПРО,КЛІРИНГОВИЙ ДІМ,ПРОКРЕДИТ БАНК,МЕГАБАНК,БМ БАНК,ВІЕС БАНК,ПІРЕУС БАНК МКБ,БТА БАНК,КРЕДИТ ЄВРОПА БАНК,ЄВРОПЕЙСЬКИЙ,ЕКСПРЕС-БАНК,АКТИВ БАНК,ЕКСПОБАНК,КАПІТАЛ,УКРАЇНСЬКИЙ ПРОФЕСІЙНИЙ БАНК,ХОУМ КРЕДИТ БАНК,УКРІНБАНК,АГРОПРОСПЕРІС БАНК,СОЮЗ,БАНК ТАВРИКА,IПОБАНК,АЛЬТБАНК,Діамантбанк,БГ БАНК,БАНК HАЦІОНАЛЬНІ ІНВЕСТИЦІЇ,УКРБІЗНЕСБАНК,СТАНДАРТ,БІГ ЕНЕРГІЯ,ПЛАТИНУМ БАНК,АРКАДА,ЕНЕРГОБАНК,БАЗИС,БАНК ІНВЕСТИЦІЙ ТА ЗАОЩАДЖЕНЬ,БАНК ДЕМАРК,ПЕТРОКОММЕРЦ-УКРАЇНА,МІСТО БАНК,СХІДНОЄВРОПЕЙСЬКИЙ БАНК,ДНІСТЕР,ЗАХІДІНКОМБАНК,ПОЛТАВА - БАНК,БАНК ЗОЛОТІ ВОРОТА,АКЦЕНТ-БАНК,БАНК МЕРКУРІЙ,ЗЛАТОБАНК,ПІВДЕНКОМБАНК,ТРАНСБАНК,ФІНБАНК,ПЕРШИЙ ІНВЕСТИЦІЙНИЙ БАНК,ІНПРОМБАНК,ФОРТУНА БАНК,БАНК РЕГІОНАЛЬНОГО РОЗВИТКУ,ЗЕМЕЛЬНИЙ БАНК,БАНК КАМБІО,ДАНІЕЛЬ,ПАРТНЕР-БАНК,СОЦКОМБАНК,ЛЬВІВ,УКРАЇНСЬКИЙ ФІНАНСОВИЙ СВІТ,УКРГАЗПРОМБАНК,МЕТАБАНК,ГЛОБУС,АВТОКРАЗБАНК,ІДЕЯ БАНК,IНТЕГРАЛ БАНК,АРТЕМ-БАНК,ТРАСТ,АРМА,ТЕРРА БАНК,НОВИЙ,АЙБОКС БАНК,БАНК БОГУСЛАВ,ПОРТО-ФРАНКО,КОМІНВЕСТБАНК,БАНК СТОЛИЦЯ,НАЦІОНАЛЬНИЙ КРЕДИТ,ОДЕСА-БАНК,БАНК ГРАНТ,УКРКОМУНБАНК,СИНТЕЗ,АКСІОМА,ПРОМЕКОНОМБАНК,ВОЛОДИМИРСЬКИЙ,ЄВРОПЕЙСЬКИЙ БАНК РАЦІОН.ФІНАНС.,БАНК КОНТРАКТ,ЄВРОГАЗБАНК,ЕРДЕ БАНК,ТК КРЕДИТ,УКРАЇНСЬКА ФІНАНСОВА ГРУПА,ЛЕГБАНК,РЕАЛ БАНК,ПРЕМIУМ,IНТЕРБАНК,IНВЕСТБАНК,ПОЛІКОМБАНК,ФІНРОСТБАНК,АКТАБАНК,ФІНЕКСБАНК,АКОРДБАНК,УКООПСПІЛКА,КРЕДИТВЕСТ БАНК,ПРОМИСЛОВО-ФІНАНСОВИЙ БАНК,КОНКОРД,КОМЕРЦІЙНИЙ ІНДУСТРІАЛЬНИЙ БАНК,ОКСІ БАНК,СТОЛИЧНИЙ,ТММ-БАНК,ПРАЙМ-БАНК,ДІАЛОГБАНК,ОЛІМПІЙСЬКА УКРАЇНА,ЄВРОБАНК,УНIКОМБАНК,"""ПРИЧОРНОМОР'Я""",МОТОР-БАНК,СХІДНО-ПРОМИСЛОВИЙ БАНК,ВЕЛЕС,РАДАБАНК,ЄВРОПРОМБАНК,МІЖНАРОДНИЙ ІНВЕСТИЦІЙНИЙ БАНК,УКРБУДІНВЕСТБАНК,БАНК ФАМІЛЬНИЙ,УКРАЇНСЬКИЙ БАНК РЕКОНСТР.ТА РОЗВ.,НК БАНК,КРЕДИТ ОПТИМА БАНК,АСВІО БАНК,БАНК АЛЬЯНС,КЛАСИКБАНК,ДІАПАЗОН-МАКСИМУМ БАНК,АВАНТ-БАНК,БАНК 3/4,ВСЕУКРАЇНСЬКИЙ БАНК РОЗВИТКУ,КРЕДІ АГРІКОЛЬ БАНК,ЄКАТЕРИНОСЛАВСЬКИЙ КОМЕРЦІЙНИЙ БАНК,СКАЙ БАНК,ДОЙЧЕ БАНК ДБУ,ПРОФІНБАНК,АПЕКС-БАНК,МІСЬКИЙ КОМЕРЦІЙНИЙ БАНК,РАДИКАЛ БАНК,ГРІН БАНК,ЦЕНТР,МТБ БАНК,БАНК РИНКОВІ ТЕХНОЛОГІЇ,ТАСКОМБАНК,БАНК ПЕРШИЙ,А - БАНК,БАНК ВОСТОК,ДІВІ БАНК,БАНК СІЧ,ЮНЕКС БАНК,ІНТЕРКРЕДИТБАНК,МЕЛІОР БАНК,БАНК СОФІЙСЬКИЙ,ФІНАНСОВИЙ ПАРТНЕР,АЛЬПАРІ БАНК,БАНК ЮНІСОН,ФІДОКОМБАНК,МЕГА БАНК,БАНК МИХАЙЛІВСЬКИЙ,БАНК АВАНГАРД,ЮНІОН СТАНДАРД БАНК,ВЕРНУМ БАНК,КСГ БАНК,БАНК ПОРТАЛ,ДЕРЖЗЕМБАНК,ГЕФЕСТ,ВЕКТОР БАНК,БАНК ФОРВАРД,КРИСТАЛБАНК,СМАРТБАНК,РВС БАНК,ІНГ БАНК УКРАЇНА,ІНВЕСТБАНК,ПФБ,КОМІНБАНК
2018-04-01,24299656.692225,11468969.06651,31365862.972455,5612052.901145,8003628.279055,4372612.70279,6009505.6978050005,3901915.26034,3939060.52019,,1113889.4017150002,,4983600.535925,,,,5504869.620345,,,,2319591.81142,,,946155.2429150004,,2124953.13664,,1547435.744785,,-4706129.919245,,,5248590.961895,1963972.69862,,1293141.97936,,273682.535595,,471657.77722,889377.6889600004,364005.12906,2077308.18819,1039339.875935,228028.706105,1035093.36624,561879.446095,484605.62616,496615.2348,,,,,201829.7391,,,,299154.880045,,,,221426.67282,,,,,,,,871056.9324149999,,,543618.16918,,,276327.10874,,,,638115.85879,,,,,,,,256517.662715,,,,,,,,,208941.73584,,,243933.99012,285124.68744,,473059.568165,,,237627.200075,,,,229361.731445,,,299837.577195,,,,560085.527535,,,,,,,,,,,,,,,,,259276.56981,,,,182891.257215,,358839.54094,,213704.66754,216008.08974,210054.92084,,,,,,,,,283251.630195,,,254641.383605,314135.672805,287626.22947,214412.28355,168324.72023,188041.83886,,,412292.901365,291762.61736000003,,,,564883.43777,,3343644.70083,,219902.473465,367398.17625,,,,,,217169.87039,476583.502665,,992185.66739,,734172.646175,615263.73238,239358.30446,203386.384585,,,,,,200089.260285,216496.752765,,,,311060.22021,,191483.12946000003,,208952.46894499997,,,,-206971.84718,267118.51102,,227498.71369,3802391.06755,,,
2018-07-01,27396635.51096,11179372.239666669,30611726.058813337,5297501.852103333,8778334.31489,3935751.9556133337,5808154.443689999,4031238.756263333,3979420.3661066666,,1312661.9481433232,,5362750.295946666,,,,5477741.3919566665,,,,2335934.0400866666,,,956843.2433966676,,2121754.6487433333,,1639901.4903133332,,-7516229.143913333,,,4065355.617963333,2265111.969246667,,1259018.4239333335,,274503.18567,,483300.94710333337,812206.2618533332,373406.07145333337,2205952.153676667,957287.55373,190226.5948033333,947532.5431366664,577714.8589133333,407940.71064666664,386613.3815533333,,,,,28064628.463806663,,,,295334.2600333333,,,,220799.96747333332,,,,,,,,880785.61075,,,540501.7589966668,,,196188.88890333337,,,,648721.1757933333,,,,,,,,266185.55842333334,,,,,,,,,189619.5155666667,,,251290.06126,308480.11839666666,,531623.09214,,,237872.63261666664,,,,229333.05952333333,,,299900.9134866667,,,,526484.2911933333,,,,,,,,,,,,,,,,,254774.66641666667,,,,228243.06362333335,,361819.02543,,213428.09646666667,220522.77271,207225.02067,,,,,,,,,285141.05469666666,,,257578.3640966667,263702.98609,296973.92805,216852.6382,171935.31907333332,192344.59640666668,,,375991.50804,307592.92611,,,,548928.9594333334,,3710046.55965,,212911.73812,349748.73851,,,,,,216355.24004333335,476006.9948,,1079181.0239433332,,723332.1377966666,634109.3319766667,219134.65455333333,204320.29578,,,,,,199299.62085,220604.60934,,,,324022.6249033333,,202297.7958633333,,209428.80736,,,,-250981.20730666668,275788.3308066667,,214157.21074,3784117.27725,,,
2018-10-01,29534786.884716664,9741202.875913337,13941094.15896,5538946.886363333,8242448.563329999,3762544.073596664,5875920.5949866595,4443616.060113333,4220864.914256667,,1531246.55707666,,5894723.062939999,,,,5577958.443636667,,,,2409676.18729,,,824033.2024566674,,2108724.4170066663,,1773160.3683033334,,-9289790.405406669,,,5196566.119816667,2290406.86603,,1242696.0501499998,,265870.49520666664,,500305.16061,510413.96965999994,469194.18018333334,2363172.7185266665,961142.9721033334,147685.94371,773600.08313,594396.9564933333,405447.7675466666,323353.4409766667,,,,,28292768.523533333,,,,304238.01845333335,,,,226059.5001966667,,,,,,,,888186.7287733332,,,539712.0296366666,,,207131.17250666663,,,,672813.8054366667,,,,,,,,275239.22873333335,,,,,,,,,189224.0483866667,,,258510.15428,328642.1702933333,,616209.8889133333,,,238608.0614,,,,229470.53163666665,,,299891.95688333333,,,,517694.7871166666,,,,,,,,,,,,,,,,,258708.44495,,,,246302.34518666667,,378844.7833333334,,214130.93652333337,224118.38844,206937.9462933333,,,,,,,,,297239.53935333336,,,262173.1506066667,212988.9732933333,310925.3146,217222.31082666665,179423.69141333332,194403.89657666665,,,408859.8333066667,321724.97709666664,,,,541742.2773666667,,3663200.9600333334,,208331.63858333332,344171.4499866667,,,,,,216918.48712,443530.9653433333,,1161838.31757,,815001.8286466667,657675.9149333333,99613.98408,206072.16692666663,,,,,,220726.14021333333,,,,,337457.04851,,143805.78929000002,,210493.15442333333,,,,63500.25326666667,282693.45962000004,,215638.48928333333,3837716.85562,,,
2019-01-01,28161361.394203335,10978863.988616666,13453418.77897,6202966.967626666,8374570.973979999,3507167.4485966633,5431981.77812,4998455.141176667,4695044.233486666,,1218368.22451666,,6301617.945476666,,,,5654360.508946667,,,,2472189.03855,,,832494.2266766677,,2091025.5347733332,,1894639.2251733337,,-9245026.549403334,,,5345286.722196667,2001238.757573333,,1203894.97494,,271541.67974,,523064.2615,308038.95383666665,497769.5676233333,2866391.793976667,981575.16727,18575.852499999848,799356.3105,603038.8409766667,400606.7372466666,320657.7493466667,,,,,29061041.414366663,,,,315492.68900666665,,,,231673.91843,,,,,,,,886655.0388699999,,,542233.71296,,,131016.35665000005,,,,697393.0962633333,,,,,,,,287112.84067999996,,,,,,,,,293654.72339,,,266341.9689866667,367120.38802333333,,691076.2514033333,,,239015.12173,,,,229525.59962333337,,,299996.56945,,,,536197.4678833333,,,,,,,,,,,,,,,,,261277.10471,,,,248374.40464666663,,393524.8233333333,,241464.19539333333,226023.28239,206112.34386333337,,,,,,,,,307175.2204,,,266270.9619733333,216588.56377333333,326338.8476566667,218953.86315333337,184472.42656333337,196763.16894666667,,,445260.61821333336,373988.66967333335,,,,539624.7084333333,,4099786.1343833334,,207178.85896333333,356980.13163,,,,,,239620.27262666667,594577.73863,,1736435.19102,,964224.02175,688907.55801,,214990.60196,,,,,,225977.77775333333,,,,,344178.84098000004,,89239.07017,,212644.13800666668,,,,236012.6594,290638.1638,,213117.02380333332,3946705.12378,,,
2019-04-01,34808962.92689,12029258.126056666,18550632.227476668,6939342.342063334,8710436.214933334,3246009.80246,3120884.9173166603,5496139.78236,5248874.361620001,,,,6600893.082733333,,,,5851259.866409999,,,,2561006.009686667,,,894088.1670633344,,1997533.3747233332,,2060844.8013333336,,-9209565.545803333,,,5575235.21898,2473882.285693333,,1269963.7751866663,,268344.52321,,545973.6844166667,923713.0285233334,527896.3051,3018589.3089400004,928002.64553,,,612619.9820233333,376768.44321,343568.5130833333,,,,,30699748.110850003,,,,317070.74083666666,,,,234435.48811333333,,,,,,,,963682.32144,,,544522.55814,,,229012.13208333333,,,,724781.2710433333,,,,,,,,295775.74771666666,,,,,,,,,239425.87667,,,275061.5103833333,337446.3991366667,,745027.45378,,,239838.75765666668,,,,230026.05452,,,325409.07715,,,,554124.5485266667,,,,,,,,,,,,,,,,,260068.18331,,,,249423.97375333332,,402914.5681466667,,295907.88399666664,227726.20132,206159.78675333332,,,,,,,,,313231.57471666666,,,271740.34197,220754.69084666664,353806.77559333335,219283.61637000003,188827.3841,198443.64624666667,,,448751.0633833333,406767.22055333335,,,,524370.2388,,4340173.509313334,,214430.26827333332,374068.8929233334,,,,,,250533.9154866667,690596.7225833334,,2148125.3327033333,,1025126.8947300002,718469.5014599999,,215895.11500666663,,,,,,225746.91705333337,,,,,324968.2265366667,,70828.34750333334,,210820.46623666663,,,,243494.04571,273504.063,,213004.99368,4166700.877986667,,,
2019-07-01,33831716.79757,11959250.096336668,18735303.780676667,5907050.336706667,8529430.177006667,2804714.0913,3452858.30025,6169841.825006667,5703348.069606666,,,,7287382.71681,,,,5918542.64956,,,,2621426.8330933335,,,1019020.61565,,1981172.2873066664,,2152163.6558666667,,-9178966.42257,,,7220704.38307,2086344.1189733336,,1273475.3419066668,,268707.41535,,563266.9528733334,956713.2803133334,557097.19133,3162885.63517,939093.6783733334,,,623165.356503333,353855.28645,355254.37735333334,,,,,31707801.749600004,,,,326914.80244,,,,235795.7307233333,,,,,,,,964790.74146,,,546017.9196333333,,,220546.00396333332,,,,709184.9674766666,,,,,,,,302372.19411999994,,,,,,,,,235640.59662333332,,,285090.2778833333,332722.06184000004,,661633.5361166666,,,240207.2089666667,,,,230455.42839333336,,,319595.5730866667,,,,556281.7254866667,,,,,,,,,,,,,,,,,261110.30824666665,,,,247797.46461666664,,413325.50585,,276601.0151166667,230577.97283333333,206360.75934666663,,,,,,,,,319320.90964666667,,,278280.75951,227082.11104,369675.9525666667,221181.52051666667,193168.51118333335,198631.25181666669,,,438003.14663,422794.01601,,,,534668.7325733333,,4493984.219116666,,211427.47871,372876.96859,,,,,,254832.14180333333,688853.1147033334,,2192898.17702,,881945.5738,742680.21446,,215276.03244999997,266522.711415,,,,,221090.4920866667,,,,,345596.29681666667,,83437.168355,,212020.8493433333,,,,256913.18454,276649.8316533333,,310270.11454333336,4057325.899853334,,,
2019-10-01,41385838.79027333,10911213.91409,18434250.297876667,5911245.602123332,8541554.06754666,2506284.923716666,3669764.05518,6761657.652106666,6153047.430646666,,,,7898171.326816667,,,,6159675.002069999,,,,2703139.3051766665,,,1430443.7783200005,,1976391.6089366667,,2301642.39015,,,,,7788899.220510001,2212861.87397,,1285182.00299,,,,580936.2582166666,1079381.9248433334,545934.6702899999,3375178.3576566665,949585.1409466668,,,631341.3047766667,358716.8991933333,374315.82038,,,,,33063056.19723,,,,333613.1414933333,,,,237399.14422666663,,,,,,,,952893.3037833332,,,545547.4478066667,,,204341.54726333337,,,,738918.3259766666,,,,,,,,301239.21946,,,,,,,,,260847.99118,,,294840.58701333334,330978.97109000006,,757576.03377,,,240675.67472,,,,230626.18859333335,,,304473.7482033333,,,,546289.8529466667,,,,,,,,,,,,,,,,,261090.73667333333,,,,255693.25176666665,,416750.76462,,235521.12581333332,235486.86745333337,206457.37623333337,,,,,,,,,325229.2601566667,,,291064.8687666667,247448.30267999996,386990.63699,222881.9404033333,197555.88821,198056.64250333337,,,451252.51917333336,432344.99734333326,,,,503500.8364466667,,4416061.037473333,,166045.75151666667,359717.1373066667,,,,,,260262.06130000003,722614.19778,,2331090.7009233334,,860267.47696,784036.52603,,216099.08961333337,262814.75023,,,,,215497.9345366667,,,,,329054.7808566667,,,,215012.39835666667,,,,294544.3414733333,278222.1638366667,,312674.21677666664,3999479.327846667,,,
2020-01-01,49270802.194636665,12041699.475323334,18944601.724423338,6492979.225756667,10148626.833256667,1982166.8307,3948273.0696866666,7433911.21782,7658536.953783333,,,,8635458.638556667,,,,6812518.78148,,,,2780620.4137233333,,,1694940.9097633334,,1947057.9211466664,,2462369.48758,,,,,8246601.154766667,2818503.769533334,,1284937.9651366663,,,,598470.3391133333,1146936.4394500002,556624.8163866666,3580525.6994100004,953763.7647633334,,,637489.10303,360630.7153433333,395747.35102666664,,,,,34911885.812356666,,,,346602.00642,,,,239058.17565666663,,,,,,,,956438.59753,,,555163.6770733333,,,240843.2913266667,,,,774635.6460433333,,,,,,,,319957.94952666666,,,,,,,,,354661.1273466667,,,308839.2336,336891.2862233333,,877610.7323033334,,,242046.73492,,,,230788.4367333333,,,300418.5191866667,,,,561841.7928533333,,,,,,,,,,,,,,,,,263950.2979633334,,,,264025.7753766666,,422656.78537666664,,257422.54266,243339.71706666664,206570.37430333332,,,,,,,,,333018.39525999996,,,307415.21493333334,247903.01731,402892.5892433333,223727.54863666664,202762.0304566667,196540.95487666663,,,454317.78921333334,478746.0059666666,,,,511064.1899966667,,4916669.986383334,,160590.48997666666,369967.8096,,,,,,265206.21448333334,751386.5741166668,,2475185.897693333,,928500.54992,838043.45494,,225321.76675666668,276788.15324333333,,,,,213210.26428333332,,,,,331797.22830666666,,,,215268.21599666667,,,,342700.8415066667,283155.3600666667,,284491.5842533333,4158637.910626666,,,
2020-04-01,59278323.96755666,13471863.080733337,19990754.350596663,6950117.5884,9649947.426673332,,3180922.8108566664,7966079.47536,8458826.317186667,,,,9415015.494116666,,,,8533411.558366666,,,,2861367.0700933333,,,1735099.8482233332,,1892700.0687433332,,2630938.01178,,,,,8440000.05382,3456568.05608,,1283862.2674133333,,,,613599.6774433333,1249299.31663,546580.6379999999,4009485.6269633337,861435.4267166667,,,639880.2720933334,358995.1175366666,401088.7749366667,,,,,36586871.30863332,,,,341277.43152000004,,,,241809.25665333332,,,,,,,,1043220.765,,,563493.1879933333,,,250532.6327033333,,,,805438.6079933333,,,,,,,,352587.5843866667,,,,,,,,,360930.2621833333,,,321486.51507,342766.14432,,953330.7751666668,,,240124.59847,,,,239512.85797666665,,,310525.9475333333,,,,586794.3148566666,,,,,,,,,,,,,,,,,265413.0155133333,,,,274328.8262633333,,429607.0750333333,,281956.07138333336,251531.56102333337,206662.04787,,,,,,,,,335254.96143333334,,,310516.72016333335,254810.86666666667,406026.8833433334,223900.61379666664,201685.77425,192616.44735666667,,,450558.2285833333,499205.13490666664,,,,528237.12471,,5314400.50469,,157241.91130666665,374346.58614666667,,,,,,264745.41268666665,787124.0558933333,,2602226.26468,,1003921.1912433332,903256.6793066668,,229455.5002733333,276755.18514666666,,,,,213216.63896666665,,,,,333449.13443000003,,,,217545.63107,,,,361419.6385266667,280042.9827666667,,403689.5956233333,4327264.441743333,,,
2020-07-01,59010461.01687333,14181538.834793337,22213592.42416333,7309416.74905,5632420.176946666,,3092134.5711966665,8368849.372856666,8730362.48663,,,,8512078.57688,,,,8017969.169846668,,,,2820875.5108666667,,,1887292.42437,,1838958.7639366668,,2762429.450256666,,,,,8354646.46929,3757378.92018,,1299227.8899633333,,,,619788.6123666667,953896.5154966668,562398.74616,4142180.18629,765458.1575133334,,,639715.55772,321778.5385833333,410891.1028033334,,,,,35454202.79071667,,,,335084.72824333335,,,,240572.75640333336,,,,,,,,1037557.7047866668,,,578671.1843666667,,,201607.37662333337,,,,823768.9813000001,,,,,,,,359285.22746333334,,,,,,,,,372799.13216,,,324033.8461133333,366203.5102166667,,740235.3724033333,,,239492.09643333335,,,,246294.15397333333,,,310656.5536266667,,,,595924.1612666667,,,,,,,,,,,,,,,,,266334.51555333333,,,,313430.9465866667,,435096.9768699999,,297902.64887,253865.46468,201289.64574,,,,,,,,,324771.2179466667,,,312111.4939966667,266644.33642999997,407922.39688,224508.49553,200883.16915333332,190107.6193766667,,,452750.2712266667,506777.00409,,,,531181.42619,,5559201.223730001,,166706.81324666666,382089.4782233333,,,,,,266687.0961466667,784204.0221966667,,2693583.272866667,,979931.7482633332,929722.7511366666,,231671.0882,271178.30043999996,,,,,213305.96337666665,,,,,330877.33890333335,,,,217634.93805666664,,,,355093.63384666666,279037.82123999996,,227480.83871333333,4520093.0928299995,,,
