Date,ПРИВАТБАНК,РАЙФФАЙЗЕН БАНК АВАЛЬ,ОЩАДБАНК,УКРСИББАНК,УКРЕКСІМБАНК,УКРСОЦБАНК,ПРОМІНВЕСТБАНК,ОТП БАНК,СЕНС БАНК,НАДРА,ВТБ БАНК,ФОРУМ,ПУМБ,ФІНАНСИ ТА КРЕДИТ,ОМЕГА БАНК,БРОКБІЗНЕСБАНК,УКРГАЗБАНК,УКРПРОМБАНК,КРЕДИТПРОМБАНК,РОДОВІД БАНК,ПІВДЕННИЙ,ЕРСТЕ БАНК,УНIКРЕДИТ БАНК,УНІВЕРСАЛ БАНК,ВIEЙБI БАНК,ПРАВЕКС-БАНК,ДОНГОРБАНК,КРЕДОБАНК,ДЕЛЬТА БАНК,ФІНАНСОВА ІНІЦІАТИВА,ХРЕЩАТИК,IМЕКСБАНК,СБЕРБАНК,СІТІБАНК,КАЛІОН БАНК УКРАЇНА,ІНДУСТРІАЛБАНК,IНДУСТРІАЛЬНО-ЕКСПОРТНИЙ БАНК,КИЇВ,БАНК МОРСЬКИЙ,ФІДОБАНК,БАНК КРЕДИТ ДНІПРО,КЛІРИНГОВИЙ ДІМ,ПРОКРЕДИТ БАНК,МЕГАБАНК,БМ БАНК,ВІЕС БАНК,ПІРЕУС БАНК МКБ,БТА БАНК,КРЕДИТ ЄВРОПА БАНК,ЄВРОПЕЙСЬКИЙ,ЕКСПРЕС-БАНК,АКТИВ БАНК,ЕКСПОБАНК,КАПІТАЛ,УКРАЇНСЬКИЙ ПРОФЕСІЙНИЙ БАНК,ХОУМ КРЕДИТ БАНК,УКРІНБАНК,АГРОПРОСПЕРІС БАНК,СОЮЗ,БАНК ТАВРИКА,IПОБАНК,АЛЬТБАНК,Діамантбанк,БГ БАНК,БАНК HАЦІОНАЛЬНІ ІНВЕСТИЦІЇ,УКРБІЗНЕСБАНК,СТАНДАРТ,БІГ ЕНЕРГІЯ,ПЛАТИНУМ БАНК,АРКАДА,ЕНЕРГОБАНК,БАЗИС,БАНК ІНВЕСТИЦІЙ ТА ЗАОЩАДЖЕНЬ,БАНК ДЕМАРК,ПЕТРОКОММЕРЦ-УКРАЇНА,МІСТО БАНК,СХІДНОЄВРОПЕЙСЬКИЙ БАНК,ДНІСТЕР,ЗАХІДІНКОМБАНК,ПОЛТАВА - БАНК,БАНК ЗОЛОТІ ВОРОТА,АКЦЕНТ-БАНК,БАНК МЕРКУРІЙ,ЗЛАТОБАНК,ПІВДЕНКОМБАНК,ТРАНСБАНК,ФІНБАНК,ПЕРШИЙ ІНВЕСТИЦІЙНИЙ БАНК,ІНПРОМБАНК,ФОРТУНА БАНК,БАНК РЕГІОНАЛЬНОГО РОЗВИТКУ,ЗЕМЕЛЬНИЙ БАНК,БАНК КАМБІО,ДАНІЕЛЬ,ПАРТНЕР-БАНК,СОЦКОМБАНК,ЛЬВІВ,УКРАЇНСЬКИЙ ФІНАНСОВИЙ СВІТ,УКРГАЗПРОМБАНК,МЕТАБАНК,ГЛОБУС,АВТОКРАЗБАНК,ІДЕЯ БАНК,IНТЕГРАЛ БАНК,АРТЕМ-БАНК,ТРАСТ,АРМА,ТЕРРА БАНК,НОВИЙ,АЙБОКС БАНК,БАНК БОГУСЛАВ,ПОРТО-ФРАНКО,КОМІНВЕСТБАНК,БАНК СТОЛИЦЯ,НАЦІОНАЛЬНИЙ КРЕДИТ,ОДЕСА-БАНК,БАНК ГРАНТ,УКРКОМУНБАНК,СИНТЕЗ,АКСІОМА,ПРОМЕКОНОМБАНК,ВОЛОДИМИРСЬКИЙ,ЄВРОПЕЙСЬКИЙ БАНК РАЦІОН.ФІНАНС.,БАНК КОНТРАКТ,ЄВРОГАЗБАНК,ЕРДЕ БАНК,ТК КРЕДИТ,УКРАЇНСЬКА ФІНАНСОВА ГРУПА,ЛЕГБАНК,РЕАЛ БАНК,ПРЕМIУМ,IНТЕРБАНК,IНВЕСТБАНК,ПОЛІКОМБАНК,ФІНРОСТБАНК,АКТАБАНК,ФІНЕКСБАНК,АКОРДБАНК,УКООПСПІЛКА,КРЕДИТВЕСТ БАНК,ПРОМИСЛОВО-ФІНАНСОВИЙ БАНК,КОНКОРД,КОМЕРЦІЙНИЙ ІНДУСТРІАЛЬНИЙ БАНК,ОКСІ БАНК,СТОЛИЧНИЙ,ТММ-БАНК,ПРАЙМ-БАНК,ДІАЛОГБАНК,ОЛІМПІЙСЬКА УКРАЇНА,ЄВРОБАНК,УНIКОМБАНК,"""ПРИЧОРНОМОР'Я""",МОТОР-БАНК,СХІДНО-ПРОМИСЛОВИЙ БАНК,ВЕЛЕС,РАДАБАНК,ЄВРОПРОМБАНК,МІЖНАРОДНИЙ ІНВЕСТИЦІЙНИЙ БАНК,УКРБУДІНВЕСТБАНК,БАНК ФАМІЛЬНИЙ,УКРАЇНСЬКИЙ БАНК РЕКОНСТР.ТА РОЗВ.,НК БАНК,КРЕДИТ ОПТИМА БАНК,АСВІО БАНК,БАНК АЛЬЯНС,КЛАСИКБАНК,ДІАПАЗОН-МАКСИМУМ БАНК,АВАНТ-БАНК,БАНК 3/4,ВСЕУКРАЇНСЬКИЙ БАНК РОЗВИТКУ,КРЕДІ АГРІКОЛЬ БАНК,ЄКАТЕРИНОСЛАВСЬКИЙ КОМЕРЦІЙНИЙ БАНК,СКАЙ БАНК,ДОЙЧЕ БАНК ДБУ,ПРОФІНБАНК,АПЕКС-БАНК,МІСЬКИЙ КОМЕРЦІЙНИЙ БАНК,РАДИКАЛ БАНК,ГРІН БАНК,ЦЕНТР,МТБ БАНК,БАНК РИНКОВІ ТЕХНОЛОГІЇ,ТАСКОМБАНК,БАНК ПЕРШИЙ,А - БАНК,БАНК ВОСТОК,ДІВІ БАНК,БАНК СІЧ,ЮНЕКС БАНК,ІНТЕРКРЕДИТБАНК,МЕЛІОР БАНК,БАНК СОФІЙСЬКИЙ,ФІНАНСОВИЙ ПАРТНЕР,АЛЬПАРІ БАНК,БАНК ЮНІСОН,ФІДОКОМБАНК,МЕГА БАНК,БАНК МИХАЙЛІВСЬКИЙ,БАНК АВАНГАРД,ЮНІОН СТАНДАРД БАНК,ВЕРНУМ БАНК,КСГ БАНК,БАНК ПОРТАЛ,ДЕРЖЗЕМБАНК,ГЕФЕСТ,ВЕКТОР БАНК,БАНК ФОРВАРД,КРИСТАЛБАНК,СМАРТБАНК,РВС БАНК,ІНГ БАНК УКРАЇНА,ІНВЕСТБАНК,ПФБ,КОМІНБАНК
2018-04-01,480155280.24037,75631551.452225,287865673.01205003,53143052.82016,232169094.09649,57330080.804325,54445684.961975,36462827.438625,58408712.86327,,28349759.963245,,56618584.52059,,,,84398638.743465,,,,25373712.54086,,,7165946.662785,,5093329.380650001,,14551984.43748,,27300875.5044,,,68057433.39153,20975418.702650003,,4672417.92129,,922964.009695,,1717066.155845,11155433.72468,2911672.0789550003,16769856.377705,9885314.612404998,2920517.63514,3369570.487315,3203567.41543,989351.117375,1567443.232815,,,,,520880.53493,,,,664159.869765,,,,426973.262805,,,,,,,,2432568.948825,,,4529069.544779999,,,2414905.72699,,,,2054630.787145,,,,,,,,1310013.36424,,,,,,,,,1904717.812375,,,786055.130715,2571705.66039,,4403035.853035,,,390479.12264,,,,765849.7349350001,,,1522896.58097,,,,1337655.240155,,,,,,,,,,,,,,,,,613431.9746300001,,,,708821.5540199999,,1625737.732535,,682066.74027,744008.160805,598906.723575,,,,,,,,,1719665.41199,,,1136159.23237,833470.14222,9882043.390545,1124831.95204,413219.124955,216733.653705,,,1098099.749405,911132.522145,,,,1060553.48801,,32683255.20745,,444315.2945449999,1780667.154335,,,,,,564230.5899499999,4510872.81466,,14953930.332540002,,5616709.985789999,9012407.734025,363023.416745,874824.929525,,,,,,204892.94116,774844.603565,,,,1553507.564075,,504206.025465,,270632.719505,,,,2575140.083585,1379399.89363,,472470.4626,10583682.55485,,,
2018-07-01,477252682.02718335,77995999.18047667,302481906.88623667,52841118.33080667,228384976.13561332,53782520.93000666,51373610.393693335,37205224.791763335,57430904.84623,,26697794.637756664,,58936893.49019334,,,,87969315.24148999,,,,24268481.674716663,,,7600493.227966666,,4786062.232,,15042334.01711,,27622797.41878,,,64619149.64354666,20284852.588833332,,4717574.915533333,,928348.85278,,1616961.12538,11357499.41653,2939692.715946667,17209482.97001,9654970.463666668,2679895.4581266665,2984732.679643333,2888099.1824466665,775787.6281166667,1524614.0548600005,,,,,208563887.81435,,,,632899.8220666667,,,,426199.7887866667,,,,,,,,2273945.6383599997,,,4272072.41895,,,2271408.2855533333,,,,2120042.632376666,,,,,,,,1338284.80676,,,,,,,,,1894851.4683533332,,,814072.4157966668,2750555.719903333,,4572086.46156,,,402419.52221666666,,,,789432.2610566666,,,1447170.3514600005,,,,1387813.185306667,,,,,,,,,,,,,,,,,654271.9307033332,,,,930311.97625,,1523548.7472933333,,680103.52845,777255.5067333333,588569.1230966666,,,,,,,,,1646585.2451766666,,,1255661.70191,691248.6900466667,9009795.465293331,1018710.44362,423130.3615233333,223604.10958333337,,,922596.6395033334,1270126.9925300002,,,,972656.76831,,33305815.03589667,,462896.32595666667,2179224.1255866666,,,,,,316064.6892233333,4311371.191149999,,15087156.77246,,5640522.337326667,8650259.442253334,254691.90337666668,897594.1653133333,,,,,,226114.04515333337,680181.5466433334,,,,1528335.4504666666,,491601.05931,,265388.0256933333,,,,2333930.08719,1254456.647893333,,522698.33811000007,10570731.294136668,,,
2018-10-01,495186287.00034666,79463600.56432666,294154657.80187666,55510739.57345334,231549070.04290667,49411315.01417333,52253807.3655,38020655.1647,60570786.01381334,,25825185.939386666,,61477412.06950334,,,,90433623.26182334,,,,25468318.336536665,,,8362532.416206666,,4822369.35738,,16102117.55609,,24703955.574056663,,,66380425.58699,21428789.24683,,4875931.234773333,,875760.6565066666,,1684075.0958766667,11981386.582003333,2441280.6926766667,20129131.069986667,9834381.380886666,2335687.466143333,2609856.8536833334,2771824.785713333,642728.8317233333,1561017.077043333,,,,,215961884.12360337,,,,824437.7010233334,,,,464228.45997,,,,,,,,2317032.71509,,,4305841.05611,,,2084066.9051766668,,,,2265179.0832,,,,,,,,1598007.7562533335,,,,,,,,,2029112.8344166668,,,791702.69485,2820650.1856466667,,5002655.814933334,,,399049.4352266667,,,,761740.8660800001,,,1387283.7356766667,,,,1455154.6236166668,,,,,,,,,,,,,,,,,684927.8849166665,,,,1107852.8487733332,,1522078.8937066663,,769628.1878633333,784138.2763,573145.09881,,,,,,,,,1683150.5475433331,,,1429351.6865233332,598276.7359133334,8555192.625573335,1002891.8372,367769.3962866667,226677.73765,,,880483.4169133333,1766399.8715666663,,,,1006005.96571,,36350525.75165667,,465467.11279,2645648.2066533337,,,,,,320933.89142,4714559.912486667,,16138855.403056666,,5339406.282620001,9010627.31691,239034.83064,947312.53493,,,,,,238699.73036333336,,,,,1676517.7536700002,,489498.9469,,272485.60603666666,,,,2412632.0847133333,1222103.14815,,651771.4736799999,10861527.01302,,,
2019-01-01,517441199.8132367,79289342.4757,296745488.4502867,57597281.14974,232469841.72918335,47191317.605233334,53492160.73734,39325251.27531334,68313508.24006666,,25821914.3003,,58873917.85490667,,,,92924367.80731,,,,27013080.50997,,,9397756.84137,,4595893.415686667,,17257035.72561,,24869177.3278,,,68779100.71276332,22764499.0562,,5169812.972346666,,1158670.9134600002,,1742727.5307966666,11706745.831463331,2505521.9997566664,21195195.22184,10462317.380153334,1301292.39772,2386173.23728,2664124.9507866665,612430.7783733333,1739559.89914,,,,,219347781.4479867,,,,797938.3487166666,,,,487490.66254,,,,,,,,2354124.7384533333,,,4474438.263793333,,,2085236.09409,,,,2334663.7335833334,,,,,,,,1281830.4478900002,,,,,,,,,2208889.4751633336,,,812124.1923166667,2770694.1742133335,,5455247.753516667,,,381649.2836433333,,,,831035.4901233333,,,1370964.0293333333,,,,1488765.2709533332,,,,,,,,,,,,,,,,,706433.0899366667,,,,1579746.419963333,,1665115.1844766669,,927101.2952966668,957614.91008,578625.67266,,,,,,,,,1360370.5182166663,,,1579645.8251966666,614621.3470533333,8495103.86775,997305.40234,378017.36313333333,230545.09635,,,982263.01248,2188044.48158,,,,928870.5025033331,,38355438.254473336,,502468.03655666666,2925894.8373233336,,,,,,313379.5821666667,5137427.751876667,,18259500.599333335,,5470263.372049999,9456275.287253331,,947274.01681,,,,,,253734.73109,,,,,1320726.8812433337,,445047.89597333333,,280034.8413433333,,,,2448597.2979533332,1534404.8126299998,,865990.63193,11549632.371923331,,,
2019-04-01,525857950.37049,79751291.27284001,290590275.74442667,54977760.436733335,232786456.22626004,40455266.72930667,50252358.373843335,39303137.85011667,70323398.51802333,,,,58088966.257369995,,,,94226931.36381,,,,26739060.95621,,,10969393.20201,,4750177.521106667,,17126853.03223,,23509670.917603333,,,66072738.972786665,23888533.414586663,,5298616.25736,,1047534.12617,,1919812.66014,12686593.55253,2971410.983083334,21442896.052306667,10424692.665153334,,,2708603.3122266666,595184.07515,1780412.54622,,,,,225554947.25834,,,,1024789.18978,,,,654016.67666,,,,,,,,2328615.6047866666,,,4624297.097673333,,,2024244.81678,,,,2381551.2062233333,,,,,,,,1465848.3367400002,,,,,,,,,2457424.9633566667,,,813196.45513,2821981.0285066664,,5896951.887066666,,,338509.7406266667,,,,880940.0991333333,,,1367345.3459533334,,,,1499578.1060533335,,,,,,,,,,,,,,,,,720821.2196999999,,,,1810522.34622,,1675366.2177100002,,1034021.1493866668,1168575.91477,546906.6717833333,,,,,,,,,1374244.2397866666,,,1655538.0462633334,624816.7936966667,10244216.235516666,995210.3831633332,404721.31599,232628.44588666665,,,971101.19452,2474212.83501,,,,997272.16556,,36746096.55544334,,539282.7545133334,3235109.62176,,,,,,361880.07770666666,5410998.742673333,,18890413.92907,,5777754.84703,9878678.08488,,931212.8044166669,,,,,,261567.18911,,,,,1025399.86455,,304692.26536666666,,283917.79761,,,,2522140.1627666666,1568361.4009433333,,887228.52355,12121251.97334,,,
2019-07-01,522353879.23125666,81020337.40902333,282335628.02382,53346475.84121334,225058567.79042003,35206660.63628667,46048744.363123335,40224717.502626665,70739466.13280667,,,,57493334.99706999,,,,97942572.58947,,,,25587236.02582,,,12908551.894413335,,4793313.3297500005,,18138516.798463333,,22002154.272985,,,64057694.69091,24057870.034566667,,5024046.16397,,1064494.63142,,1923639.2443,12622200.782643331,3075256.16049,21771512.281143337,10082336.045546668,,,2775743.6459066668,586049.6663866667,1709365.21721,,,,,224690666.31979665,,,,980288.55583,,,,694711.3988999999,,,,,,,,2297820.2476433334,,,4449422.625866666,,,2190112.2357966667,,,,2390961.1433366667,,,,,,,,1726918.6615833333,,,,,,,,,2634298.7716133334,,,874987.7981433333,2875596.6960099996,,6576592.258213334,,,313494.19314333337,,,,830839.9069033334,,,1398956.5293633332,,,,1499902.0846633334,,,,,,,,,,,,,,,,,704214.1484766667,,,,1878163.314406667,,1586531.458396667,,1121986.2342566669,1160893.0753133334,506808.51735333336,,,,,,,,,1260956.8120199998,,,1701952.2957033336,637047.6058533334,9096386.824356666,938755.6575666666,405583.65499666665,237591.672,,,949649.8494466668,2854471.4556166665,,,,874268.1343466666,,38089688.28153667,,572221.0995933333,2515700.3021166665,,,,,,303282.44932,5244998.218136667,,18828369.114093333,,6319076.439896666,9399530.871153334,,907491.99972,993644.21604,,,,,280475.59447999997,,,,,1042876.3970933332,,269155.28229999996,,345694.86659333337,,,,2606280.029236667,1616743.4771333337,,979567.49176,11919157.17819,,,
2019-10-01,523014989.99940664,82586128.81799333,284752590.30888337,54715174.59916667,212480397.02446,31866687.98805667,41701685.322853334,43530191.38977333,72861080.81176333,,,,60910364.07079,,,,114213466.15018666,,,,25879466.081056666,,,14676668.583596667,,4915281.7112133335,,18192351.47374667,,,,,62109224.334850006,25276334.93589334,,4663450.230166667,,,,2022736.18702,11817895.428916669,2565486.1268833335,22251023.61386,9725006.528766667,,,2858769.6914433334,582578.4453533334,1271996.49859,,,,,228770279.63324335,,,,1025122.75973,,,,710727.9683233333,,,,,,,,2249038.8959233332,,,4223080.988136667,,,2146774.9212566665,,,,2506741.8005500003,,,,,,,,2005570.24177,,,,,,,,,2812705.609983334,,,967464.2361066669,3101799.257423334,,7180621.79678,,,304867.50120999996,,,,824502.27648,,,1370871.41641,,,,1505787.5757233333,,,,,,,,,,,,,,,,,751501.3737700001,,,,2413736.198566667,,1529128.8217666668,,1300175.8551933337,1222088.7199366668,494541.47334,,,,,,,,,1190725.5882533332,,,1766908.14253,670399.7660166667,6098863.29867,990028.1921533332,382332.45778666664,244967.95938,,,940524.8333733332,3114903.486986667,,,,1047388.4211899998,,39363932.25734001,,563001.8507333334,2381575.6020933334,,,,,,374506.20302333334,5443286.96833,,19102591.565553337,,6645200.493273333,10184734.986923331,,979567.4707833332,901170.9932766668,,,,,291415.15053,,,,,1165056.5420233335,,,,351549.7005133333,,,,2684762.1873433334,1718329.88499,,1082873.8218466665,11545678.018496668,,,
2020-01-01,532798845.66716,84185186.28803,279697153.9211467,54830731.43413667,205002680.65007,27219740.89402,37842018.79225,46443904.34481,86599451.03936,,,,60694807.211663336,,,,116409193.65261,,,,26945714.25651333,,,16737851.897623332,,5246300.549923333,,18927058.04916667,,,,,60912035.25763,30243994.805476665,,4511279.14843,,,,1670310.1223,11707049.453796668,2547058.8567566667,23135085.378816664,9882617.43753,,,2952413.052473333,583253.9434366667,1076670.7293866666,,,,,232009311.35143337,,,,1120120.6202733333,,,,669644.5197899999,,,,,,,,2203454.8028433337,,,4166120.3466166663,,,2123314.3095366666,,,,2534175.6139833336,,,,,,,,1963066.367796667,,,,,,,,,3032884.01455,,,938621.58817,3110866.53446,,7571599.631656666,,,299979.8625166667,,,,771604.2055133333,,,1280181.2130266668,,,,1516961.3846133333,,,,,,,,,,,,,,,,,727889.4793333333,,,,2613265.7762233336,,1564146.55281,,1516422.6935366665,1350476.4635766668,483818.27945,,,,,,,,,1112405.2086566666,,,1809497.2887066668,699873.75563,3843087.2768166666,1149616.8670233332,390520.1869633333,244120.42454666668,,,972859.34077,3329232.89402,,,,933962.0242033334,,39196564.582496665,,555446.5130833333,2406296.164286667,,,,,,374964.7068633333,5566918.060023333,,19220197.24554667,,7339851.963483334,10303022.77249,,1926535.4733566667,943417.79109,,,,,271350.26204,,,,,1116861.79547,,,,331097.57292666665,,,,2830504.554223334,1717599.7663233334,,1065697.3903633335,12844553.78085,,,
2020-04-01,556039973.30974,92477803.43766332,320859299.8211,56395072.11576333,204989165.53341,,37821420.2433,50979407.85593334,89211323.47761667,,,,64690573.48278,,,,138053560.17990002,,,,28534751.40709667,,,20956747.185676664,,5795842.716783334,,19646326.6376,,,,,60216132.861433335,32536228.115396667,,4270730.16864,,,,1922046.7226,12104014.532936668,2926183.9821033333,24574856.53583,10010020.689143335,,,3175520.98571,573330.5290666666,1173818.65305,,,,,250343924.0874233,,,,1246915.2198466668,,,,1081965.1027566667,,,,,,,,2065651.8978166664,,,4290835.463123334,,,1825218.2614233333,,,,2627264.1834933334,,,,,,,,1654549.2861633336,,,,,,,,,3329600.4725233335,,,988843.79201,3947375.4470066666,,8237769.31262,,,305751.1941466667,,,,1114306.53908,,,1260272.7351233333,,,,1575735.13335,,,,,,,,,,,,,,,,,789131.08083,,,,3035736.3501233333,,1648767.6633266667,,1972172.560993333,1587425.2550733334,501752.2554600001,,,,,,,,,1286949.5354633334,,,2148081.6298433333,596884.6851233334,3699765.91175,1174232.8857066666,446562.6463866667,291878.01999999996,,,1120818.8366033337,3711476.86357,,,,906019.2835333332,,39969750.47812334,,569841.32104,2824744.753646666,,,,,,409424.22077,5880029.6563966675,,19786208.55476,,8643618.940903334,11742423.11526,,1845806.1118166663,981165.44333,,,,,285847.1973966666,,,,,1105589.32447,,,,328022.36321000004,,,,2828366.6106066667,2040952.67586,,1223766.6576133333,12963473.060786666,,,
2020-07-01,581168931.3735766,98897777.95176,311869246.9596367,61737719.914113335,218131776.73153663,,41316713.03439333,52636873.70752668,95624265.3218,,,,68034214.47642,,,,148549601.05971,,,,28007319.73981,,,24113214.771076668,,5806521.57119,,20556837.72586,,,,,64532265.56545333,27078812.443186667,,4325535.266003333,,,,1720831.78662,13015987.423763337,3211219.0889166663,25905527.93112333,9996090.08421,,,3288013.05823,503463.2202933333,955280.8982766666,,,,,262950863.10604337,,,,1372304.7319333334,,,,1525660.1217033337,,,,,,,,1954561.8997566665,,,4996122.831726667,,,1882555.9278266665,,,,2737753.298686667,,,,,,,,1710958.2629466665,,,,,,,,,3421731.909393334,,,1055224.4845466667,3731590.6125233336,,8204721.164329999,,,301633.3504966667,,,,1056904.7509,,,1290947.1304399995,,,,1616985.2777000002,,,,,,,,,,,,,,,,,775684.7411333333,,,,2814447.810186667,,1650238.119596667,,1945703.098926667,1679776.3983233336,480227.48634,,,,,,,,,1305068.1387833336,,,2269728.6562300003,620810.1550200001,4719594.36858,1098627.5404033333,443247.9802733334,325673.37457333336,,,1097370.7622266666,3864578.6242333334,,,,1154900.824496667,,44530079.577363335,,600215.3614966666,3474140.6667833333,,,,,,335347.3912,6557082.901933332,,20697823.644693337,,8601655.614283333,12341097.07001,,1949350.3876533336,875956.9155199999,,,,,283577.0326766667,,,,,1638051.8527333334,,,,351828.98896333337,,,,2452938.3332033334,2246507.52309,,1049318.66822,11975982.601216666,,,
