Date,IR
2006-03-31,9.5
2006-06-30,9.166666666666666
2006-09-30,8.5
2006-12-31,8.5
2007-03-31,8.5
2007-06-30,8.333333333333334
2007-09-30,8.0
2007-12-31,8.0
2008-03-31,10.0
2008-06-30,12.0
2008-09-30,12.0
2008-12-31,12.0
2009-03-31,12.0
2009-06-30,11.666666666666666
2009-09-30,10.5
2009-12-31,10.25
2010-03-31,10.25
2010-06-30,10.0
2010-09-30,8.0
2010-12-31,7.75
2011-03-31,7.75
2011-06-30,7.75
2011-09-30,7.75
2011-12-31,7.75
2012-03-31,7.666666666666667
2012-06-30,7.5
2012-09-30,7.5
2012-12-31,7.5
2013-03-31,7.5
2013-06-30,7.333333333333333
2013-09-30,6.666666666666667
2013-12-31,6.5
2014-03-31,6.5
2014-06-30,9.5
2014-09-30,12.5
2014-12-31,13.5
2015-03-31,21.166666666666668
2015-06-30,30.0
2015-09-30,26.333333333333332
2015-12-31,22.0
2016-03-31,22.0
2016-06-30,17.833333333333332
2016-09-30,15.333333333333334
2016-12-31,14.0
2017-03-31,14.0
2017-06-30,12.666666666666666
2017-09-30,12.5
2017-12-31,13.833333333333334
2018-03-31,16.333333333333332
2018-06-30,17.0
2018-09-30,17.666666666666668
2018-12-31,18.0
2019-03-31,18.0
2019-06-30,17.5
2019-09-30,16.833333333333332
2019-12-31,14.833333333333334
2020-03-31,10.666666666666666
2020-06-30,7.333333333333333
2020-09-30,6.0
2020-12-31,6.0
2021-03-31,6.166666666666667
2021-06-30,7.5
2021-09-30,8.166666666666666
2021-12-31,8.666666666666666
2022-03-31,10.0
2022-06-30,15.0
2022-09-30,25.0
2022-12-31,25.0
2023-03-31,25.0
2023-06-30,25.0
2023-09-30,21.333333333333332
2023-12-31,15.666666666666666
2024-03-31,14.833333333333334
2024-06-30,13.333333333333334
