,Unnamed: 1,Unnamed: 2,Назва банку,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,в іноземній валюті,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,в іноземній валюті.1,Unnamed: 14,в іноземній валюті.2,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,в іноземній валюті.3
,,,Група I ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,,1.0,ПРИВАТБАНК,20314695.0,102974.0,0.0,1123040.0,1123040.0,-377259.0,33.59,123697096.0,97538895.0,28089993.0,26158201.0,7240597.0,-20927534.0,16.92,100228.0,-12059.0,12.03,72055.0,-2.0,0.0,979744.0,1507.0,738.0,1233.0,1885145.0,14145481.0,-90695.0,0.64,306720.0,-736.0,0.24,40534.0,0.0,0.0,141362906.0,56634484.0
2.0,,2.0,ОЩАДБАНК,8253223.0,0.0,0.0,796631.0,25058.0,-4100.0,0.51,57384465.0,52801353.0,11558775.0,4583112.0,1028969.0,-7561730.0,13.18,9744312.0,-43651.0,0.45,2781856.0,-15755.0,0.57,0.0,0.0,52593.0,0.0,2514446.0,1025871.0,-18400.0,1.79,442691.0,-3549.0,0.8,0.0,0.0,0.0,75348902.0,14037891.0
3.0,,3.0,УКРЕКСІМБАНК,6708968.0,0.0,0.0,1322787.0,934085.0,-34686.0,2.62,54151913.0,53135470.0,26650570.0,1016442.0,797118.0,-8808355.0,16.27,12506106.0,-433594.0,3.47,1542305.0,-18270.0,1.18,0.0,3029106.0,554504.0,0.0,2194021.0,156013.0,-13967.0,8.95,219094.0,-3819.0,1.74,0.0,0.0,0.0,73072127.0,27820834.0
4.0,,4.0,РАЙФФАЙЗЕН БАНК АВАЛЬ,7260051.0,722204.0,0.0,426582.0,183637.0,-28596.0,6.7,45110927.0,23895424.0,10092833.0,21215503.0,15652619.0,-13623746.0,30.2,6431930.0,-7343.0,0.11,2246520.0,-3458.0,0.15,54771.0,90038.0,7027.0,625091.0,3096235.0,428070.0,-223599.0,52.23,563549.0,-8568.0,1.52,0.0,0.0,0.0,53167686.0,21127274.0
5.0,,5.0,УКРСИББАНК,8911457.0,508082.0,12034.0,565603.0,464537.0,-7737.0,1.37,30065758.0,10407729.0,3965061.0,19658029.0,16773745.0,-7181253.0,23.89,3136737.0,-2715.0,0.09,0.0,0.0,0.0,317959.0,34278.0,0.0,1540542.0,1499332.0,2755096.0,-102203.0,3.71,195142.0,-13553.0,6.95,0.0,0.0,0.0,42234559.0,24884414.0
6.0,,6.0,УКРСОЦБАНК,4372452.0,78475.0,0.0,431777.0,15945.0,-10406.0,2.41,37386857.0,18683411.0,11578787.0,18703447.0,15600863.0,-8028971.0,21.48,1509246.0,-26146.0,1.73,20616.0,-20616.0,100.0,7162.0,330377.0,78402.0,93484.0,3198460.0,169273.0,-68380.0,40.4,98449.0,-7270.0,7.38,5438.0,0.0,0.0,39618680.0,23211385.0
7.0,,7.0,ВТБ БАНК,2908415.0,844386.0,720.0,543001.0,232816.0,-5087.0,0.94,33194301.0,29761718.0,19990343.0,3432583.0,2078004.0,-5526012.0,16.65,1372684.0,-7043.0,0.51,0.0,0.0,0.0,0.0,0.0,5453.0,558489.0,930736.0,803680.0,-29388.0,3.66,1063991.0,-2008.0,0.19,5001.0,0.0,0.0,36661320.0,20821072.0
8.0,,8.0,ПРОМІНВЕСТБАНК,3148064.0,0.0,20856.0,1445277.0,1243478.0,-35281.0,2.44,28974033.0,28004551.0,12276618.0,969482.0,515604.0,-3002690.0,10.36,1323375.0,-131212.0,9.91,397.0,-397.0,100.0,105.0,200964.0,33574.0,2491.0,2915252.0,353843.0,-97783.0,27.63,130320.0,-2453.0,1.88,19.0,0.0,0.0,35278754.0,15406045.0
9.0,,9.0,ПЕРШИЙ УКР.МІЖНАРОДНИЙ БАНК,5991813.0,0.0,738.0,2998014.0,1358065.0,-24011.0,0.8,18666273.0,14123444.0,6053821.0,4542829.0,2846284.0,-4037534.0,21.63,2478554.0,-100035.0,4.04,0.0,0.0,0.0,0.0,108307.0,200.0,165502.0,1241495.0,1619607.0,-24714.0,1.53,208477.0,-16728.0,8.02,2504.0,0.0,0.0,29278461.0,14013139.0
10.0,,10.0,АЛЬФА-БАНК,4870450.0,575222.0,778.0,1178709.0,556151.0,-25132.0,2.13,23927850.0,18666574.0,6842095.0,5261276.0,3264848.0,-6369061.0,26.62,610285.0,-55119.0,9.03,0.0,0.0,0.0,0.0,15642.0,29252.0,72326.0,371027.0,942535.0,-4144.0,0.44,17114.0,-669.0,3.91,0.0,0.0,0.0,26157065.0,12761111.0
11.0,,11.0,"""НАДРА""",3198140.0,423187.0,0.0,1073504.0,309447.0,-138252.0,12.88,24329114.0,9968885.0,5208273.0,14360230.0,11217264.0,-6048973.0,24.86,4647.0,-162.0,3.49,0.0,0.0,0.0,0.0,260.0,447.0,40.0,1508526.0,302843.0,-118212.0,39.03,29871.0,-5513.0,18.46,6968.0,0.0,0.0,24566434.0,15201670.0
12.0,,12.0,ОТП БАНК,1933940.0,0.0,2239.0,113027.0,113027.0,-32206.0,28.49,19716568.0,12248755.0,7933758.0,7467813.0,6448105.0,-3167336.0,16.06,2959804.0,-22205.0,0.75,0.0,0.0,0.0,164450.0,20742.0,109081.0,153384.0,517674.0,312534.0,-6198.0,1.98,55240.0,-4450.0,8.06,0.0,0.0,0.0,22826287.0,13149650.0
13.0,,13.0,"""ФІНАНСИ ТА КРЕДИТ""",1217169.0,622227.0,382303.0,45202.0,45202.0,-2324.0,5.14,19342327.0,15405722.0,3805266.0,3936605.0,2792951.0,-1719406.0,8.89,12259.0,-115.0,0.94,243333.0,-6645.0,2.73,0.0,0.0,6950.0,40111.0,125508.0,1143484.0,-4196.0,0.37,223693.0,-460.0,0.21,28182.0,-1523.0,5.4,21698080.0,7597376.0
14.0,,14.0,БРОКБІЗНЕСБАНК,2670404.0,0.0,1441.0,1499467.0,1499467.0,-3065.0,0.2,12970519.0,10068051.0,2631792.0,2902468.0,1106921.0,-851730.0,6.57,315989.0,-6610.0,2.09,0.0,0.0,0.0,0.0,4747.0,2366.0,0.0,669120.0,2035027.0,-3154.0,0.15,135073.0,-41185.0,30.49,0.0,0.0,0.0,19398408.0,8032437.0
