Date,ПРИВАТБАНК,РАЙФФАЙЗЕН БАНК АВАЛЬ,ОЩАДБАНК,УКРСИББАНК,УКРЕКСІМБАНК,УКРСОЦБАНК,ПРОМІНВЕСТБАНК,ОТП БАНК,СЕНС БАНК,НАДРА,ВТБ БАНК,ФОРУМ,ПУМБ,ФІНАНСИ ТА КРЕДИТ,ОМЕГА БАНК,БРОКБІЗНЕСБАНК,УКРГАЗБАНК,УКРПРОМБАНК,КРЕДИТПРОМБАНК,РОДОВІД БАНК,ПІВДЕННИЙ,ЕРСТЕ БАНК,УНIКРЕДИТ БАНК,УНІВЕРСАЛ БАНК,ВIEЙБI БАНК,ПРАВЕКС-БАНК,ДОНГОРБАНК,КРЕДОБАНК,ДЕЛЬТА БАНК,ФІНАНСОВА ІНІЦІАТИВА,ХРЕЩАТИК,IМЕКСБАНК,СБЕРБАНК,СІТІБАНК,КАЛІОН БАНК УКРАЇНА,ІНДУСТРІАЛБАНК,IНДУСТРІАЛЬНО-ЕКСПОРТНИЙ БАНК,КИЇВ,БАНК МОРСЬКИЙ,ФІДОБАНК,БАНК КРЕДИТ ДНІПРО,КЛІРИНГОВИЙ ДІМ,ПРОКРЕДИТ БАНК,МЕГАБАНК,БМ БАНК,ВІЕС БАНК,ПІРЕУС БАНК МКБ,БТА БАНК,КРЕДИТ ЄВРОПА БАНК,ЄВРОПЕЙСЬКИЙ,ЕКСПРЕС-БАНК,АКТИВ БАНК,ЕКСПОБАНК,КАПІТАЛ,УКРАЇНСЬКИЙ ПРОФЕСІЙНИЙ БАНК,ХОУМ КРЕДИТ БАНК,УКРІНБАНК,АГРОПРОСПЕРІС БАНК,СОЮЗ,БАНК ТАВРИКА,IПОБАНК,АЛЬТБАНК,Діамантбанк,БГ БАНК,БАНК HАЦІОНАЛЬНІ ІНВЕСТИЦІЇ,УКРБІЗНЕСБАНК,СТАНДАРТ,БІГ ЕНЕРГІЯ,ПЛАТИНУМ БАНК,АРКАДА,ЕНЕРГОБАНК,БАЗИС,БАНК ІНВЕСТИЦІЙ ТА ЗАОЩАДЖЕНЬ,БАНК ДЕМАРК,ПЕТРОКОММЕРЦ-УКРАЇНА,МІСТО БАНК,СХІДНОЄВРОПЕЙСЬКИЙ БАНК,ДНІСТЕР,ЗАХІДІНКОМБАНК,ПОЛТАВА - БАНК,БАНК ЗОЛОТІ ВОРОТА,АКЦЕНТ-БАНК,БАНК МЕРКУРІЙ,ЗЛАТОБАНК,ПІВДЕНКОМБАНК,ТРАНСБАНК,ФІНБАНК,ПЕРШИЙ ІНВЕСТИЦІЙНИЙ БАНК,ІНПРОМБАНК,ФОРТУНА БАНК,БАНК РЕГІОНАЛЬНОГО РОЗВИТКУ,ЗЕМЕЛЬНИЙ БАНК,БАНК КАМБІО,ДАНІЕЛЬ,ПАРТНЕР-БАНК,СОЦКОМБАНК,ЛЬВІВ,УКРАЇНСЬКИЙ ФІНАНСОВИЙ СВІТ,УКРГАЗПРОМБАНК,МЕТАБАНК,ГЛОБУС,АВТОКРАЗБАНК,ІДЕЯ БАНК,IНТЕГРАЛ БАНК,АРТЕМ-БАНК,ТРАСТ,АРМА,ТЕРРА БАНК,НОВИЙ,АЙБОКС БАНК,БАНК БОГУСЛАВ,ПОРТО-ФРАНКО,КОМІНВЕСТБАНК,БАНК СТОЛИЦЯ,НАЦІОНАЛЬНИЙ КРЕДИТ,ОДЕСА-БАНК,БАНК ГРАНТ,УКРКОМУНБАНК,СИНТЕЗ,АКСІОМА,ПРОМЕКОНОМБАНК,ВОЛОДИМИРСЬКИЙ,ЄВРОПЕЙСЬКИЙ БАНК РАЦІОН.ФІНАНС.,БАНК КОНТРАКТ,ЄВРОГАЗБАНК,ЕРДЕ БАНК,ТК КРЕДИТ,УКРАЇНСЬКА ФІНАНСОВА ГРУПА,ЛЕГБАНК,РЕАЛ БАНК,ПРЕМIУМ,IНТЕРБАНК,IНВЕСТБАНК,ПОЛІКОМБАНК,ФІНРОСТБАНК,АКТАБАНК,ФІНЕКСБАНК,АКОРДБАНК,УКООПСПІЛКА,КРЕДИТВЕСТ БАНК,ПРОМИСЛОВО-ФІНАНСОВИЙ БАНК,КОНКОРД,КОМЕРЦІЙНИЙ ІНДУСТРІАЛЬНИЙ БАНК,ОКСІ БАНК,СТОЛИЧНИЙ,ТММ-БАНК,ПРАЙМ-БАНК,ДІАЛОГБАНК,ОЛІМПІЙСЬКА УКРАЇНА,ЄВРОБАНК,УНIКОМБАНК,"""ПРИЧОРНОМОР'Я""",МОТОР-БАНК,СХІДНО-ПРОМИСЛОВИЙ БАНК,ВЕЛЕС,РАДАБАНК,ЄВРОПРОМБАНК,МІЖНАРОДНИЙ ІНВЕСТИЦІЙНИЙ БАНК,УКРБУДІНВЕСТБАНК,БАНК ФАМІЛЬНИЙ,УКРАЇНСЬКИЙ БАНК РЕКОНСТР.ТА РОЗВ.,НК БАНК,КРЕДИТ ОПТИМА БАНК,АСВІО БАНК,БАНК АЛЬЯНС,КЛАСИКБАНК,ДІАПАЗОН-МАКСИМУМ БАНК,АВАНТ-БАНК,БАНК 3/4,ВСЕУКРАЇНСЬКИЙ БАНК РОЗВИТКУ,КРЕДІ АГРІКОЛЬ БАНК,ЄКАТЕРИНОСЛАВСЬКИЙ КОМЕРЦІЙНИЙ БАНК,СКАЙ БАНК,ДОЙЧЕ БАНК ДБУ,ПРОФІНБАНК,АПЕКС-БАНК,МІСЬКИЙ КОМЕРЦІЙНИЙ БАНК,РАДИКАЛ БАНК,ГРІН БАНК,ЦЕНТР,МТБ БАНК,БАНК РИНКОВІ ТЕХНОЛОГІЇ,ТАСКОМБАНК,БАНК ПЕРШИЙ,А - БАНК,БАНК ВОСТОК,ДІВІ БАНК,БАНК СІЧ,ЮНЕКС БАНК,ІНТЕРКРЕДИТБАНК,МЕЛІОР БАНК,БАНК СОФІЙСЬКИЙ,ФІНАНСОВИЙ ПАРТНЕР,АЛЬПАРІ БАНК,БАНК ЮНІСОН,ФІДОКОМБАНК,МЕГА БАНК,БАНК МИХАЙЛІВСЬКИЙ,БАНК АВАНГАРД,ЮНІОН СТАНДАРД БАНК,ВЕРНУМ БАНК,КСГ БАНК,БАНК ПОРТАЛ,ДЕРЖЗЕМБАНК,ГЕФЕСТ,ВЕКТОР БАНК,БАНК ФОРВАРД,КРИСТАЛБАНК,СМАРТБАНК,РВС БАНК,ІНГ БАНК УКРАЇНА,ІНВЕСТБАНК,ПФБ,КОМІНБАНК
2009-04-01,8506927.0,7109899.0,16128867.0,4019995.0,8192449.0,5249289.0,4128088.0,2278511.0,3170463.0,1280933.0,2468528.0,2443293.0,3361960.0,2476646.0,621380.0,2315263.0,1456011.0,-2515597.0,1595940.0,1237712.0,1420826.0,1219085.0,819739.0,834584.0,895469.0,1290823.0,1053088.0,73629.0,582584.0,1254891.0,760308.0,795456.0,932242.0,902374.0,735043.0,547669.0,399565.0,67746.0,72881.0,371562.0,556095.0,529345.0,210712.0,333735.0,355971.0,330934.0,471642.0,1530792.0,500550.0,292679.0,385652.0,517398.0,279911.0,35907.0,447028.0,325855.0,432192.0,1051686.0,73771.0,200879.0,216406.0,621384.0,159848.0,298492.0,84760.0,95039.0,34111.0,161433.0,362456.0,281182.0,260773.0,103325.0,188278.0,188806.0,154085.0,141193.0,84926.0,141812.0,182236.0,204805.0,114776.0,153899.0,88595.0,164417.0,131987.0,-29222.0,61799.0,276451.0,111090.0,180425.0,80067.0,260592.0,87538.0,114978.0,100328.0,128749.0,126094.0,186942.0,139149.0,99396.0,169948.0,103830.0,182880.0,85691.0,80064.0,81615.0,87379.0,50453.0,55120.0,114621.0,173892.0,109779.0,91889.0,156691.0,69182.0,104535.0,105876.0,93552.0,99761.0,140812.0,84765.0,58193.0,190271.0,68628.0,78108.0,101488.0,120258.0,74759.0,77301.0,119835.0,71537.0,63412.0,58949.0,86881.0,75355.0,80642.0,83134.0,80669.0,85384.0,76023.0,60536.0,112340.0,71702.0,81062.0,73208.0,48685.0,48393.0,67895.0,64033.0,24310.0,69185.0,-12318.0,87799.0,42316.0,59261.0,87348.0,74958.0,72514.0,62670.0,47504.0,71456.0,44943.0,66056.0,75368.0,52050.0,44481.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-07-01,8572810.0,6454542.0,16422065.0,5277239.0,8106254.0,5242443.0,3268295.0,1932538.0,3141326.0,797574.0,2461519.0,2246906.0,2871260.0,2289080.0,604983.0,2322980.0,1372698.0,-2677417.0,1421538.0,-211802.0,1444735.0,1022993.0,771197.0,767234.0,831125.0,1139395.0,966447.0,987601.0,583521.0,1254878.0,758717.0,925493.0,825589.0,781692.0,632845.0,565494.0,551459.0,68209.0,79058.0,425560.0,522219.0,544273.0,196934.0,484071.0,350831.0,330851.0,472196.0,1509869.0,405995.0,179344.0,392629.0,518579.0,277008.0,48069.0,448984.0,328407.0,420344.0,1052528.0,73886.0,220362.0,215826.0,621737.0,152397.0,275406.0,87093.0,195319.0,28857.0,146407.0,358588.0,283155.0,263091.0,105182.0,189194.0,188878.0,154201.0,121139.0,81694.0,-135266.0,97089.0,207312.0,115059.0,163313.0,111180.0,164477.0,133194.0,-376181.0,62020.0,271737.0,111122.0,200988.0,55816.0,259357.0,87568.0,115195.0,96132.0,125689.0,134820.0,191886.0,139972.0,99075.0,173419.0,105426.0,183004.0,85051.0,72844.0,78182.0,44885.0,70673.0,54571.0,111955.0,175125.0,108809.0,92348.0,151838.0,72205.0,39045.0,106042.0,93680.0,97305.0,142357.0,84695.0,57568.0,189188.0,65166.0,78192.0,101492.0,122177.0,75001.0,77528.0,120325.0,71727.0,69474.0,59678.0,86955.0,75438.0,81101.0,69903.0,90079.0,87684.0,71448.0,85465.0,112510.0,72092.0,81362.0,73358.0,88997.0,48814.0,68761.0,64844.0,23877.0,71368.0,,88188.0,42454.0,73873.0,87669.0,75142.0,72533.0,71940.0,47563.0,70700.0,44916.0,61321.0,75795.0,52059.0,43949.0,106317.0,80003.0,75002.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-10-01,8689185.0,5957277.0,16842335.0,5016536.0,9216306.0,5768236.0,2326264.0,2351271.0,3051019.0,500571.0,2465094.0,2107739.0,2908246.0,2258383.0,605903.0,2322159.0,2772004.0,-1795194.0,1476846.0,1590371.0,1456788.0,972502.0,789802.0,696796.0,748630.0,836344.0,788673.0,714450.0,585767.0,1255058.0,735141.0,889880.0,650854.0,708658.0,674190.0,562418.0,369851.0,69408.0,74383.0,328583.0,557382.0,570053.0,269139.0,484338.0,263818.0,331001.0,350153.0,1508317.0,469908.0,,400190.0,519200.0,260012.0,48507.0,451619.0,329657.0,403866.0,1053382.0,156983.0,222258.0,125326.0,621864.0,153513.0,279855.0,114216.0,194925.0,53329.0,112309.0,362955.0,287064.0,264762.0,106365.0,189947.0,189220.0,140718.0,153289.0,75447.0,-433601.0,67272.0,209903.0,110755.0,166130.0,111217.0,194972.0,140669.0,-518383.0,62255.0,270629.0,57998.0,221691.0,49272.0,259466.0,88023.0,115266.0,95449.0,168715.0,106908.0,195075.0,143066.0,98046.0,174993.0,100379.0,183081.0,85267.0,74773.0,81627.0,-269807.0,70845.0,46235.0,112509.0,178329.0,108980.0,92806.0,-40418.0,97402.0,,106281.0,93876.0,91317.0,142157.0,71334.0,19732.0,190740.0,69185.0,78624.0,102826.0,120016.0,-38533.0,77931.0,120493.0,72734.0,82218.0,60827.0,86746.0,75812.0,299392.0,70031.0,90722.0,87647.0,76010.0,85503.0,112481.0,73089.0,81738.0,73505.0,90839.0,49256.0,68781.0,65224.0,26257.0,468854.0,,87591.0,43075.0,73864.0,88033.0,75472.0,74863.0,72066.0,47625.0,62665.0,44803.0,67439.0,76204.0,52069.0,223460.0,106454.0,80124.0,75003.0,80200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-01,10270719.0,5312935.0,16386350.0,4901543.0,10869403.0,6027855.0,5609573.0,2839925.0,2877993.0,474694.0,3248102.0,1866547.0,2627650.0,2026915.0,-1827303.0,2312689.0,95425.0,,1222463.0,4336440.0,1457052.0,1017874.0,828452.0,835782.0,672190.0,1191980.0,631924.0,591208.0,589502.0,1605252.0,657317.0,839863.0,1061392.0,814274.0,698413.0,555425.0,,74708.0,84923.0,422116.0,569292.0,499522.0,271324.0,634026.0,243759.0,219335.0,293177.0,1535416.0,498110.0,,384272.0,518319.0,267506.0,48638.0,460426.0,349206.0,388237.0,1054884.0,157238.0,244950.0,-1018622.0,618199.0,264406.0,276999.0,107904.0,212816.0,50610.0,-46826.0,362688.0,284915.0,262512.0,121540.0,184016.0,189188.0,106854.0,149131.0,,-489600.0,59579.0,212042.0,114417.0,178929.0,111290.0,197109.0,142699.0,-640230.0,127450.0,228367.0,-4022.0,314574.0,,260092.0,87766.0,115396.0,96077.0,167843.0,80552.0,196144.0,143492.0,96535.0,177173.0,94297.0,183203.0,85533.0,75086.0,77828.0,-258577.0,69509.0,38748.0,116707.0,183531.0,108779.0,91470.0,-45048.0,96687.0,,106599.0,93186.0,95300.0,142011.0,71701.0,65647.0,190965.0,69779.0,120309.0,106122.0,117379.0,,85974.0,120874.0,76578.0,68600.0,62301.0,87478.0,76397.0,299905.0,65080.0,98933.0,86564.0,76682.0,85604.0,113153.0,73869.0,82302.0,74317.0,90334.0,57744.0,1866.0,66461.0,27611.0,468211.0,,86967.0,43380.0,74054.0,89229.0,75789.0,75877.0,72354.0,47683.0,41779.0,45237.0,67313.0,76378.0,52102.0,223624.0,102858.0,80229.0,75006.0,110581.0,246545.0,229560.0,60937.0,222112.0,115681.0,119901.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-04-01,10485051.0,5448997.0,16576089.0,4246987.0,17283960.0,6042597.0,5458921.0,2900989.0,2292437.0,479059.0,2315527.0,1594550.0,2615045.0,2004066.0,-1878480.0,2331727.0,1811640.0,,1768317.0,2043026.0,1467627.0,958060.0,833805.0,829408.0,630609.0,956539.0,628084.0,439731.0,592469.0,1605644.0,643981.0,833007.0,1097607.0,957756.0,,698744.0,,75008.0,79748.0,148830.0,570917.0,486956.0,255341.0,634326.0,244409.0,264894.0,311025.0,1535389.0,511951.0,,386836.0,518932.0,259271.0,48717.0,472962.0,346356.0,342175.0,1057252.0,157613.0,246463.0,,618412.0,265145.0,277370.0,110007.0,213729.0,86316.0,,368502.0,289154.0,251602.0,125461.0,184847.0,189262.0,73491.0,136757.0,,,135611.0,212937.0,107530.0,194644.0,111309.0,197993.0,143371.0,,128648.0,226222.0,-53114.0,314646.0,,260504.0,87916.0,115540.0,,135513.0,114417.0,198857.0,145126.0,109411.0,178494.0,86287.0,183070.0,124173.0,93125.0,76247.0,,69659.0,19500.0,117630.0,193580.0,107357.0,91476.0,14814.0,96790.0,,106694.0,93190.0,96899.0,142296.0,71802.0,65607.0,189239.0,70013.0,120375.0,105895.0,118646.0,,86463.0,120773.0,77665.0,68707.0,74702.0,87509.0,76734.0,300129.0,65197.0,99132.0,87184.0,76697.0,85657.0,113161.0,74850.0,82945.0,77203.0,92058.0,58172.0,67771.0,66577.0,67560.0,469868.0,,85963.0,43536.0,74115.0,90506.0,75976.0,76008.0,72417.0,47805.0,42746.0,45529.0,67382.0,76972.0,52133.0,223778.0,103023.0,80386.0,75010.0,111255.0,582017.0,229805.0,61120.0,219442.0,115876.0,120202.0,95632.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-01,10890024.0,6428670.0,16542492.0,3711504.0,17289071.0,6063721.0,4989058.0,3047082.0,3129280.0,479257.0,2327035.0,383518.0,2621200.0,1972643.0,-1841836.0,2349877.0,1943825.0,,1847172.0,1674714.0,1476120.0,874167.0,845893.0,963903.0,536714.0,929082.0,638611.0,255741.0,594159.0,1605927.0,671330.0,937391.0,1086623.0,981133.0,,723278.0,,75024.0,70666.0,421520.0,571700.0,531224.0,229351.0,639491.0,245235.0,251403.0,291919.0,1536967.0,511811.0,,389344.0,518989.0,253080.0,48783.0,449565.0,353919.0,343307.0,1059714.0,257838.0,297514.0,,618673.0,265802.0,280645.0,111898.0,214582.0,86838.0,,365183.0,292550.0,236327.0,123231.0,230236.0,193435.0,73282.0,133921.0,,,136444.0,213791.0,91997.0,198579.0,111338.0,199072.0,144861.0,,128306.0,216382.0,-39510.0,314765.0,,177021.0,87112.0,123656.0,,127616.0,113231.0,205272.0,155244.0,110522.0,181417.0,79370.0,184128.0,123279.0,94880.0,76125.0,,69561.0,61408.0,122014.0,188882.0,107715.0,91500.0,63666.0,93154.0,,106822.0,93208.0,34780.0,142734.0,71874.0,97919.0,187837.0,70351.0,165538.0,107327.0,118284.0,,86898.0,121184.0,79391.0,68746.0,74839.0,87480.0,77264.0,300240.0,65375.0,99320.0,92232.0,76715.0,85728.0,113129.0,75558.0,83590.0,75749.0,90861.0,58544.0,67875.0,,67605.0,470394.0,,110958.0,43835.0,74221.0,91668.0,76318.0,76280.0,72469.0,47860.0,65823.0,45642.0,67890.0,77435.0,52130.0,225651.0,113073.0,80506.0,75026.0,111415.0,606090.0,237415.0,61197.0,218569.0,116064.0,120534.0,97265.0,75488.0,67154.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-10-01,11502264.0,6424003.0,16615032.0,3055298.0,17435072.0,6067945.0,4854554.0,3045069.0,3101814.0,479370.0,2182530.0,1964960.0,2647306.0,1972875.0,1450598.0,2359696.0,1797734.0,,1817969.0,1188152.0,1496945.0,1412720.0,858012.0,903622.0,595065.0,932378.0,641618.0,552875.0,595461.0,1606287.0,674163.0,955997.0,1053903.0,1049446.0,,683777.0,,75333.0,63399.0,487461.0,571830.0,579896.0,228795.0,636297.0,328168.0,252897.0,417871.0,1523644.0,507936.0,,392611.0,519216.0,172691.0,48827.0,583813.0,346801.0,370847.0,1065298.0,258075.0,297486.0,,618919.0,266858.0,280177.0,112509.0,215477.0,85390.0,,382393.0,293194.0,214623.0,130642.0,230853.0,193796.0,73560.0,128609.0,,,137516.0,214447.0,91034.0,194008.0,111403.0,237156.0,145931.0,,129338.0,213545.0,149693.0,315126.0,,,86491.0,123748.0,,128849.0,106862.0,197504.0,153927.0,111210.0,183320.0,76982.0,186396.0,123320.0,91443.0,74824.0,,65528.0,58129.0,121871.0,188963.0,107798.0,91529.0,131796.0,99576.0,,107103.0,93213.0,-111516.0,143464.0,64088.0,98240.0,191624.0,69806.0,165738.0,109867.0,121673.0,,87556.0,126862.0,76845.0,68755.0,74942.0,87612.0,77634.0,301503.0,66084.0,101037.0,92279.0,76683.0,87770.0,113240.0,76368.0,84290.0,74370.0,91701.0,58934.0,68019.0,,66858.0,472469.0,,110870.0,44165.0,74085.0,94365.0,76701.0,76549.0,77255.0,47686.0,66103.0,52534.0,67445.0,77940.0,52132.0,223552.0,113255.0,80759.0,76156.0,111493.0,568915.0,280809.0,67407.0,204649.0,116237.0,121078.0,99815.0,75756.0,68151.0,120174.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-01-01,11879967.0,6441276.0,16626329.0,4855443.0,17454296.0,6570187.0,4589742.0,3436974.0,3121193.0,479434.0,4343421.0,764801.0,2850878.0,1857453.0,1476078.0,2366908.0,1991255.0,,1857015.0,1153727.0,1504808.0,1384905.0,870683.0,545927.0,279776.0,890690.0,681606.0,624522.0,607483.0,1906760.0,569885.0,962385.0,1105192.0,706030.0,,686382.0,,75322.0,70366.0,457720.0,577704.0,563833.0,300900.0,636701.0,328521.0,226688.0,293136.0,1535584.0,506275.0,,385946.0,519926.0,248651.0,48862.0,598419.0,350109.0,428916.0,1073404.0,258456.0,318722.0,,619372.0,268048.0,292661.0,116003.0,216923.0,86325.0,,372096.0,310253.0,218745.0,163085.0,231724.0,193808.0,73441.0,176697.0,,,233131.0,215579.0,101916.0,184344.0,165729.0,237255.0,231407.0,,127197.0,260862.0,226397.0,345628.0,,,100571.0,143868.0,,117391.0,118753.0,206129.0,155574.0,111777.0,184646.0,107210.0,189676.0,123509.0,91727.0,78778.0,,266796.0,98131.0,122364.0,189643.0,107777.0,112488.0,111488.0,53415.0,,107781.0,100198.0,,142835.0,63868.0,89590.0,192096.0,69800.0,166076.0,224886.0,168228.0,,85962.0,125737.0,77763.0,68787.0,75105.0,98273.0,92798.0,302170.0,66184.0,99087.0,94041.0,76936.0,88146.0,113085.0,75031.0,90638.0,79628.0,92273.0,63913.0,53853.0,,63786.0,488090.0,,115216.0,55437.0,74083.0,95701.0,77298.0,78962.0,77315.0,47813.0,66378.0,52323.0,67411.0,122753.0,52153.0,231158.0,113422.0,80980.0,73581.0,111701.0,511386.0,280452.0,67530.0,193053.0,115124.0,121711.0,101075.0,75919.0,67896.0,120200.0,509520.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-04-01,12326092.0,6454400.0,16838043.0,4866439.0,17597096.0,6589746.0,4537398.0,3667048.0,3135104.0,479574.0,3597314.0,468379.0,2880585.0,1922556.0,1487511.0,2379096.0,1931543.0,,1825357.0,760076.0,1518861.0,1370997.0,880621.0,874623.0,747362.0,883545.0,656671.0,596491.0,620820.0,1906872.0,582080.0,966087.0,1141605.0,827137.0,,740981.0,,75353.0,49490.0,473771.0,579440.0,610304.0,241063.0,637353.0,323168.0,230044.0,384683.0,1516944.0,509751.0,,388780.0,562327.0,238761.0,48881.0,617157.0,336299.0,430282.0,1082916.0,258817.0,318921.0,,619722.0,268997.0,293215.0,106230.0,221080.0,86455.0,,374793.0,313425.0,202939.0,157485.0,287933.0,214011.0,-48586.0,167390.0,,,233407.0,217393.0,100853.0,184719.0,165885.0,237699.0,232021.0,,124534.0,263322.0,227588.0,346209.0,,,101741.0,143962.0,,-99848.0,110468.0,207717.0,156385.0,111979.0,186849.0,109878.0,200200.0,124224.0,92131.0,78975.0,,265611.0,95875.0,127308.0,186378.0,107869.0,112431.0,-2404.0,42224.0,,107974.0,100023.0,,142644.0,63932.0,-154714.0,190433.0,70072.0,166255.0,227138.0,169185.0,,86373.0,125761.0,71116.0,68816.0,89933.0,98276.0,93302.0,302838.0,66295.0,99674.0,94105.0,77024.0,88555.0,113102.0,76119.0,91261.0,89725.0,92603.0,64500.0,-82978.0,,61245.0,492374.0,,125572.0,55521.0,74099.0,96516.0,77543.0,79774.0,93578.0,47815.0,66514.0,52365.0,67758.0,122933.0,52176.0,229206.0,113480.0,81246.0,417117.0,212131.0,538586.0,282840.0,67640.0,191048.0,115308.0,122066.0,100737.0,76068.0,67138.0,121488.0,512736.0,120054.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-07-01,12683564.0,6444388.0,17396172.0,4469762.0,17622093.0,6579060.0,4593180.0,3273750.0,3172912.0,3979839.0,3872218.0,1708185.0,2968299.0,1860299.0,1515855.0,2390939.0,1970533.0,,1855589.0,4196039.0,1523474.0,1379828.0,886256.0,822850.0,671498.0,1197320.0,637128.0,581354.0,976511.0,1907196.0,580881.0,1021501.0,1178109.0,615525.0,,753232.0,,75178.0,61717.0,437576.0,600103.0,525329.0,256007.0,648635.0,328744.0,258661.0,-244704.0,1496542.0,503958.0,,395070.0,562393.0,238459.0,48897.0,579454.0,,532241.0,1084078.0,339276.0,320561.0,,779797.0,269856.0,,115773.0,226298.0,86893.0,,372579.0,311824.0,189532.0,140178.0,285975.0,214136.0,-63983.0,252079.0,,,233688.0,,105846.0,184362.0,216050.0,238167.0,233835.0,,126984.0,258907.0,126121.0,386805.0,,,102051.0,129658.0,,-264235.0,123292.0,205336.0,157176.0,111095.0,189966.0,114354.0,203587.0,124529.0,92461.0,80244.0,,266591.0,94355.0,127802.0,187189.0,108245.0,112503.0,-208.0,29842.0,,113234.0,100203.0,,142685.0,64231.0,-162008.0,193138.0,88170.0,206412.0,226570.0,168801.0,,86692.0,126141.0,54414.0,68824.0,91149.0,99494.0,93759.0,303050.0,61496.0,99290.0,94082.0,77662.0,88913.0,113144.0,77787.0,126448.0,89032.0,92444.0,65113.0,,,61226.0,488273.0,,121527.0,55676.0,95659.0,97132.0,77923.0,81601.0,93928.0,47817.0,66580.0,52342.0,67760.0,123162.0,72178.0,230297.0,113608.0,81518.0,465401.0,321084.0,464414.0,267050.0,67753.0,187676.0,115487.0,191607.0,102253.0,76207.0,68593.0,121627.0,515951.0,120188.0,182713.0,293349.0,219001.0,319852.0,125011.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
