Date,ПРИВАТБАНК,РАЙФФАЙЗЕН БАНК АВАЛЬ,ОЩАДБАНК,УКРСИББАНК,УКРЕКСІМБАНК,УКРСОЦБАНК,ПРОМІНВЕСТБАНК,ОТП БАНК,СЕНС БАНК,НАДРА,ВТБ БАНК,ФОРУМ,ПУМБ,ФІНАНСИ ТА КРЕДИТ,ОМЕГА БАНК,БРОКБІЗНЕСБАНК,УКРГАЗБАНК,УКРПРОМБАНК,КРЕДИТПРОМБАНК,РОДОВІД БАНК,ПІВДЕННИЙ,ЕРСТЕ БАНК,УНIКРЕДИТ БАНК,УНІВЕРСАЛ БАНК,ВIEЙБI БАНК,ПРАВЕКС-БАНК,ДОНГОРБАНК,КРЕДОБАНК,ДЕЛЬТА БАНК,ФІНАНСОВА ІНІЦІАТИВА,ХРЕЩАТИК,IМЕКСБАНК,СБЕРБАНК,СІТІБАНК,КАЛІОН БАНК УКРАЇНА,ІНДУСТРІАЛБАНК,IНДУСТРІАЛЬНО-ЕКСПОРТНИЙ БАНК,КИЇВ,БАНК МОРСЬКИЙ,ФІДОБАНК,БАНК КРЕДИТ ДНІПРО,КЛІРИНГОВИЙ ДІМ,ПРОКРЕДИТ БАНК,МЕГАБАНК,БМ БАНК,ВІЕС БАНК,ПІРЕУС БАНК МКБ,БТА БАНК,КРЕДИТ ЄВРОПА БАНК,ЄВРОПЕЙСЬКИЙ,ЕКСПРЕС-БАНК,АКТИВ БАНК,ЕКСПОБАНК,КАПІТАЛ,УКРАЇНСЬКИЙ ПРОФЕСІЙНИЙ БАНК,ХОУМ КРЕДИТ БАНК,УКРІНБАНК,АГРОПРОСПЕРІС БАНК,СОЮЗ,БАНК ТАВРИКА,IПОБАНК,АЛЬТБАНК,Діамантбанк,БГ БАНК,БАНК HАЦІОНАЛЬНІ ІНВЕСТИЦІЇ,УКРБІЗНЕСБАНК,СТАНДАРТ,БІГ ЕНЕРГІЯ,ПЛАТИНУМ БАНК,АРКАДА,ЕНЕРГОБАНК,БАЗИС,БАНК ІНВЕСТИЦІЙ ТА ЗАОЩАДЖЕНЬ,БАНК ДЕМАРК,ПЕТРОКОММЕРЦ-УКРАЇНА,МІСТО БАНК,СХІДНОЄВРОПЕЙСЬКИЙ БАНК,ДНІСТЕР,ЗАХІДІНКОМБАНК,ПОЛТАВА - БАНК,БАНК ЗОЛОТІ ВОРОТА,АКЦЕНТ-БАНК,БАНК МЕРКУРІЙ,ЗЛАТОБАНК,ПІВДЕНКОМБАНК,ТРАНСБАНК,ФІНБАНК,ПЕРШИЙ ІНВЕСТИЦІЙНИЙ БАНК,ІНПРОМБАНК,ФОРТУНА БАНК,БАНК РЕГІОНАЛЬНОГО РОЗВИТКУ,ЗЕМЕЛЬНИЙ БАНК,БАНК КАМБІО,ДАНІЕЛЬ,ПАРТНЕР-БАНК,СОЦКОМБАНК,ЛЬВІВ,УКРАЇНСЬКИЙ ФІНАНСОВИЙ СВІТ,УКРГАЗПРОМБАНК,МЕТАБАНК,ГЛОБУС,АВТОКРАЗБАНК,ІДЕЯ БАНК,IНТЕГРАЛ БАНК,АРТЕМ-БАНК,ТРАСТ,АРМА,ТЕРРА БАНК,НОВИЙ,АЙБОКС БАНК,БАНК БОГУСЛАВ,ПОРТО-ФРАНКО,КОМІНВЕСТБАНК,БАНК СТОЛИЦЯ,НАЦІОНАЛЬНИЙ КРЕДИТ,ОДЕСА-БАНК,БАНК ГРАНТ,УКРКОМУНБАНК,СИНТЕЗ,АКСІОМА,ПРОМЕКОНОМБАНК,ВОЛОДИМИРСЬКИЙ,ЄВРОПЕЙСЬКИЙ БАНК РАЦІОН.ФІНАНС.,БАНК КОНТРАКТ,ЄВРОГАЗБАНК,ЕРДЕ БАНК,ТК КРЕДИТ,УКРАЇНСЬКА ФІНАНСОВА ГРУПА,ЛЕГБАНК,РЕАЛ БАНК,ПРЕМIУМ,IНТЕРБАНК,IНВЕСТБАНК,ПОЛІКОМБАНК,ФІНРОСТБАНК,АКТАБАНК,ФІНЕКСБАНК,АКОРДБАНК,УКООПСПІЛКА,КРЕДИТВЕСТ БАНК,ПРОМИСЛОВО-ФІНАНСОВИЙ БАНК,КОНКОРД,КОМЕРЦІЙНИЙ ІНДУСТРІАЛЬНИЙ БАНК,ОКСІ БАНК,СТОЛИЧНИЙ,ТММ-БАНК,ПРАЙМ-БАНК,ДІАЛОГБАНК,ОЛІМПІЙСЬКА УКРАЇНА,ЄВРОБАНК,УНIКОМБАНК,"""ПРИЧОРНОМОР'Я""",МОТОР-БАНК,СХІДНО-ПРОМИСЛОВИЙ БАНК,ВЕЛЕС,РАДАБАНК,ЄВРОПРОМБАНК,МІЖНАРОДНИЙ ІНВЕСТИЦІЙНИЙ БАНК,УКРБУДІНВЕСТБАНК,БАНК ФАМІЛЬНИЙ,УКРАЇНСЬКИЙ БАНК РЕКОНСТР.ТА РОЗВ.,НК БАНК,КРЕДИТ ОПТИМА БАНК,АСВІО БАНК,БАНК АЛЬЯНС,КЛАСИКБАНК,ДІАПАЗОН-МАКСИМУМ БАНК,АВАНТ-БАНК,БАНК 3/4,ВСЕУКРАЇНСЬКИЙ БАНК РОЗВИТКУ,КРЕДІ АГРІКОЛЬ БАНК,ЄКАТЕРИНОСЛАВСЬКИЙ КОМЕРЦІЙНИЙ БАНК,СКАЙ БАНК,ДОЙЧЕ БАНК ДБУ,ПРОФІНБАНК,АПЕКС-БАНК,МІСЬКИЙ КОМЕРЦІЙНИЙ БАНК,РАДИКАЛ БАНК,ГРІН БАНК,ЦЕНТР,МТБ БАНК,БАНК РИНКОВІ ТЕХНОЛОГІЇ,ТАСКОМБАНК,БАНК ПЕРШИЙ,А - БАНК,БАНК ВОСТОК,ДІВІ БАНК,БАНК СІЧ,ЮНЕКС БАНК,ІНТЕРКРЕДИТБАНК,МЕЛІОР БАНК,БАНК СОФІЙСЬКИЙ,ФІНАНСОВИЙ ПАРТНЕР,АЛЬПАРІ БАНК,БАНК ЮНІСОН,ФІДОКОМБАНК,МЕГА БАНК,БАНК МИХАЙЛІВСЬКИЙ,БАНК АВАНГАРД,ЮНІОН СТАНДАРД БАНК,ВЕРНУМ БАНК,КСГ БАНК,БАНК ПОРТАЛ,ДЕРЖЗЕМБАНК,ГЕФЕСТ,ВЕКТОР БАНК,БАНК ФОРВАРД,КРИСТАЛБАНК,СМАРТБАНК,РВС БАНК,ІНГ БАНК УКРАЇНА,ІНВЕСТБАНК,ПФБ,КОМІНБАНК
2009-04-01,155497.0,53976.0,32666.0,13336.0,14130.0,16480.0,9405.0,14317.0,44757.0,11143.0,4983.0,4536.0,13626.0,6367.0,1833.0,2984.0,9644.0,3680.0,2257.0,2889.0,9050.0,7673.0,10174.0,2060.0,6230.0,1334.0,3961.0,2220.0,4886.0,163.0,3635.0,1062.0,2411.0,2114.0,10693.0,1983.0,1983.0,873.0,63.0,1468.0,2482.0,148.0,1372.0,833.0,1967.0,217.0,648.0,498.0,1159.0,490.0,4903.0,278.0,1120.0,54.0,749.0,1154.0,2978.0,98.0,0.0,223.0,102.0,52.0,621.0,943.0,1292.0,1066.0,173.0,272.0,780.0,25.0,282.0,762.0,3802.0,50.0,876.0,715.0,1125.0,748.0,660.0,377.0,225.0,54.0,150.0,54.0,9871.0,246.0,116.0,479.0,602.0,196.0,211.0,659.0,490.0,932.0,2493.0,95.0,256.0,460.0,693.0,185.0,2012.0,2040.0,420.0,371.0,2339.0,695.0,14.0,402.0,496.0,1168.0,107.0,712.0,243.0,45.0,211.0,184.0,1129.0,911.0,6536.0,483.0,708.0,137.0,748.0,1805.0,55.0,128.0,257.0,341.0,914.0,265.0,7202.0,1756.0,114.0,-27.0,55.0,1520.0,130.0,195.0,411.0,165.0,376.0,5.0,423.0,282.0,4.0,1140.0,1292.0,404.0,1.0,182.0,479.0,86.0,140.0,30.0,412.0,18.0,626.0,13.0,69.0,243.0,7.0,13.0,53.0,2.0,3.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-07-01,393250.0,93577.0,71766.0,26050.0,26864.0,31380.0,19851.0,23139.0,62446.0,18980.0,9431.0,9074.0,27771.0,11400.0,3508.0,17714.0,16144.0,5599.0,4457.0,5941.0,16879.0,10429.0,20200.0,4691.0,13183.0,2241.0,13525.0,5006.0,15716.0,656.0,9225.0,2156.0,5596.0,3951.0,18365.0,4153.0,3938.0,1340.0,2231.0,2702.0,4477.0,280.0,2829.0,1782.0,4225.0,430.0,1312.0,767.0,3081.0,618.0,6833.0,536.0,4209.0,87.0,1450.0,2992.0,5971.0,228.0,10.0,429.0,358.0,128.0,1279.0,1964.0,2786.0,1767.0,259.0,396.0,254.0,78.0,592.0,1390.0,7487.0,134.0,1636.0,869.0,1792.0,776.0,956.0,849.0,490.0,1817.0,487.0,541.0,14704.0,332.0,236.0,1028.0,1025.0,597.0,377.0,1491.0,898.0,1460.0,7188.0,161.0,774.0,906.0,1317.0,472.0,2217.0,3198.0,842.0,501.0,2771.0,1648.0,18.0,679.0,1134.0,2465.0,246.0,1532.0,700.0,98.0,378.0,309.0,1756.0,2045.0,9288.0,902.0,1019.0,768.0,2252.0,3120.0,114.0,451.0,1057.0,569.0,1331.0,670.0,10124.0,2676.0,260.0,-50.0,121.0,4163.0,457.0,241.0,723.0,267.0,458.0,68.0,1971.0,304.0,14.0,1410.0,1562.0,592.0,3.0,348.0,1075.0,,217.0,63.0,677.0,34.0,816.0,328.0,77.0,275.0,14.0,44.0,137.0,5.0,5.0,35.0,4.0,1.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-10-01,493535.0,138424.0,117325.0,49923.0,41587.0,49141.0,33549.0,28686.0,115292.0,26803.0,19432.0,13822.0,43580.0,25306.0,5389.0,24710.0,30841.0,7096.0,6818.0,11334.0,38012.0,27675.0,31629.0,7432.0,26953.0,9460.0,17041.0,8295.0,20365.0,971.0,18035.0,3116.0,9719.0,5872.0,26843.0,7672.0,6865.0,2472.0,369.0,4274.0,7531.0,763.0,4644.0,3415.0,11309.0,667.0,2472.0,1452.0,9029.0,,9214.0,5256.0,12610.0,292.0,2951.0,11417.0,8848.0,528.0,880.0,1833.0,647.0,1343.0,3912.0,5232.0,4401.0,2826.0,409.0,599.0,500.0,142.0,1010.0,2122.0,23089.0,295.0,3090.0,1280.0,2096.0,821.0,1224.0,1711.0,1467.0,1988.0,780.0,1696.0,25657.0,356.0,945.0,2117.0,1509.0,1352.0,566.0,2591.0,1432.0,2441.0,11039.0,931.0,2042.0,1694.0,3946.0,767.0,8225.0,7168.0,1228.0,1227.0,9670.0,1677.0,20.0,1034.0,1884.0,3923.0,423.0,2334.0,1054.0,141.0,616.0,,4733.0,3001.0,15827.0,5843.0,3929.0,944.0,3375.0,5523.0,1451.0,1289.0,2238.0,751.0,2087.0,992.0,13014.0,4517.0,395.0,-81.0,4296.0,57396.0,597.0,1999.0,1098.0,1419.0,808.0,71.0,5964.0,352.0,20.0,1503.0,2187.0,789.0,4.0,2134.0,2004.0,,272.0,95.0,1088.0,77.0,906.0,872.0,81.0,384.0,28.0,69.0,359.0,9.0,7.0,645.0,930.0,2.0,20.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-01,642336.0,192819.0,165040.0,68666.0,56960.0,67594.0,47678.0,38043.0,129762.0,33320.0,25245.0,18327.0,60401.0,34258.0,19960.0,27353.0,42660.0,,9251.0,17303.0,49211.0,37348.0,41990.0,10134.0,36070.0,12429.0,20876.0,11274.0,25155.0,1190.0,29406.0,4315.0,22417.0,7885.0,33250.0,10035.0,,3055.0,557.0,8685.0,9480.0,1284.0,6048.0,6212.0,12936.0,877.0,3496.0,1928.0,10362.0,,11246.0,6670.0,18309.0,346.0,3848.0,13546.0,11779.0,661.0,3838.0,2437.0,745.0,1551.0,6100.0,6320.0,5467.0,4076.0,556.0,758.0,661.0,239.0,1512.0,2852.0,31005.0,396.0,3918.0,1524.0,,1089.0,1670.0,2482.0,2534.0,2272.0,984.0,1998.0,33478.0,371.0,13382.0,2697.0,1530.0,2277.0,,3533.0,2012.0,3319.0,12140.0,1041.0,2385.0,2601.0,5037.0,1085.0,19384.0,8938.0,1596.0,3327.0,10474.0,2031.0,26.0,1398.0,2458.0,5934.0,856.0,3176.0,1380.0,183.0,748.0,,6990.0,4632.0,21481.0,8898.0,4564.0,4255.0,5580.0,7648.0,3819.0,1802.0,3601.0,,2755.0,1498.0,21699.0,6388.0,561.0,-111.0,10017.0,88044.0,1445.0,2171.0,1487.0,1657.0,956.0,72.0,7546.0,402.0,26.0,1541.0,2642.0,1134.0,5.0,2976.0,4021.0,,367.0,157.0,1389.0,89.0,1073.0,5818.0,87.0,452.0,32.0,106.0,376.0,13.0,10.0,3879.0,1359.0,3.0,22.0,20.0,9871.0,42995.0,1543.0,18.0,1111.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-04-01,102816.0,46439.0,42203.0,13538.0,18236.0,19134.0,11523.0,7529.0,5876.0,4081.0,4790.0,4519.0,16128.0,6657.0,3913.0,2975.0,5199.0,,2254.0,2768.0,8939.0,3801.0,10661.0,2441.0,5590.0,3504.0,3314.0,2485.0,7375.0,1332.0,8190.0,1267.0,3187.0,1867.0,,2134.0,,318.0,114.0,1437.0,2044.0,161.0,2775.0,3116.0,1002.0,151.0,736.0,353.0,646.0,,2331.0,437.0,2045.0,25.0,1042.0,1070.0,2110.0,139.0,1737.0,564.0,,88.0,970.0,1400.0,979.0,736.0,19.0,,454.0,111.0,356.0,839.0,958.0,112.0,979.0,378.0,,,284.0,469.0,838.0,2671.0,115.0,430.0,3498.0,,4667.0,515.0,55.0,408.0,,678.0,377.0,470.0,,202.0,265.0,327.0,739.0,216.0,1907.0,1222.0,402.0,1728.0,747.0,6.0,,134.0,499.0,1627.0,505.0,376.0,237.0,43.0,46.0,,1496.0,1182.0,3287.0,2393.0,489.0,670.0,1697.0,1032.0,199.0,322.0,407.0,,529.0,284.0,228.0,1717.0,148.0,-24.0,1327.0,26697.0,289.0,142.0,487.0,317.0,91.0,0.0,756.0,34.0,25.0,15.0,463.0,53.0,1.0,854.0,1743.0,,111.0,32.0,303.0,14.0,40.0,714.0,5.0,230.0,7.0,26.0,2.0,5.0,1.0,18163.0,21.0,4.0,2.0,15.0,7442.0,496.0,327.0,56.0,187.0,5.0,253.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-01,246876.0,87849.0,88620.0,29688.0,43538.0,40262.0,24593.0,15783.0,10881.0,8041.0,10396.0,9682.0,34733.0,12822.0,31773.0,6315.0,10433.0,,4633.0,4907.0,17831.0,8206.0,21637.0,4879.0,11797.0,7210.0,6867.0,4610.0,14737.0,1597.0,15324.0,2162.0,5920.0,4130.0,,4541.0,,628.0,250.0,3009.0,4355.0,339.0,6424.0,5709.0,1676.0,339.0,2223.0,867.0,1159.0,,4331.0,760.0,3558.0,42.0,1511.0,1910.0,4147.0,294.0,2889.0,962.0,,207.0,2411.0,2794.0,2009.0,1610.0,296.0,,708.0,207.0,738.0,1673.0,1430.0,244.0,1805.0,525.0,,,578.0,997.0,1587.0,2975.0,241.0,832.0,7460.0,,6868.0,1010.0,99.0,669.0,,1195.0,779.0,1070.0,,246.0,465.0,710.0,1440.0,424.0,2314.0,2115.0,915.0,2624.0,1203.0,13.0,,271.0,1105.0,3965.0,690.0,712.0,588.0,92.0,122.0,,1631.0,2765.0,5324.0,3614.0,2891.0,1564.0,3189.0,2527.0,379.0,897.0,1918.0,,1421.0,623.0,345.0,3503.0,296.0,-57.0,2625.0,33739.0,722.0,331.0,1131.0,532.0,237.0,0.0,1286.0,94.0,30.0,64.0,746.0,217.0,,1906.0,2925.0,,225.0,82.0,602.0,22.0,131.0,1197.0,9.0,397.0,12.0,104.0,31.0,20.0,3.0,29041.0,67.0,7.0,6.0,35.0,15999.0,1808.0,565.0,106.0,435.0,27.0,585.0,18.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-10-01,412254.0,133716.0,135929.0,47583.0,70554.0,65657.0,38467.0,24825.0,16313.0,27732.0,21404.0,15275.0,55145.0,20316.0,40246.0,10002.0,16154.0,,9197.0,7391.0,28643.0,13309.0,31171.0,7422.0,18945.0,11091.0,10823.0,7772.0,22058.0,2027.0,21393.0,3158.0,8853.0,6677.0,,7617.0,,956.0,779.0,4650.0,7697.0,526.0,8584.0,8664.0,4116.0,573.0,3524.0,1295.0,1538.0,,6826.0,1351.0,6387.0,98.0,2049.0,2562.0,6509.0,548.0,4254.0,1462.0,,352.0,4068.0,3963.0,3089.0,2618.0,543.0,,1009.0,269.0,1242.0,2543.0,2027.0,449.0,2672.0,694.0,,,837.0,1900.0,2387.0,3384.0,382.0,1274.0,10737.0,,9893.0,1688.0,216.0,1097.0,,,1606.0,1758.0,,277.0,673.0,1003.0,2095.0,666.0,3771.0,3416.0,1742.0,3722.0,1439.0,16.0,,515.0,1776.0,6239.0,1000.0,1174.0,1009.0,173.0,535.0,,1947.0,4263.0,5952.0,4961.0,3277.0,2414.0,5544.0,4179.0,626.0,12490.0,3262.0,,2051.0,1183.0,362.0,4417.0,426.0,-92.0,5095.0,46115.0,1280.0,613.0,1817.0,841.0,418.0,516.0,2031.0,195.0,41.0,77.0,1259.0,370.0,,3121.0,5117.0,,417.0,133.0,2207.0,46.0,195.0,2016.0,11.0,542.0,18.0,231.0,38.0,52.0,6.0,29951.0,101.0,11.0,137.0,62.0,25001.0,3540.0,792.0,121.0,629.0,78.0,864.0,215.0,3.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-01-01,551193.0,186805.0,184758.0,66684.0,99047.0,93264.0,53844.0,37785.0,24630.0,48574.0,34631.0,23604.0,78130.0,31333.0,52256.0,14137.0,22259.0,,12446.0,9974.0,40206.0,19410.0,43246.0,10112.0,25935.0,15251.0,15286.0,11287.0,29834.0,2704.0,27308.0,4895.0,12493.0,9458.0,,10899.0,,1410.0,1313.0,6709.0,13618.0,707.0,11243.0,10930.0,5190.0,892.0,4671.0,2034.0,1775.0,,9156.0,1997.0,8183.0,193.0,2751.0,3392.0,8684.0,1199.0,5811.0,1965.0,,538.0,6005.0,5167.0,4198.0,5001.0,983.0,,1241.0,286.0,1901.0,3372.0,2609.0,669.0,3592.0,884.0,,,1107.0,3205.0,3285.0,3876.0,606.0,2181.0,13526.0,,13621.0,2287.0,513.0,1552.0,,,2849.0,2597.0,,278.0,890.0,1318.0,2608.0,1109.0,6330.0,6159.0,3004.0,5313.0,1674.0,19.0,,718.0,2725.0,8250.0,1250.0,1624.0,1442.0,230.0,883.0,,2667.0,5805.0,,5446.0,3915.0,3230.0,8456.0,6279.0,1028.0,44578.0,4879.0,,2781.0,2256.0,371.0,5868.0,547.0,-117.0,10461.0,63691.0,1676.0,1260.0,2483.0,1124.0,548.0,1035.0,2683.0,369.0,682.0,85.0,2627.0,483.0,,4869.0,5557.0,,721.0,234.0,4101.0,76.0,357.0,3120.0,21.0,726.0,38.0,310.0,39.0,117.0,9.0,29955.0,673.0,12.0,912.0,344.0,35695.0,5656.0,1059.0,177.0,827.0,117.0,1784.0,1110.0,4.0,60.0,10381.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-04-01,117792.0,44971.0,46359.0,60129.0,25973.0,26971.0,16669.0,9431.0,7597.0,59580.0,12784.0,6391.0,19992.0,7715.0,2348.0,4125.0,4953.0,,2810.0,2741.0,11004.0,5698.0,9486.0,2391.0,6595.0,3544.0,3946.0,2255.0,5268.0,283.0,5252.0,760.0,5097.0,2306.0,,2400.0,,329.0,115.0,1443.0,5338.0,205.0,2291.0,1551.0,673.0,276.0,1300.0,481.0,294.0,,1677.0,385.0,432.0,23.0,575.0,528.0,1719.0,267.0,2069.0,509.0,,128.0,1336.0,973.0,1146.0,1403.0,23.0,,258.0,25.0,497.0,754.0,486.0,103.0,778.0,181.0,,,195.0,443.0,842.0,644.0,186.0,759.0,1074.0,,1783.0,716.0,14.0,351.0,,,741.0,457.0,,0.0,190.0,205.0,445.0,192.0,1057.0,2646.0,2110.0,678.0,239.0,11.0,,369.0,896.0,1608.0,197.0,342.0,248.0,29.0,127.0,,449.0,939.0,,162.0,328.0,45.0,1733.0,1806.0,297.0,4775.0,3862.0,,373.0,825.0,13.0,649.0,105.0,-23.0,1902.0,16757.0,149.0,211.0,607.0,232.0,108.0,51.0,376.0,110.0,140.0,6.0,359.0,2.0,,1212.0,232.0,,137.0,67.0,2509.0,22.0,94.0,740.0,3.0,136.0,7.0,18.0,5.0,13.0,2.0,1.0,2286.0,8.0,380.0,759.0,10763.0,394.0,179.0,582.0,249.0,58.0,507.0,317.0,0.0,16.0,2393.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-07-01,254197.0,82302.0,101951.0,84277.0,55576.0,57439.0,37263.0,20868.0,16328.0,67037.0,21371.0,13020.0,46293.0,15496.0,4774.0,9027.0,10639.0,,5967.0,9640.0,24098.0,11787.0,21183.0,4806.0,12899.0,7945.0,8779.0,5010.0,12189.0,586.0,11896.0,1663.0,11207.0,4964.0,,7974.0,,771.0,183.0,2972.0,10661.0,379.0,4582.0,3991.0,1582.0,613.0,2551.0,1107.0,593.0,,3995.0,811.0,928.0,54.0,1184.0,,3944.0,610.0,3308.0,1101.0,,297.0,2817.0,,2250.0,3524.0,76.0,,1171.0,43.0,1089.0,1601.0,843.0,273.0,1631.0,445.0,,,386.0,,2593.0,1426.0,290.0,2008.0,3039.0,,3368.0,1744.0,43.0,1520.0,,,1382.0,957.0,,0.0,448.0,573.0,936.0,405.0,2258.0,4140.0,5854.0,1375.0,430.0,76.0,,1007.0,1780.0,2353.0,468.0,719.0,611.0,85.0,363.0,,959.0,3773.0,,189.0,733.0,89.0,3718.0,2726.0,759.0,5815.0,8354.0,,904.0,1645.0,31.0,2414.0,228.0,-67.0,5394.0,24407.0,364.0,368.0,1163.0,484.0,202.0,112.0,1062.0,257.0,579.0,16.0,1124.0,,,2184.0,502.0,,282.0,129.0,4967.0,49.0,214.0,1526.0,4.0,284.0,15.0,43.0,10.0,32.0,4.0,119.0,2400.0,9.0,802.0,1480.0,22002.0,569.0,404.0,1178.0,448.0,88.0,1106.0,744.0,8.0,40.0,4890.0,165.0,2504.0,2036.0,1095.0,937.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
