Date,ПРИВАТБАНК,РАЙФФАЙЗЕН БАНК АВАЛЬ,ОЩАДБАНК,УКРСИББАНК,УКРЕКСІМБАНК,УКРСОЦБАНК,ПРОМІНВЕСТБАНК,ОТП БАНК,СЕНС БАНК,НАДРА,ВТБ БАНК,ФОРУМ,ПУМБ,ФІНАНСИ ТА КРЕДИТ,ОМЕГА БАНК,БРОКБІЗНЕСБАНК,УКРГАЗБАНК,УКРПРОМБАНК,КРЕДИТПРОМБАНК,РОДОВІД БАНК,ПІВДЕННИЙ,ЕРСТЕ БАНК,УНIКРЕДИТ БАНК,УНІВЕРСАЛ БАНК,ВIEЙБI БАНК,ПРАВЕКС-БАНК,ДОНГОРБАНК,КРЕДОБАНК,ДЕЛЬТА БАНК,ФІНАНСОВА ІНІЦІАТИВА,ХРЕЩАТИК,IМЕКСБАНК,СБЕРБАНК,СІТІБАНК,КАЛІОН БАНК УКРАЇНА,ІНДУСТРІАЛБАНК,IНДУСТРІАЛЬНО-ЕКСПОРТНИЙ БАНК,КИЇВ,БАНК МОРСЬКИЙ,ФІДОБАНК,БАНК КРЕДИТ ДНІПРО,КЛІРИНГОВИЙ ДІМ,ПРОКРЕДИТ БАНК,МЕГАБАНК,БМ БАНК,ВІЕС БАНК,ПІРЕУС БАНК МКБ,БТА БАНК,КРЕДИТ ЄВРОПА БАНК,ЄВРОПЕЙСЬКИЙ,ЕКСПРЕС-БАНК,АКТИВ БАНК,ЕКСПОБАНК,КАПІТАЛ,УКРАЇНСЬКИЙ ПРОФЕСІЙНИЙ БАНК,ХОУМ КРЕДИТ БАНК,УКРІНБАНК,АГРОПРОСПЕРІС БАНК,СОЮЗ,БАНК ТАВРИКА,IПОБАНК,АЛЬТБАНК,Діамантбанк,БГ БАНК,БАНК HАЦІОНАЛЬНІ ІНВЕСТИЦІЇ,УКРБІЗНЕСБАНК,СТАНДАРТ,БІГ ЕНЕРГІЯ,ПЛАТИНУМ БАНК,АРКАДА,ЕНЕРГОБАНК,БАЗИС,БАНК ІНВЕСТИЦІЙ ТА ЗАОЩАДЖЕНЬ,БАНК ДЕМАРК,ПЕТРОКОММЕРЦ-УКРАЇНА,МІСТО БАНК,СХІДНОЄВРОПЕЙСЬКИЙ БАНК,ДНІСТЕР,ЗАХІДІНКОМБАНК,ПОЛТАВА - БАНК,БАНК ЗОЛОТІ ВОРОТА,АКЦЕНТ-БАНК,БАНК МЕРКУРІЙ,ЗЛАТОБАНК,ПІВДЕНКОМБАНК,ТРАНСБАНК,ФІНБАНК,ПЕРШИЙ ІНВЕСТИЦІЙНИЙ БАНК,ІНПРОМБАНК,ФОРТУНА БАНК,БАНК РЕГІОНАЛЬНОГО РОЗВИТКУ,ЗЕМЕЛЬНИЙ БАНК,БАНК КАМБІО,ДАНІЕЛЬ,ПАРТНЕР-БАНК,СОЦКОМБАНК,ЛЬВІВ,УКРАЇНСЬКИЙ ФІНАНСОВИЙ СВІТ,УКРГАЗПРОМБАНК,МЕТАБАНК,ГЛОБУС,АВТОКРАЗБАНК,ІДЕЯ БАНК,IНТЕГРАЛ БАНК,АРТЕМ-БАНК,ТРАСТ,АРМА,ТЕРРА БАНК,НОВИЙ,АЙБОКС БАНК,БАНК БОГУСЛАВ,ПОРТО-ФРАНКО,КОМІНВЕСТБАНК,БАНК СТОЛИЦЯ,НАЦІОНАЛЬНИЙ КРЕДИТ,ОДЕСА-БАНК,БАНК ГРАНТ,УКРКОМУНБАНК,СИНТЕЗ,АКСІОМА,ПРОМЕКОНОМБАНК,ВОЛОДИМИРСЬКИЙ,ЄВРОПЕЙСЬКИЙ БАНК РАЦІОН.ФІНАНС.,БАНК КОНТРАКТ,ЄВРОГАЗБАНК,ЕРДЕ БАНК,ТК КРЕДИТ,УКРАЇНСЬКА ФІНАНСОВА ГРУПА,ЛЕГБАНК,РЕАЛ БАНК,ПРЕМIУМ,IНТЕРБАНК,IНВЕСТБАНК,ПОЛІКОМБАНК,ФІНРОСТБАНК,АКТАБАНК,ФІНЕКСБАНК,АКОРДБАНК,УКООПСПІЛКА,КРЕДИТВЕСТ БАНК,ПРОМИСЛОВО-ФІНАНСОВИЙ БАНК,КОНКОРД,КОМЕРЦІЙНИЙ ІНДУСТРІАЛЬНИЙ БАНК,ОКСІ БАНК,СТОЛИЧНИЙ,ТММ-БАНК,ПРАЙМ-БАНК,ДІАЛОГБАНК,ОЛІМПІЙСЬКА УКРАЇНА,ЄВРОБАНК,УНIКОМБАНК,"""ПРИЧОРНОМОР'Я""",МОТОР-БАНК,СХІДНО-ПРОМИСЛОВИЙ БАНК,ВЕЛЕС,РАДАБАНК,ЄВРОПРОМБАНК,МІЖНАРОДНИЙ ІНВЕСТИЦІЙНИЙ БАНК,УКРБУДІНВЕСТБАНК,БАНК ФАМІЛЬНИЙ,УКРАЇНСЬКИЙ БАНК РЕКОНСТР.ТА РОЗВ.,НК БАНК,КРЕДИТ ОПТИМА БАНК,АСВІО БАНК,БАНК АЛЬЯНС,КЛАСИКБАНК,ДІАПАЗОН-МАКСИМУМ БАНК,АВАНТ-БАНК,БАНК 3/4,ВСЕУКРАЇНСЬКИЙ БАНК РОЗВИТКУ,КРЕДІ АГРІКОЛЬ БАНК,ЄКАТЕРИНОСЛАВСЬКИЙ КОМЕРЦІЙНИЙ БАНК,СКАЙ БАНК,ДОЙЧЕ БАНК ДБУ,ПРОФІНБАНК,АПЕКС-БАНК,МІСЬКИЙ КОМЕРЦІЙНИЙ БАНК,РАДИКАЛ БАНК,ГРІН БАНК,ЦЕНТР,МТБ БАНК,БАНК РИНКОВІ ТЕХНОЛОГІЇ,ТАСКОМБАНК,БАНК ПЕРШИЙ,А - БАНК,БАНК ВОСТОК,ДІВІ БАНК,БАНК СІЧ,ЮНЕКС БАНК,ІНТЕРКРЕДИТБАНК,МЕЛІОР БАНК,БАНК СОФІЙСЬКИЙ,ФІНАНСОВИЙ ПАРТНЕР,АЛЬПАРІ БАНК,БАНК ЮНІСОН,ФІДОКОМБАНК,МЕГА БАНК,БАНК МИХАЙЛІВСЬКИЙ,БАНК АВАНГАРД,ЮНІОН СТАНДАРД БАНК,ВЕРНУМ БАНК,КСГ БАНК,БАНК ПОРТАЛ,ДЕРЖЗЕМБАНК,ГЕФЕСТ,ВЕКТОР БАНК,БАНК ФОРВАРД,КРИСТАЛБАНК,СМАРТБАНК,РВС БАНК,ІНГ БАНК УКРАЇНА,ІНВЕСТБАНК,ПФБ,КОМІНБАНК
2009-04-01,182236.0,923706.0,8343921.0,846844.0,2248886.0,254271.0,377916.0,719584.0,429207.0,4342.0,24162.0,240927.0,303238.0,42061.0,15925.0,421413.0,657485.0,90355.0,811273.0,598811.0,33541.0,372384.0,19731.0,82232.0,109922.0,58.0,236218.0,157675.0,139281.0,75194.0,275712.0,35.0,166689.0,1029513.0,935.0,250378.0,10067.0,17812.0,200.0,61442.0,62760.0,71355.0,250.0,186717.0,34400.0,77.0,7812.0,175174.0,162893.0,36199.0,0.0,8977.0,15257.0,819.0,185606.0,103781.0,970.0,0.0,0.0,13347.0,19031.0,8024.0,18748.0,59767.0,61022.0,9436.0,0.0,62619.0,250.0,7230.0,32421.0,5896.0,0.0,53544.0,3534.0,0.0,18496.0,340.0,0.0,28141.0,0.0,0.0,14892.0,0.0,47329.0,46396.0,26.0,29704.0,0.0,0.0,53914.0,70143.0,16516.0,39630.0,35963.0,0.0,0.0,92429.0,224.0,2106.0,33070.0,49538.0,5138.0,11676.0,58527.0,0.0,67100.0,15604.0,18163.0,22230.0,10301.0,0.0,210.0,16725.0,0.0,6868.0,4370.0,0.0,121.0,20805.0,10782.0,0.0,117.0,0.0,47030.0,8724.0,29546.0,413.0,19391.0,24638.0,0.0,90.0,0.0,3196.0,0.0,0.0,0.0,5784.0,0.0,0.0,52.0,5228.0,0.0,0.0,4457.0,0.0,0.0,7030.0,3584.0,35396.0,0.0,27842.0,0.0,0.0,10.0,0.0,0.0,17660.0,0.0,9958.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-07-01,18216.0,1314723.0,672565.0,848478.0,2389263.0,322719.0,379926.0,213515.0,714834.0,4342.0,48905.0,523999.0,283062.0,43154.0,5599.0,366965.0,660509.0,69574.0,758913.0,658512.0,36248.0,1175454.0,571991.0,242371.0,143496.0,170448.0,240227.0,126059.0,137929.0,83883.0,271810.0,35.0,446235.0,729289.0,935.0,244439.0,11849.0,18121.0,2976.0,100930.0,58131.0,71559.0,250.0,144288.0,19477.0,77.0,7742.0,84317.0,224814.0,36200.0,0.0,5237.0,10457.0,8956.0,185716.0,227739.0,870.0,0.0,0.0,13111.0,0.0,7989.0,59825.0,30752.0,61845.0,9436.0,0.0,43021.0,250.0,8210.0,29172.0,7873.0,0.0,19458.0,3583.0,0.0,20216.0,491.0,0.0,28141.0,1016.0,0.0,14891.0,0.0,71424.0,44910.0,26.0,29365.0,0.0,0.0,54805.0,69544.0,16639.0,41327.0,29936.0,0.0,0.0,77479.0,415.0,2106.0,26988.0,35473.0,138.0,11676.0,58527.0,0.0,67246.0,24764.0,18163.0,25527.0,9528.0,0.0,210.0,17296.0,0.0,7356.0,4344.0,0.0,121.0,22010.0,10788.0,0.0,117.0,0.0,0.0,3350.0,30033.0,1.0,18804.0,25873.0,0.0,5013.0,0.0,3196.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,5331.0,0.0,0.0,4457.0,0.0,0.0,6042.0,3617.0,37024.0,0.0,,0.0,0.0,10.0,0.0,0.0,84812.0,0.0,9929.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-10-01,21571.0,1536032.0,5535376.0,614566.0,1430566.0,365125.0,739284.0,330904.0,526775.0,4647.0,133867.0,235263.0,247328.0,12074.0,5776.0,369262.0,1498502.0,60283.0,653121.0,1155332.0,37155.0,452553.0,359411.0,160477.0,76081.0,65118.0,215250.0,115059.0,133918.0,94649.0,233074.0,340.0,196253.0,280570.0,1240.0,253937.0,116551.0,18301.0,38.0,164847.0,49108.0,71833.0,250.0,145685.0,12700.0,77.0,6888.0,86278.0,328987.0,,9352.0,5368.0,10457.0,8984.0,184055.0,302104.0,3984.0,97508.0,0.0,13153.0,0.0,7957.0,60365.0,33925.0,62197.0,9741.0,0.0,9025.0,250.0,3980.0,128255.0,9922.0,0.0,19703.0,34309.0,0.0,19670.0,511.0,0.0,28136.0,0.0,0.0,14891.0,0.0,87956.0,111967.0,26.0,29163.0,0.0,0.0,55687.0,68683.0,21732.0,42668.0,10891.0,0.0,0.0,67973.0,377.0,2098.0,46511.0,17822.0,43294.0,15536.0,59288.0,0.0,67365.0,19347.0,18163.0,36402.0,1177.0,0.0,210.0,18178.0,0.0,,4320.0,0.0,121.0,22389.0,10790.0,0.0,117.0,0.0,0.0,25380.0,30532.0,1.0,18211.0,26092.0,0.0,16312.0,0.0,3196.0,0.0,1870.0,0.0,0.0,0.0,0.0,52.0,5377.0,0.0,0.0,4457.0,0.0,0.0,10642.0,3670.0,47259.0,0.0,,0.0,0.0,10.0,0.0,0.0,8359.0,0.0,6521.0,5358.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-01,74252.0,1072693.0,5926965.0,613242.0,1795318.0,376629.0,809588.0,463947.0,520766.0,4647.0,342923.0,249883.0,218023.0,12069.0,188780.0,370168.0,3279703.0,,748076.0,2815094.0,27024.0,720250.0,139927.0,221473.0,70333.0,58.0,193548.0,150664.0,122606.0,100565.0,239517.0,340.0,177332.0,915747.0,1240.0,245654.0,,1306.0,38.0,14486.0,68306.0,11292.0,1395.0,158728.0,22563.0,77.0,6883.0,99227.0,312122.0,,9352.0,7768.0,10457.0,9026.0,181101.0,271288.0,1022.0,214892.0,5025.0,14286.0,0.0,7045.0,41817.0,33051.0,24338.0,9741.0,0.0,9186.0,250.0,3980.0,30954.0,8790.0,0.0,19444.0,21946.0,0.0,,521.0,0.0,26136.0,0.0,0.0,12635.0,0.0,95738.0,113058.0,15748.0,27654.0,383.0,0.0,,66932.0,24886.0,31814.0,11106.0,0.0,0.0,72602.0,417.0,97.0,47286.0,17366.0,113.0,22110.0,59735.0,0.0,67463.0,19210.0,18163.0,27355.0,1251.0,0.0,210.0,16580.0,0.0,,4308.0,0.0,121.0,10435.0,10790.0,0.0,117.0,0.0,0.0,25380.0,31058.0,,17898.0,28022.0,0.0,16312.0,0.0,3196.0,0.0,419.0,0.0,2551.0,0.0,0.0,52.0,5323.0,0.0,0.0,4457.0,0.0,0.0,12910.0,3723.0,48522.0,0.0,,0.0,0.0,10.0,0.0,0.0,5862.0,0.0,1406.0,2511.0,0.0,0.0,0.0,0.0,15000.0,0.0,0.0,0.0,0.0,125252.0,16044.0,27.0,166170.0,26.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-04-01,73154.0,2639312.0,1062414.0,1715638.0,5640194.0,534446.0,443228.0,1490465.0,476560.0,4647.0,426108.0,374352.0,521930.0,12052.0,18240.0,363778.0,3241095.0,,584937.0,1650814.0,28693.0,2209668.0,200152.0,210916.0,64120.0,58.0,792744.0,181744.0,124561.0,100565.0,219929.0,340.0,1444799.0,903805.0,,231197.0,,1492.0,38.0,16898.0,50088.0,11736.0,1318.0,148389.0,24647.0,77.0,14671.0,340184.0,337662.0,,9352.0,823.0,10457.0,9051.0,189658.0,212843.0,1022.0,356602.0,15335.0,14481.0,,7045.0,41817.0,32876.0,43260.0,9741.0,0.0,,250.0,3980.0,15027.0,12410.0,0.0,19667.0,39293.0,0.0,,,30075.0,26136.0,0.0,0.0,12635.0,0.0,100438.0,,55990.0,27471.0,389.0,0.0,,67120.0,24543.0,33408.0,,0.0,0.0,59696.0,381.0,97.0,35783.0,17495.0,25202.0,22110.0,58543.0,0.0,,19210.0,18163.0,29587.0,1210.0,0.0,210.0,12798.0,0.0,,4280.0,0.0,121.0,10688.0,10836.0,0.0,117.0,0.0,0.0,0.0,16603.0,,17905.0,28323.0,0.0,16370.0,0.0,3196.0,0.0,1525.0,0.0,2565.0,0.0,0.0,52.0,3579.0,0.0,0.0,4457.0,0.0,0.0,13193.0,3773.0,41993.0,0.0,,0.0,0.0,10.0,0.0,0.0,3056.0,0.0,1406.0,5051.0,0.0,0.0,0.0,0.0,15000.0,0.0,0.0,0.0,0.0,1240.0,16271.0,27.0,176091.0,26.0,0.0,10148.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-01,59423.0,2840238.0,3383525.0,2644083.0,5694755.0,319394.0,789937.0,1516309.0,829831.0,4647.0,1421896.0,362217.0,1069422.0,12029.0,260012.0,384271.0,3589379.0,,777946.0,761856.0,28654.0,2017305.0,292404.0,460737.0,261442.0,58.0,396461.0,431702.0,170716.0,100669.0,193306.0,340.0,1739168.0,1579579.0,,265442.0,,1433.0,38.0,212963.0,154204.0,48063.0,13298.0,147050.0,24910.0,77.0,15056.0,347262.0,396654.0,,9352.0,768.0,10362.0,9084.0,197573.0,282705.0,70581.0,580829.0,10998.0,9247.0,,35.0,41817.0,35754.0,53967.0,9741.0,3533.0,,350.0,80.0,39597.0,8812.0,0.0,19893.0,15898.0,176283.0,,,30075.0,62510.0,0.0,0.0,12635.0,0.0,139475.0,,26536.0,28768.0,394.0,60.0,,62850.0,40313.0,31560.0,,0.0,0.0,63339.0,460.0,95.0,43953.0,17437.0,173.0,36313.0,58592.0,0.0,,31295.0,18163.0,29487.0,1269.0,0.0,210.0,12985.0,0.0,,4280.0,0.0,121.0,10243.0,10836.0,0.0,117.0,0.0,0.0,23177.0,16603.0,,17905.0,29161.0,0.0,20104.0,60.0,3196.0,0.0,6582.0,0.0,60.0,0.0,0.0,2.0,2834.0,60.0,0.0,4457.0,0.0,0.0,13489.0,,46314.0,0.0,,0.0,0.0,10.0,0.0,0.0,6186.0,0.0,1406.0,16226.0,0.0,0.0,0.0,0.0,16726.0,13000.0,0.0,0.0,0.0,1240.0,16433.0,27.0,174228.0,25.0,0.0,16723.0,0.0,3827.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-10-01,122767.0,4525313.0,4095920.0,5546251.0,6259675.0,189870.0,1127956.0,2066388.0,942073.0,4647.0,3286862.0,953589.0,1575869.0,12133.0,366738.0,438677.0,2775795.0,,753609.0,694353.0,29984.0,2400302.0,685457.0,796759.0,190309.0,58.0,1658763.0,503938.0,268197.0,129305.0,254016.0,10.0,811954.0,2081535.0,,263885.0,,1563.0,38.0,309474.0,62300.0,43192.0,12760.0,144174.0,56053.0,77.0,86477.0,338262.0,627408.0,,9352.0,702.0,10362.0,9104.0,226183.0,306335.0,41744.0,745210.0,10998.0,22214.0,,35.0,61888.0,13912.0,52671.0,19162.0,28267.0,,350.0,80.0,110150.0,24470.0,0.0,19965.0,18076.0,326898.0,,,30075.0,27396.0,0.0,0.0,12635.0,60.0,150860.0,,32414.0,28426.0,46975.0,60.0,,,39302.0,41323.0,,0.0,0.0,55728.0,495.0,443.0,33324.0,17613.0,76.0,46593.0,58592.0,0.0,,59809.0,18157.0,29288.0,5749.0,0.0,210.0,13104.0,0.0,,4280.0,0.0,121.0,5452.0,10836.0,0.0,117.0,0.0,0.0,23961.0,16603.0,,18312.0,34551.0,0.0,20139.0,60.0,3196.0,0.0,17662.0,0.0,10936.0,0.0,0.0,2.0,4697.0,60.0,0.0,4457.0,0.0,0.0,13694.0,,54682.0,0.0,,0.0,0.0,10.0,0.0,0.0,5440.0,0.0,1.0,7958.0,0.0,0.0,0.0,0.0,17456.0,15600.0,0.0,5033.0,0.0,45955.0,16602.0,27.0,187040.0,25.0,0.0,19122.0,600.0,3883.0,24729.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-01-01,95429.0,5516281.0,7739828.0,6464983.0,9258484.0,1252660.0,1372720.0,3173272.0,966026.0,4647.0,2719948.0,733207.0,1891416.0,12216.0,396694.0,447357.0,3168416.0,,1344793.0,686872.0,40387.0,2258997.0,470823.0,58883.0,2359.0,39680.0,1411957.0,514173.0,173666.0,28897.0,270912.0,10.0,740141.0,2067520.0,,283442.0,,1493.0,38.0,306355.0,68538.0,48270.0,25126.0,139862.0,44079.0,77.0,180065.0,100862.0,313293.0,,9352.0,1003.0,10362.0,9124.0,146000.0,332616.0,50626.0,742033.0,11737.0,20508.0,,35.0,77125.0,24085.0,72272.0,9741.0,34757.0,,1080.0,80.0,30978.0,24675.0,0.0,19965.0,43451.0,165344.0,,,30075.0,27396.0,0.0,0.0,12635.0,60.0,207928.0,,12713.0,28651.0,50012.0,60.0,,,62939.0,61855.0,,0.0,0.0,80950.0,476.0,97.0,22119.0,17238.0,76.0,44875.0,58592.0,0.0,,143988.0,18157.0,27670.0,15600.0,0.0,210.0,12931.0,0.0,,4307.0,0.0,,10088.0,10836.0,0.0,117.0,0.0,0.0,22891.0,16603.0,,24076.0,33771.0,0.0,125170.0,60.0,3199.0,0.0,12089.0,0.0,2057.0,0.0,0.0,2.0,5521.0,60.0,0.0,4457.0,0.0,0.0,0.0,,76429.0,0.0,,0.0,0.0,10.0,0.0,0.0,5974.0,0.0,1.0,2973.0,0.0,0.0,0.0,0.0,21889.0,36200.0,0.0,4601.0,0.0,1240.0,16775.0,27.0,162374.0,25.0,0.0,25256.0,633.0,3940.0,55181.0,277538.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-04-01,95545.0,6283857.0,7477939.0,8735060.0,10711837.0,1463758.0,1363756.0,3905160.0,962002.0,4647.0,2097253.0,579076.0,2665434.0,12287.0,385536.0,288644.0,2486960.0,,1359478.0,512896.0,50892.0,2763104.0,246143.0,1104.0,2359.0,204596.0,675040.0,430936.0,1645872.0,89.0,281268.0,10.0,320149.0,1998846.0,,285972.0,,1487.0,38.0,309570.0,67479.0,47445.0,23971.0,141850.0,53743.0,77.0,91271.0,98144.0,477051.0,,9352.0,1282.0,8933.0,8396.0,150737.0,252492.0,65974.0,650432.0,12839.0,19451.0,,35.0,58197.0,24189.0,63216.0,9741.0,56715.0,,1080.0,80.0,94482.0,21093.0,0.0,19965.0,117278.0,68791.0,,,30075.0,27396.0,30666.0,0.0,18125.0,60.0,262994.0,,37196.0,28614.0,412.0,60.0,,,73045.0,67324.0,,0.0,0.0,85367.0,364.0,4955.0,22488.0,17470.0,76.0,40645.0,58592.0,0.0,,273728.0,22862.0,27906.0,26456.0,0.0,210.0,12931.0,0.0,,4320.0,0.0,,4589.0,10836.0,0.0,117.0,0.0,0.0,23177.0,16603.0,,27136.0,34197.0,0.0,132948.0,60.0,3199.0,0.0,39857.0,0.0,60.0,0.0,0.0,2.0,8242.0,60.0,0.0,4457.0,0.0,0.0,0.0,,57799.0,0.0,,0.0,0.0,10.0,0.0,0.0,5709.0,0.0,1.0,304.0,0.0,0.0,0.0,0.0,22885.0,32750.0,0.0,4807.0,0.0,1240.0,16948.0,8030.0,225998.0,25.0,29833.0,33409.0,602.0,2987.0,85991.0,58398.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-07-01,80417.0,7331721.0,13981966.0,7492275.0,13877919.0,2618455.0,1401141.0,3359419.0,1063603.0,4647.0,2140416.0,464257.0,1912608.0,12299.0,375500.0,316247.0,6631828.0,,1225159.0,624455.0,29767.0,3024685.0,470010.0,70334.0,2362.0,172867.0,1767414.0,483484.0,1535894.0,60.0,152494.0,10.0,352242.0,1490673.0,,324141.0,,1333.0,7846.0,310827.0,65919.0,49645.0,24524.0,137459.0,62318.0,77.0,215359.0,98664.0,369586.0,,9352.0,1088.0,8882.0,8415.0,143797.0,,31566.0,595018.0,24655.0,20992.0,,35.0,65724.0,,71439.0,39294.0,65304.0,,1173.0,80.0,43068.0,18999.0,0.0,15.0,140202.0,37005.0,,,30075.0,,32778.0,0.0,22671.0,60.0,298813.0,,10782.0,35968.0,419.0,60.0,,,81427.0,38828.0,,0.0,0.0,92347.0,365.0,5083.0,0.0,17849.0,76.0,8619.0,58592.0,0.0,,307831.0,22213.0,14125.0,21410.0,0.0,210.0,12931.0,0.0,,4320.0,0.0,,4678.0,11033.0,0.0,117.0,0.0,0.0,23177.0,16603.0,,29166.0,34840.0,0.0,106591.0,60.0,3199.0,0.0,36481.0,0.0,60.0,0.0,0.0,2.0,8328.0,60.0,0.0,4457.0,0.0,0.0,,,76104.0,0.0,,0.0,0.0,10.0,0.0,0.0,5710.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,24199.0,35460.0,0.0,4798.0,0.0,1240.0,17128.0,27.0,72061.0,0.0,74753.0,44724.0,373.0,2948.0,87500.0,151606.0,0.0,275464.0,23970.0,27395.0,77562.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
